[u'digital_watch', 0.89276594, u'digital_clock', 0.021492414, u'cash_machine', 0.018011421]
[u'digital_watch', 0.75788218, u'cash_machine', 0.054052789, u'digital_clock', 0.031159937]
[u'web_site', 0.15121031, u'remote_control', 0.035703149, u'digital_watch', 0.033712532]
[u'digital_watch', 0.53229898, u'oscilloscope', 0.07140144, u'digital_clock', 0.065109789]
[u'digital_watch', 0.53736341, u'analog_clock', 0.075706162, u'digital_clock', 0.056912091]
[u'digital_watch', 0.73154294, u'digital_clock', 0.041093271, u'cash_machine', 0.029548114]
[u'digital_watch', 0.81487525, u'digital_clock', 0.052566431, u'cash_machine', 0.02881076]
[u'abaya', 0.12812625, u'barbershop', 0.046471104, u'bakery', 0.033235576]
[u'digital_watch', 0.58200395, u'oscilloscope', 0.12648641, u'digital_clock', 0.037099615]
[u'digital_watch', 0.85019267, u'digital_clock', 0.069294184, u'cash_machine', 0.018771544]
[u'digital_watch', 0.71113181, u'digital_clock', 0.054042581, u'oscilloscope', 0.0392101]
[u'digital_watch', 0.91182446, u'digital_clock', 0.054013532, u'analog_clock', 0.0087023908]
[u'digital_watch', 0.35749915, u'oscilloscope', 0.34434533, u'screen', 0.063462526]
[u'digital_watch', 0.78575575, u'digital_clock', 0.19009867, u'analog_clock', 0.007358375]
[u'digital_watch', 0.69709796, u'barrel', 0.050819021, u'screen', 0.026060116]
[u'book_jacket', 0.076791033, u'sunscreen', 0.032549717, u'hair_spray', 0.028483793]
[u'digital_watch', 0.80809903, u'digital_clock', 0.075753652, u'cash_machine', 0.043301493]
[u'digital_watch', 0.89428598, u'digital_clock', 0.081133552, u'analog_clock', 0.011411169]
[u'shield', 0.83838868, u'scabbard', 0.056692705, u'military_uniform', 0.032867908]
