[u'maillot', 0.43212956, u'bikini', 0.28994215, u'maillot', 0.1197768]
[u'maillot', 0.3187618, u'bikini', 0.17184187, u'maillot', 0.12420015]
[u'jean', 0.81993097, u'cowboy_boot', 0.022630362, u'brassiere', 0.021801557]
[u'bikini', 0.69759601, u'brassiere', 0.18265967, u'maillot', 0.09535794]
[u'fountain', 0.39826387, u'pole', 0.20353068, u'hourglass', 0.084079005]
[u'maillot', 0.45460322, u'bikini', 0.21424556, u'maillot', 0.188464]
[u'bikini', 0.83987224, u'brassiere', 0.046834257, u'maillot', 0.034846943]
[u'sarong', 0.26697457, u'bikini', 0.24600972, u'sunglasses', 0.18125784]
[u'gown', 0.29814827, u'maillot', 0.13573918, u'cloak', 0.060861435]
[u'panpipe', 0.87796539, u'marimba', 0.025080172, u'picket_fence', 0.020095447]
[u'bikini', 0.71651405, u'sarong', 0.10102314, u'maillot', 0.076861605]
[u'miniskirt', 0.38257653, u'maillot', 0.14219235, u'bikini', 0.10239406]
[u'bikini', 0.63113296, u'brassiere', 0.17060485, u'maillot', 0.15969537]
[u'maillot', 0.27497426, u'dumbbell', 0.20610613, u'maillot', 0.19846228]
[u'bikini', 0.61536282, u'maillot', 0.19512717, u'brassiere', 0.089220539]
[u'brassiere', 0.40525216, u'bikini', 0.37874871, u'maillot', 0.046244387]
[u'gown', 0.64376193, u'bikini', 0.08225093, u'maillot', 0.040594798]
[u'gown', 0.24953514, u'miniskirt', 0.079400972, u'cowboy_boot', 0.063881271]
[u'ambulance', 0.7227875, u'Band_Aid', 0.053940795, u'whistle', 0.036943756]
[u'bikini', 0.67053187, u'maillot', 0.22439943, u'maillot', 0.093144082]
[u'maillot', 0.17199239, u'gown', 0.17140031, u'maillot', 0.13671362]
[u'maillot', 0.16071266, u'knee_pad', 0.089310192, u'brassiere', 0.049799159]
[u'stage', 0.25256479, u'maillot', 0.22234203, u'bikini', 0.095388927]
[u'brassiere', 0.64709687, u'maillot', 0.13580093, u'miniskirt', 0.085101672]
[u'brassiere', 0.28336692, u'bikini', 0.13943173, u'comic_book', 0.089296915]
[u'brassiere', 0.53201532, u'fur_coat', 0.15260996, u'bikini', 0.093671761]
[u'brassiere', 0.84941059, u'bikini', 0.13927422, u'maillot', 0.0084828204]
[u'bikini', 0.7512579, u'maillot', 0.14584509, u'brassiere', 0.039605215]
[u'bikini', 0.95720339, u'maillot', 0.021056335, u'brassiere', 0.017455066]
[u'miniskirt', 0.78491127, u'brassiere', 0.14214933, u'maillot', 0.038805097]
[u'miniskirt', 0.67893571, u'jean', 0.092971757, u'maillot', 0.026033053]
[u'bikini', 0.79748017, u'maillot', 0.12490593, u'brassiere', 0.04251457]
[u'brassiere', 0.45637465, u'maillot', 0.16798231, u'gown', 0.091199659]
[u'bikini', 0.76308024, u'maillot', 0.044511922, u'sunglass', 0.03370212]
[u'web_site', 0.13754688, u'jean', 0.062221106, u'wall_clock', 0.034948956]
[u'crossword_puzzle', 0.60198843, u'digital_clock', 0.36809382, u'digital_watch', 0.025187194]
[u'gown', 0.28021768, u'overskirt', 0.19203947, u'jean', 0.12010362]
[u'bikini', 0.96362191, u'maillot', 0.017896984, u'sarong', 0.0073156934]
[u'bikini', 0.61550689, u'maillot', 0.24850778, u'pole', 0.033942103]
[u'bikini', 0.68739843, u'maillot', 0.1920889, u'brassiere', 0.056642052]
[u'tub', 0.45570606, u'bikini', 0.2748276, u'bathtub', 0.1310095]
[u'bikini', 0.47690955, u'maillot', 0.3289454, u'maillot', 0.15814793]
[u'pajama', 0.1545988, u'cowboy_boot', 0.13114713, u'wig', 0.10849515]
[u'bikini', 0.66083467, u'brassiere', 0.2686739, u'maillot', 0.025736043]
[u'bikini', 0.84533566, u'brassiere', 0.081892863, u'maillot', 0.035208717]
[u'miniskirt', 0.65205497, u'maillot', 0.075145639, u'maillot', 0.068000004]
[u'bikini', 0.31819358, u'miniskirt', 0.30497304, u'brassiere', 0.27145514]
[u'bikini', 0.88725507, u'maillot', 0.064594775, u'brassiere', 0.041988354]
[u'throne', 0.55273581, u'vestment', 0.18749301, u'altar', 0.11565086]
[u'maillot', 0.31914547, u'maillot', 0.2788637, u'bikini', 0.18869545]
[u'gown', 0.53604227, u'maillot', 0.12705399, u'maillot', 0.10985565]
[u'maillot', 0.54470134, u'maillot', 0.28516844, u'bikini', 0.05712508]
[u'miniskirt', 0.16019952, u'maillot', 0.13706891, u'maillot', 0.13610487]
[u'totem_pole', 0.2454958, u'cowboy_boot', 0.087824002, u'bow', 0.050791126]
[u'bikini', 0.34947759, u'brassiere', 0.21899407, u'web_site', 0.13163154]
[u'bikini', 0.39787617, u'maillot', 0.17561625, u'miniskirt', 0.17402524]
[u'brassiere', 0.49798825, u'bikini', 0.18777855, u'web_site', 0.068126246]
[u'brassiere', 0.52670079, u'bikini', 0.063331462, u'maillot', 0.037883397]
[u'bikini', 0.66712445, u'brassiere', 0.1414136, u'maillot', 0.069520935]
[u'bikini', 0.80442637, u'sarong', 0.065954052, u'brassiere', 0.043558225]
[u'brassiere', 0.82597095, u'bikini', 0.081115514, u'maillot', 0.055964284]
