[u'syringe', 0.56326878, u'chime', 0.15183932, u'power_drill', 0.043807901]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'Windsor_tie', 0.46191341, u'suit', 0.19747551, u'bow_tie', 0.12317814]
[u'Windsor_tie', 0.44803444, u'suit', 0.36426297, u'oboe', 0.026128123]
[u'Windsor_tie', 0.47812065, u'bow_tie', 0.27387014, u'suit', 0.1163947]
[u'wig', 0.3999216, u'fur_coat', 0.11871891, u'stole', 0.10468238]
[u'suit', 0.33391345, u'Windsor_tie', 0.24686809, u'oboe', 0.05700637]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'suit', 0.18559124, u'Windsor_tie', 0.14300236, u'web_site', 0.065796897]
[u'bulletproof_vest', 0.48048967, u'suit', 0.15889159, u'Windsor_tie', 0.064307965]
[u'suit', 0.34051859, u'Windsor_tie', 0.26683015, u'bassoon', 0.041130062]
[u'suit', 0.49108201, u'Windsor_tie', 0.32841149, u'groom', 0.093396023]
[u'suit', 0.22821899, u'bulletproof_vest', 0.16983409, u'Windsor_tie', 0.080008522]
[u'bassoon', 0.034639165, u'neck_brace', 0.02182322, u'oboe', 0.020702945]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'suit', 0.83026803, u'Windsor_tie', 0.067878179, u'bolo_tie', 0.01569826]
[u'panpipe', 0.43681857, u'Windsor_tie', 0.1488447, u'academic_gown', 0.059189793]
