[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'web_site', 0.47954878, u'envelope', 0.10346505, u'fire_screen', 0.024909809]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'sliding_door', 0.68549025, u'shoji', 0.093047902, u'picket_fence', 0.074744135]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'web_site', 0.85991144, u'envelope', 0.019224986, u'television', 0.0062494203]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'web_site', 0.35015988, u'envelope', 0.070656233, u'shower_curtain', 0.050747979]
[u'tray', 0.34694588, u'digital_clock', 0.075218186, u'jersey', 0.027293779]
[u'tray', 0.18309882, u'book_jacket', 0.17997336, u'prayer_rug', 0.13704237]
[u'pot', 0.22915819, u'hummingbird', 0.18155327, u'vase', 0.096370004]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'crossword_puzzle', 0.99654764, u'picket_fence', 0.002473719, u'comic_book', 0.00038775709]
[u'web_site', 0.25082791, u'envelope', 0.053675827, u'dishwasher', 0.025353119]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'red_wine', 0.45679635, u'wine_bottle', 0.37062377, u'lotion', 0.063795596]
[u'shower_curtain', 0.23274636, u'picket_fence', 0.075220019, u'digital_clock', 0.03641637]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'medicine_chest', 0.40976095, u'sliding_door', 0.089160226, u'pedestal', 0.053142633]
[u'crossword_puzzle', 0.86665827, u'picket_fence', 0.039363623, u'shower_curtain', 0.026139706]
[u'table_lamp', 0.066984452, u'pole', 0.058306985, u'flagpole', 0.045070224]
[u'pot', 0.14502837, u'hummingbird', 0.12870668, u'hair_slide', 0.10475181]
[u'crossword_puzzle', 0.46655568, u'sliding_door', 0.12681313, u'picket_fence', 0.10539307]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'pedestal', 0.61710042, u'caldron', 0.20058139, u'fire_screen', 0.04935525]
[u'picket_fence', 0.40529588, u'sliding_door', 0.10484415, u'hamper', 0.097545236]
[u'wine_bottle', 0.582802, u'lotion', 0.1792634, u'red_wine', 0.16343269]
[u'picket_fence', 0.52090359, u'hamper', 0.1118613, u'sliding_door', 0.065237597]
[u'corkscrew', 0.34017795, u'red_wine', 0.32271323, u'wine_bottle', 0.18155614]
[u'red_wine', 0.56228656, u'wine_bottle', 0.3801364, u'projectile', 0.0098889964]
[u'plate_rack', 0.61749804, u'chime', 0.20160055, u'oscilloscope', 0.04008757]
[u'wine_bottle', 0.72069508, u'red_wine', 0.1539423, u'hamper', 0.024418332]
[u'picket_fence', 0.25848323, u'crossword_puzzle', 0.25569826, u'hamper', 0.21352473]
[u'barn', 0.19383551, u'church', 0.060141917, u'castle', 0.058617994]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'web_site', 0.44820306, u'envelope', 0.23283046, u'digital_clock', 0.012065367]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'picket_fence', 0.61183065, u'sliding_door', 0.10834733, u'hamper', 0.081255734]
[u'digital_watch', 0.47660038, u'digital_clock', 0.32531899, u'lighter', 0.033189211]
[u'envelope', 0.068700768, u'wardrobe', 0.051689643, u'refrigerator', 0.050386231]
[u'hamper', 0.53171808, u'picket_fence', 0.238003, u'shower_curtain', 0.065046914]
[u'sliding_door', 0.63782233, u'picket_fence', 0.1991614, u'shoji', 0.037372779]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
[u'envelope', 0.12600143, u'web_site', 0.088820003, u'dishwasher', 0.032682829]
