[u'rule', 0.2769306, u'picket_fence', 0.078680821, u'nail', 0.071824029]
[u'rule', 0.29828924, u'picket_fence', 0.20575099, u'nail', 0.055725481]
[u'rule', 0.72168195, u'nail', 0.035602365, u'picket_fence', 0.031866431]
[u'rule', 0.64044088, u'picket_fence', 0.070033349, u'nail', 0.042679958]
[u'rule', 0.43538591, u'syringe', 0.13037844, u'picket_fence', 0.062184919]
[u'nail', 0.16517764, u'picket_fence', 0.072693966, u'chime', 0.068598963]
[u'rule', 0.74698567, u'nail', 0.031825691, u'picket_fence', 0.026413526]
[u'rule', 0.48183042, u'picket_fence', 0.26219061, u'nail', 0.027439905]
[u'rule', 0.39883268, u'syringe', 0.14888684, u'screwdriver', 0.071559832]
[u'shower_curtain', 0.22025831, u'harp', 0.13340588, u'street_sign', 0.13329868]
[u'rule', 0.65158379, u'picket_fence', 0.053916264, u'nail', 0.045810621]
[u'street_sign', 0.27327555, u'oxygen_mask', 0.19544041, u'hair_slide', 0.11839361]
[u'rule', 0.64014018, u'nail', 0.053579472, u'picket_fence', 0.045852426]
[u'paper_towel', 0.10331264, u'cash_machine', 0.10260338, u'screen', 0.0748818]
[u'rule', 0.5705663, u'picket_fence', 0.10769102, u'screen', 0.038346782]
[u'picket_fence', 0.20056982, u'rule', 0.14447591, u'nail', 0.069488019]
[u'crossword_puzzle', 0.10537027, u'toilet_seat', 0.078953087, u'gong', 0.035444722]
[u'digital_clock', 0.77946234, u'web_site', 0.071681097, u'digital_watch', 0.036665596]
[u'picket_fence', 0.35371339, u'rule', 0.20432645, u'screen', 0.064896546]
[u'rule', 0.62394345, u'picket_fence', 0.074252754, u'nail', 0.035881501]
[u'rule', 0.39899689, u'picket_fence', 0.085330203, u'screen', 0.048668791]
[u'rule', 0.62214077, u'picket_fence', 0.10489579, u'screen', 0.044045866]
[u'crossword_puzzle', 0.32790828, u'digital_clock', 0.23947833, u'analog_clock', 0.065024085]
[u'rule', 0.61190802, u'picket_fence', 0.071976759, u'nail', 0.037493955]
[u'digital_clock', 0.17958474, u'web_site', 0.091033027, u'monitor', 0.074065074]
[u'rule', 0.70350337, u'picket_fence', 0.039351758, u'nail', 0.03039868]
[u'rule', 0.76032692, u'nail', 0.046705816, u'picket_fence', 0.041093867]
[u'crossword_puzzle', 0.91916496, u'digital_clock', 0.014768191, u'web_site', 0.014217161]
[u'shoji', 0.48130506, u'web_site', 0.25051758, u'window_shade', 0.087853767]
[u'rule', 0.71517342, u'syringe', 0.11776826, u'screwdriver', 0.030558692]
[u'rule', 0.71251738, u'picket_fence', 0.042008847, u'screen', 0.027488977]
[u'mousetrap', 0.60374582, u'space_shuttle', 0.094829723, u'guillotine', 0.02713781]
[u'rule', 0.22011054, u'picket_fence', 0.11275039, u'nail', 0.082778022]
[u'turnstile', 0.087938376, u'chime', 0.084668167, u'picket_fence', 0.077970296]
[u'rule', 0.65309221, u'nail', 0.05208144, u'picket_fence', 0.039277382]
[u'fire_engine', 0.12645906, u'scoreboard', 0.10489044, u'book_jacket', 0.092348941]
[u'web_site', 0.24839179, u'nematode', 0.046035741, u'matchstick', 0.043975078]
[u'rule', 0.28379947, u'syringe', 0.23595843, u'screwdriver', 0.055229943]
[u'picket_fence', 0.26126546, u'chime', 0.11881587, u'church', 0.090837814]
[u'rule', 0.56411338, u'picket_fence', 0.083191253, u'nail', 0.054648869]
[u'rule', 0.32896346, u'picket_fence', 0.20611781, u'nail', 0.058319312]
[u'rule', 0.36545071, u'syringe', 0.16448717, u'nail', 0.054621942]
[u'rule', 0.65720308, u'nail', 0.057194628, u'picket_fence', 0.034140781]
[u'rule', 0.7361117, u'nail', 0.031007629, u'picket_fence', 0.030962832]
[u'rule', 0.67681676, u'picket_fence', 0.046648409, u'nail', 0.030146852]
[u'rule', 0.72207075, u'picket_fence', 0.035469342, u'nail', 0.033187356]
[u'rule', 0.71313578, u'picket_fence', 0.041721489, u'nail', 0.028921137]
[u'rule', 0.71855849, u'picket_fence', 0.10360508, u'nail', 0.030338971]
[u'screen', 0.1837043, u'syringe', 0.14507475, u'rule', 0.13016675]
[u'rule', 0.66290176, u'picket_fence', 0.058660399, u'nail', 0.033371612]
