[u'rule', 0.61639643, u'slide_rule', 0.22450966, u'nail', 0.045727316]
[u'rule', 0.28302026, u'envelope', 0.26906544, u'nail', 0.051923182]
[u'valley', 0.19733545, u'alp', 0.13718288, u'sandbar', 0.072329395]
[u'English_setter', 0.51859111, u'Gordon_setter', 0.08821898, u'Irish_setter', 0.036286745]
[u'rule', 0.67878336, u'slide_rule', 0.18795569, u'envelope', 0.031365257]
[u'rule', 0.72614491, u'slide_rule', 0.19131653, u'envelope', 0.02198893]
[u'rule', 0.42556167, u'envelope', 0.14108454, u'slide_rule', 0.10351612]
[u'rule', 0.41303766, u'envelope', 0.14575361, u'slide_rule', 0.088084914]
[u'rule', 0.75448251, u'slide_rule', 0.14813335, u'nail', 0.023766205]
[u'rule', 0.71990073, u'slide_rule', 0.1418848, u'envelope', 0.062414519]
[u'rule', 0.5760653, u'envelope', 0.18270855, u'slide_rule', 0.048048332]
[u'rule', 0.43104073, u'slide_rule', 0.28603059, u'envelope', 0.11512163]
