[u'chime', 0.75366783, u'pole', 0.052570406, u'wall_clock', 0.015217323]
[u'oscilloscope', 0.62904537, u'screen', 0.10359209, u'safe', 0.043126609]
[u'oscilloscope', 0.22111878, u'safe', 0.21234022, u'sliding_door', 0.062146526]
[u'oscilloscope', 0.80068099, u'screen', 0.055655178, u'safe', 0.025596952]
[u'oscilloscope', 0.92806542, u'screen', 0.019246455, u'slide_rule', 0.0082731722]
[u'oscilloscope', 0.67962497, u'screen', 0.059211925, u'safe', 0.028553771]
[u'web_site', 0.43139923, u'wardrobe', 0.075742275, u'envelope', 0.049028881]
[u'barn', 0.10451229, u'scoreboard', 0.095219575, u'menu', 0.087560862]
[u'oscilloscope', 0.92058218, u'screen', 0.031197023, u'microwave', 0.003235931]
[u'refrigerator', 0.16242829, u'dishwasher', 0.090281799, u'envelope', 0.07829424]
[u'oscilloscope', 0.79057503, u'screen', 0.082730785, u'book_jacket', 0.011955156]
[u'oscilloscope', 0.86731988, u'screen', 0.030277517, u'slide_rule', 0.016232714]
[u'oscilloscope', 0.64625043, u'screen', 0.095733628, u'safe', 0.029495938]
[u'nematode', 0.23863402, u'golf_ball', 0.028829977, u'web_site', 0.016113697]
[u'oscilloscope', 0.93898094, u'screen', 0.023011716, u'microwave', 0.0026205971]
[u'oscilloscope', 0.55157113, u'screen', 0.11209139, u'book_jacket', 0.03085934]
[u'warthog', 0.61422634, u'bighorn', 0.13570578, u'gazelle', 0.1105686]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'oscilloscope', 0.92987365, u'screen', 0.02491579, u'sliding_door', 0.0039278441]
[u'oscilloscope', 0.70882535, u'screen', 0.05957349, u'safe', 0.039664827]
[u'oscilloscope', 0.9192059, u'screen', 0.038094286, u'microwave', 0.0030559667]
[u'safe', 0.19579774, u'oscilloscope', 0.19221404, u'sliding_door', 0.066059403]
[u'pedestal', 0.12436684, u'wardrobe', 0.11868621, u'refrigerator', 0.030448498]
[u'impala', 0.885068, u'gazelle', 0.085733637, u'hartebeest', 0.027374664]
[u'oscilloscope', 0.82288367, u'screen', 0.043558408, u'slide_rule', 0.015244029]
[u'oscilloscope', 0.89006394, u'screen', 0.037573501, u'book_jacket', 0.0059470749]
[u'wardrobe', 0.19733869, u'medicine_chest', 0.15984236, u'sliding_door', 0.092607908]
[u'brassiere', 0.088658705, u'chain_saw', 0.069918968, u'triceratops', 0.069658838]
[u'nematode', 0.23863402, u'golf_ball', 0.028829977, u'web_site', 0.016113697]
[u'oscilloscope', 0.90730667, u'screen', 0.035995279, u'book_jacket', 0.00465415]
[u'oscilloscope', 0.75297606, u'screen', 0.048490323, u'slide_rule', 0.027367238]
[u'oscilloscope', 0.80090833, u'screen', 0.066115275, u'microwave', 0.013381361]
[u'oscilloscope', 0.89612031, u'screen', 0.035251956, u'slide_rule', 0.012888745]
[u'oscilloscope', 0.6470108, u'screen', 0.055780102, u'safe', 0.053375136]
[u'refrigerator', 0.10324427, u'envelope', 0.10062618, u'dishwasher', 0.087588355]
[u'oscilloscope', 0.9210698, u'screen', 0.027428551, u'sliding_door', 0.0049846908]
[u'oscilloscope', 0.87459767, u'screen', 0.039328624, u'digital_clock', 0.024296138]
[u'oscilloscope', 0.69282925, u'screen', 0.11022449, u'digital_clock', 0.021963244]
[u'safe', 0.16976742, u'oscilloscope', 0.16015357, u'sliding_door', 0.081114218]
