[u'envelope', 0.52728099, u'web_site', 0.41356263, u'carton', 0.0076267952]
[u'sunscreen', 0.30848017, u'digital_watch', 0.11286281, u'screen', 0.11224261]
[u'screen', 0.30400935, u'shopping_basket', 0.19086969, u'sunscreen', 0.10290974]
[u'screen', 0.34024426, u'sunscreen', 0.16753136, u'oscilloscope', 0.085047029]
[u'screen', 0.1945551, u'sunscreen', 0.15129139, u'oscilloscope', 0.14011073]
[u'book_jacket', 0.72202784, u'television', 0.043735709, u'comic_book', 0.038241666]
[u'screen', 0.67442101, u'oscilloscope', 0.14455293, u'sunscreen', 0.039689101]
[u'sunscreen', 0.28584179, u'digital_watch', 0.090298638, u'screen', 0.085195392]
[u'packet', 0.20769568, u'screen', 0.17711882, u'brass', 0.12380662]
[u'web_site', 0.54585958, u'envelope', 0.054745093, u'menu', 0.046089903]
[u'screen', 0.31988409, u'sunscreen', 0.1494433, u'digital_watch', 0.063100442]
[u'sunscreen', 0.38303491, u'screen', 0.16836725, u'packet', 0.044282418]
[u'screen', 0.19528191, u'sunscreen', 0.16365941, u'oscilloscope', 0.093524002]
[u'sunscreen', 0.26565513, u'screen', 0.13473716, u'digital_watch', 0.081264302]
[u'screen', 0.29317871, u'oscilloscope', 0.13993704, u'sunscreen', 0.081790611]
