[u'web_site', 0.75644439, u'envelope', 0.028404538, u'hook', 0.0051975357]
[u'rubber_eraser', 0.51056874, u'ballpoint', 0.30893433, u'pencil_box', 0.036992703]
[u'web_site', 0.83080727, u'envelope', 0.018011825, u'ski', 0.0059583774]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.83080727, u'envelope', 0.018011825, u'ski', 0.0059583774]
[u'web_site', 0.088665985, u'bow', 0.052121658, u'red_wine', 0.04184027]
[u'web_site', 0.83080727, u'envelope', 0.018011825, u'ski', 0.0059583774]
[u'iron', 0.048949618, u'harp', 0.037079062, u'airship', 0.036328096]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.8287043, u'envelope', 0.021839799, u'ski', 0.005333941]
[u'web_site', 0.83080727, u'envelope', 0.018011825, u'ski', 0.0059583774]
[u'web_site', 0.2026895, u'book_jacket', 0.054941352, u'Band_Aid', 0.046802249]
[u'web_site', 0.12130103, u'envelope', 0.059191898, u'dishwasher', 0.028848501]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'stretcher', 0.29078612, u'envelope', 0.15012361, u'Band_Aid', 0.050979316]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
