[u'vault', 0.48417926, u'tobacco_shop', 0.051809218, u'comic_book', 0.043358833]
[u'traffic_light', 0.2865507, u'car_mirror', 0.18323003, u'volcano', 0.094106063]
[u'scoreboard', 0.24581665, u'menu', 0.14281408, u'tobacco_shop', 0.12920351]
[u'crate', 0.60867375, u'digital_clock', 0.1166963, u'carton', 0.082449146]
[u'Band_Aid', 0.049664434, u'book_jacket', 0.034385853, u'web_site', 0.031924523]
[u'web_site', 0.83945328, u'envelope', 0.045570239, u'menu', 0.019121725]
[u'web_site', 0.26365232, u'comic_book', 0.12843433, u'envelope', 0.093428887]
[u'comic_book', 0.67297834, u'book_jacket', 0.30067098, u'web_site', 0.010955023]
[u'theater_curtain', 0.14406827, u'shield', 0.11662555, u'prayer_rug', 0.072165981]
[u'web_site', 0.23221284, u'drum', 0.046847995, u'pick', 0.044650584]
[u'web_site', 0.33761758, u'comic_book', 0.084845282, u'book_jacket', 0.066632546]
[u'book_jacket', 0.14890796, u'plastic_bag', 0.11256012, u'street_sign', 0.078747705]
[u'comic_book', 0.56803846, u'web_site', 0.21924177, u'book_jacket', 0.15957969]
[u'comic_book', 0.7669062, u'book_jacket', 0.1589193, u'jigsaw_puzzle', 0.029758593]
[u'book_jacket', 0.91651309, u'comic_book', 0.082668096, u'volcano', 0.00040442034]
[u'tray', 0.12166356, u'book_jacket', 0.096400283, u'prayer_rug', 0.086348198]
[u'rotisserie', 0.29281893, u'book_jacket', 0.28383934, u'stove', 0.17992234]
[u'book_jacket', 0.97179598, u'comic_book', 0.020644834, u'jersey', 0.00090443227]
[u'web_site', 0.46792507, u'envelope', 0.052563887, u'menu', 0.032143123]
[u'jigsaw_puzzle', 0.50378591, u'comic_book', 0.22912651, u'book_jacket', 0.075920857]
[u'comic_book', 0.59670889, u'book_jacket', 0.13069621, u'menu', 0.058216088]
[u'web_site', 0.50037235, u'comic_book', 0.43385962, u'refrigerator', 0.019300595]
[u'Band_Aid', 0.061185725, u'web_site', 0.055403255, u'menu', 0.055119012]
[u'book_jacket', 0.71971315, u'comic_book', 0.25816441, u'web_site', 0.0067917495]
[u'comic_book', 0.91404355, u'slot', 0.060666461, u'jigsaw_puzzle', 0.019915788]
[u'comic_book', 0.078342721, u'book_jacket', 0.047037002, u'web_site', 0.030239953]
[u'comic_book', 0.74933469, u'book_jacket', 0.21155639, u'jigsaw_puzzle', 0.0058950726]
[u'shield', 0.18900211, u'analog_clock', 0.14626417, u'bow', 0.14004235]
[u'book_jacket', 0.66148174, u'barbershop', 0.088327095, u'Band_Aid', 0.040599573]
