[u'bow', 0.15580696, u'crossword_puzzle', 0.14980866, u'digital_watch', 0.10177117]
[u'digital_clock', 0.27103591, u'scoreboard', 0.17441463, u'Band_Aid', 0.06586989]
[u'digital_clock', 0.49040568, u'web_site', 0.14564487, u'digital_watch', 0.041688476]
[u'web_site', 0.14377238, u'scoreboard', 0.086092971, u'digital_clock', 0.083415888]
[u'digital_clock', 0.12823904, u'scoreboard', 0.12223084, u'web_site', 0.10292491]
[u'theater_curtain', 0.11682806, u'web_site', 0.040182307, u'envelope', 0.036577825]
[u'shield', 0.30358323, u'hair_slide', 0.14251679, u'remote_control', 0.048696507]
[u'digital_clock', 0.068195507, u'web_site', 0.067270614, u'book_jacket', 0.045202114]
[u'digital_clock', 0.19257702, u'Band_Aid', 0.18924835, u'scoreboard', 0.14304]
[u'book_jacket', 0.1800741, u'web_site', 0.04838641, u'theater_curtain', 0.045920074]
[u'envelope', 0.19772647, u'web_site', 0.072557501, u'packet', 0.034525357]
[u'web_site', 0.22604135, u'screwdriver', 0.10924153, u'whistle', 0.10431139]
[u'digital_clock', 0.16669913, u'scoreboard', 0.11810394, u'web_site', 0.055904772]
[u'web_site', 0.23616353, u'envelope', 0.1993546, u'book_jacket', 0.074908026]
[u'web_site', 0.1560863, u'digital_clock', 0.12147553, u'scoreboard', 0.054601673]
[u'cassette', 0.26194397, u'digital_clock', 0.13006304, u'envelope', 0.081933327]
[u'power_drill', 0.21964219, u'screw', 0.078725368, u'digital_clock', 0.076249056]
[u'nail', 0.16716544, u'ski', 0.11547573, u'screw', 0.083076939]
[u'digital_clock', 0.26802135, u'scoreboard', 0.21814017, u'jersey', 0.035498578]
