[u'pill_bottle', 0.34380233, u'lotion', 0.31580022, u'hair_spray', 0.092249334]
[u'web_site', 0.10389595, u'jersey', 0.088703625, u'comic_book', 0.070796572]
[u'beer_bottle', 0.50788373, u'pill_bottle', 0.26271582, u'pop_bottle', 0.12478375]
[u'pop_bottle', 0.21252201, u'pill_bottle', 0.18988933, u'beer_bottle', 0.1881672]
[u'water_bottle', 0.43346784, u'whiskey_jug', 0.27120653, u'cocktail_shaker', 0.085095033]
[u'dome', 0.19074382, u'church', 0.16010594, u'soap_dispenser', 0.14983366]
[u'lotion', 0.37667066, u'pill_bottle', 0.35616302, u'whiskey_jug', 0.068570137]
[u'pill_bottle', 0.24884917, u'perfume', 0.21046367, u'cocktail_shaker', 0.20365755]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'pill_bottle', 0.7272225, u'lotion', 0.1492244, u'whiskey_jug', 0.048788104]
[u'beer_bottle', 0.35763225, u'pop_bottle', 0.34441143, u'whiskey_jug', 0.13542213]
[u'pill_bottle', 0.22407477, u'cocktail_shaker', 0.18886127, u'whiskey_jug', 0.12142809]
[u'candle', 0.03802637, u'hourglass', 0.033169579, u'ski', 0.023822123]
[u'beer_bottle', 0.62003893, u'whiskey_jug', 0.13031872, u'pop_bottle', 0.090668172]
[u'beer_bottle', 0.4078432, u'pill_bottle', 0.16629642, u'lotion', 0.11330475]
[u'beer_bottle', 0.77142584, u'pop_bottle', 0.19891274, u'whiskey_jug', 0.016801318]
[u'nipple', 0.2764791, u'pill_bottle', 0.26963797, u'lotion', 0.242443]
[u'lotion', 0.45826101, u'pill_bottle', 0.22073282, u'pop_bottle', 0.077248849]
[u'pop_bottle', 0.68336904, u'beer_bottle', 0.26365554, u'water_bottle', 0.018711181]
[u'pill_bottle', 0.86465812, u'lotion', 0.072818011, u'soap_dispenser', 0.012187948]
[u'beer_bottle', 0.79071593, u'whiskey_jug', 0.087789394, u'pop_bottle', 0.019867802]
[u'web_site', 0.50856107, u'jersey', 0.10512411, u'comic_book', 0.086792059]
[u'whiskey_jug', 0.31475708, u'lotion', 0.19860114, u'water_bottle', 0.17528547]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'pop_bottle', 0.21663702, u'whiskey_jug', 0.16995732, u'lotion', 0.14518295]
[u'pill_bottle', 0.36394188, u'water_bottle', 0.31740153, u'whiskey_jug', 0.13056019]
[u'pill_bottle', 0.41912326, u'lotion', 0.34707659, u'hair_spray', 0.083479539]
[u'lotion', 0.54531914, u'pill_bottle', 0.12856854, u'hair_spray', 0.093622878]
[u'beer_bottle', 0.53366476, u'pop_bottle', 0.37633687, u'whiskey_jug', 0.019402862]
[u'pill_bottle', 0.28808346, u'water_bottle', 0.1221792, u'lotion', 0.11255171]
[u'pill_bottle', 0.31707233, u'water_bottle', 0.23465961, u'lotion', 0.06839399]
[u'pop_bottle', 0.6009739, u'beer_bottle', 0.17628527, u'nipple', 0.078853026]
[u'lotion', 0.39762098, u'pill_bottle', 0.18489012, u'water_bottle', 0.13757081]
[u'spider_web', 0.13091381, u'analog_clock', 0.11184759, u'web_site', 0.1092284]
[u'crate', 0.18800539, u'packet', 0.18556766, u'carton', 0.078748189]
[u'pop_bottle', 0.35729763, u'beer_bottle', 0.24533251, u'pill_bottle', 0.13370822]
[u'beer_bottle', 0.39624351, u'pill_bottle', 0.11398163, u'cocktail_shaker', 0.10203984]
[u'beer_bottle', 0.42641082, u'pop_bottle', 0.33224493, u'water_bottle', 0.14323021]
[u'pill_bottle', 0.36876282, u'lotion', 0.3219927, u'soap_dispenser', 0.15382397]
[u'nematode', 0.096921824, u'binder', 0.034999721, u'theater_curtain', 0.019593408]
