[u'brassiere', 0.52816844, u'bikini', 0.19253264, u'miniskirt', 0.032401636]
[u'bikini', 0.4688316, u'groom', 0.12531762, u'maillot', 0.096636467]
[u'bikini', 0.3524448, u'bathtub', 0.34663999, u'tub', 0.25321043]
[u'bikini', 0.85308707, u'maillot', 0.05847086, u'swimming_trunks', 0.021167716]
[u'bikini', 0.61565882, u'brassiere', 0.1631934, u'maillot', 0.15213662]
[u'groom', 0.18350516, u'tub', 0.17245489, u'carton', 0.16033593]
[u'bikini', 0.69184208, u'sarong', 0.038057014, u'conch', 0.028866533]
[u'bikini', 0.65966547, u'butcher_shop', 0.073309161, u'maillot', 0.044052351]
[u'bikini', 0.87901002, u'maillot', 0.035638563, u'brassiere', 0.025741985]
[u'bikini', 0.24467528, u'gown', 0.23311436, u'tub', 0.15942959]
[u'miniskirt', 0.29907575, u'brassiere', 0.19183773, u'bikini', 0.15159717]
[u'bikini', 0.39922488, u'bathtub', 0.32351899, u'tub', 0.21972084]
[u'sunscreen', 0.28524774, u'bathtub', 0.24165966, u'lotion', 0.10867717]
[u'bikini', 0.80070996, u'maillot', 0.062299225, u'brassiere', 0.05104056]
[u'bikini', 0.27621228, u'conch', 0.20726326, u'Indian_cobra', 0.10273062]
[u'bikini', 0.64218879, u'maillot', 0.14297596, u'maillot', 0.13134269]
[u'bikini', 0.864802, u'maillot', 0.063623473, u'maillot', 0.027766503]
[u'bikini', 0.36021158, u'tub', 0.29725718, u'bathtub', 0.13295458]
[u'bikini', 0.28661525, u'brassiere', 0.19820361, u'groom', 0.072934851]
[u'bikini', 0.92087978, u'maillot', 0.024511283, u'tub', 0.011498325]
