[u'bikini', 0.2850804, u'miniskirt', 0.27417144, u'brassiere', 0.17492169]
[u'bikini', 0.66830194, u'maillot', 0.16212301, u'brassiere', 0.058163527]
[u'pillow', 0.49857748, u'maillot', 0.062848762, u'neck_brace', 0.041551352]
[u'bikini', 0.34406611, u'miniskirt', 0.18150577, u'maillot', 0.17977324]
[u'miniskirt', 0.55746931, u'jean', 0.090558417, u'sarong', 0.050803412]
[u'ice_lolly', 0.99927944, u'syringe', 0.00026136701, u'spatula', 0.00011222585]
[u'maillot', 0.39031667, u'maillot', 0.11327221, u'bikini', 0.075194582]
[u'studio_couch', 0.34034371, u'maillot', 0.0759487, u'miniskirt', 0.065997586]
[u'maillot', 0.6769715, u'maillot', 0.26040676, u'miniskirt', 0.022040352]
[u'miniskirt', 0.59092492, u'maillot', 0.068292215, u'suit', 0.032307725]
[u'bikini', 0.4675228, u'maillot', 0.30188939, u'maillot', 0.11984773]
[u'sunscreen', 0.16566192, u'binoculars', 0.11635103, u'tub', 0.085110836]
[u'miniskirt', 0.38368213, u'brassiere', 0.15894607, u'jean', 0.13157491]
[u'crossword_puzzle', 0.77094948, u'digital_clock', 0.13676958, u'web_site', 0.019849125]
[u'tub', 0.17901714, u'miniskirt', 0.097634494, u'maillot', 0.066746168]
[u'jean', 0.30759922, u'miniskirt', 0.15918958, u'studio_couch', 0.11185655]
[u'sunscreen', 0.55742645, u'bikini', 0.15299128, u'swimming_trunks', 0.063414179]
[u'maillot', 0.49551943, u'maillot', 0.32402354, u'brassiere', 0.057739016]
[u'scoreboard', 0.64341712, u'crossword_puzzle', 0.11648317, u'digital_clock', 0.032092746]
[u'bikini', 0.64995402, u'maillot', 0.15617189, u'sarong', 0.067466125]
[u'bikini', 0.5711695, u'maillot', 0.23911558, u'maillot', 0.12653635]
[u'swimming_trunks', 0.55170166, u'diaper', 0.054157048, u'miniskirt', 0.047103193]
[u'bikini', 0.86514813, u'swimming_trunks', 0.083690017, u'maillot', 0.018514067]
[u'maillot', 0.23811857, u'maillot', 0.15822864, u'tub', 0.15528443]
[u'bikini', 0.86078763, u'maillot', 0.056089144, u'maillot', 0.032837853]
[u'maillot', 0.49096838, u'maillot', 0.40942839, u'brassiere', 0.053776812]
[u'shower_curtain', 0.24866873, u'trench_coat', 0.129171, u'miniskirt', 0.11898054]
[u'window_shade', 0.17298481, u'paintbrush', 0.1643285, u'miniskirt', 0.13674414]
[u'bikini', 0.93837899, u'maillot', 0.023874979, u'maillot', 0.017621709]
[u'maillot', 0.25896007, u'maillot', 0.17317563, u'cardigan', 0.11743715]
[u'studio_couch', 0.81664813, u'diaper', 0.052006856, u'quilt', 0.036803544]
[u'miniskirt', 0.24336216, u'jean', 0.15424699, u'paintbrush', 0.07400541]
[u'miniskirt', 0.37240696, u'brassiere', 0.17905657, u'pajama', 0.090697758]
[u'miniskirt', 0.34082642, u'jean', 0.11668041, u'maillot', 0.080775306]
[u'bikini', 0.6905145, u'brassiere', 0.07565704, u'wig', 0.066526026]
[u'maillot', 0.18449214, u'maillot', 0.18037227, u'gown', 0.145669]
[u'miniskirt', 0.32596597, u'maillot', 0.1854523, u'jean', 0.14949521]
[u'jean', 0.93080825, u'cowboy_boot', 0.014968704, u'tub', 0.0058248932]
[u'bikini', 0.70174617, u'maillot', 0.096725263, u'maillot', 0.076828204]
[u'maillot', 0.40872771, u'maillot', 0.32644811, u'bikini', 0.22118813]
[u'bikini', 0.68579036, u'maillot', 0.17033821, u'swimming_trunks', 0.048368052]
[u'jean', 0.22463284, u'sarong', 0.21872994, u'swimming_trunks', 0.090918407]
[u'brassiere', 0.54783398, u'bikini', 0.33523503, u'maillot', 0.04561647]
[u'studio_couch', 0.10237689, u'sewing_machine', 0.07989081, u'iron', 0.078379579]
[u'brassiere', 0.60599911, u'bikini', 0.36449188, u'maillot', 0.010387438]
[u'sarong', 0.311818, u'bikini', 0.2913301, u'miniskirt', 0.21531257]
[u'bikini', 0.51515859, u'maillot', 0.13964488, u'maillot', 0.06592451]
[u'brassiere', 0.41536438, u'bikini', 0.21053839, u'maillot', 0.16807978]
[u'maillot', 0.17671315, u'jean', 0.15987313, u'suit', 0.08159332]
[u'iron', 0.3204248, u'brassiere', 0.13463108, u'maillot', 0.079879321]
[u'maillot', 0.378117, u'maillot', 0.34039181, u'miniskirt', 0.10036862]
[u'tub', 0.21694626, u'brassiere', 0.12402247, u'bathtub', 0.047661975]
[u'maillot', 0.32986128, u'maillot', 0.11294851, u'velvet', 0.11252255]
[u'miniskirt', 0.40882948, u'maillot', 0.11777534, u'maillot', 0.06180118]
[u'tub', 0.36720747, u'bathtub', 0.2076474, u'sunscreen', 0.12473021]
[u'maillot', 0.43109214, u'maillot', 0.34365663, u'bathtub', 0.044197541]
[u'miniskirt', 0.38030005, u'jean', 0.10615917, u'maillot', 0.066163369]
[u'bikini', 0.4933379, u'swimming_trunks', 0.21880654, u'sunscreen', 0.15526067]
[u'maillot', 0.63520646, u'maillot', 0.3037647, u'gown', 0.0067717782]
[u'tub', 0.60718358, u'bathtub', 0.27406275, u'groom', 0.012921552]
[u'miniskirt', 0.093164854, u'pajama', 0.068178289, u'jean', 0.06436193]
[u'maillot', 0.58585721, u'maillot', 0.34324694, u'bikini', 0.037783187]
[u'maillot', 0.65981311, u'maillot', 0.21636926, u'bikini', 0.05833143]
[u'bikini', 0.61065125, u'maillot', 0.18495576, u'maillot', 0.070936464]
[u'swimming_trunks', 0.24133204, u'bath_towel', 0.15035494, u'maillot', 0.11866171]
[u'brassiere', 0.34195402, u'bikini', 0.212971, u'miniskirt', 0.11024981]
[u'bathing_cap', 0.36591715, u'swimming_trunks', 0.23185162, u'bikini', 0.079331748]
[u'maillot', 0.4068419, u'maillot', 0.27852634, u'bikini', 0.10011775]
[u'maillot', 0.32935935, u'maillot', 0.25334051, u'miniskirt', 0.069537342]
[u'miniskirt', 0.16125365, u'maillot', 0.12431588, u'maillot', 0.095304474]
[u'maillot', 0.49316874, u'maillot', 0.20699821, u'bikini', 0.13151813]
[u'jean', 0.31229147, u'miniskirt', 0.29572436, u'maillot', 0.19420783]
[u'bikini', 0.78326148, u'maillot', 0.12945457, u'maillot', 0.044530831]
