[u'sliding_door', 0.12456004, u'rifle', 0.10040411, u'abaya', 0.076390587]
[u'swimming_trunks', 0.25654349, u'sunglasses', 0.085732728, u'bikini', 0.084295608]
[u'tub', 0.3881036, u'swimming_trunks', 0.15703894, u'bikini', 0.12260335]
[u'bikini', 0.29695919, u'swimming_trunks', 0.29568806, u'diaper', 0.084009908]
[u'bikini', 0.570436, u'diaper', 0.089142397, u'maillot', 0.058816455]
[u'swimming_trunks', 0.31877574, u'studio_couch', 0.1709163, u'bikini', 0.13403532]
[u'swimming_trunks', 0.5471698, u'sunscreen', 0.14388567, u'basketball', 0.073653862]
[u'maillot', 0.078300297, u'neck_brace', 0.070564523, u'maillot', 0.068409756]
[u'pajama', 0.95437819, u'sarong', 0.012522652, u'kimono', 0.0068324162]
[u'bikini', 0.27344847, u'carton', 0.24013351, u'brassiere', 0.16746476]
[u'bikini', 0.6617499, u'swimming_trunks', 0.30039334, u'diaper', 0.0118099]
[u'bikini', 0.47965282, u'swimming_trunks', 0.30681887, u'maillot', 0.10467438]
[u'diaper', 0.35257772, u'bikini', 0.27028406, u'volleyball', 0.062070191]
[u'tub', 0.39022633, u'bikini', 0.30479792, u'miniskirt', 0.089822866]
[u'miniskirt', 0.33022004, u'bikini', 0.1956086, u'sarong', 0.13369544]
[u'diaper', 0.44798008, u'bikini', 0.088652909, u'tub', 0.08186201]
[u'bikini', 0.80211335, u'brassiere', 0.083329588, u'maillot', 0.012380027]
[u'bikini', 0.52018493, u'maillot', 0.14778869, u'maillot', 0.13402267]
[u'butcher_shop', 0.20181675, u'tub', 0.13534406, u'hog', 0.12054614]
[u'grand_piano', 0.30745831, u'bikini', 0.082666568, u'upright', 0.061786696]
[u'swimming_trunks', 0.47403699, u'diaper', 0.23248591, u'sunscreen', 0.055328991]
[u'swimming_trunks', 0.60135269, u'hog', 0.12162432, u'polecat', 0.021951154]
[u'studio_couch', 0.67117673, u'brassiere', 0.037238713, u'barber_chair', 0.031105237]
[u'bikini', 0.61594987, u'miniskirt', 0.094339959, u'brassiere', 0.089357875]
[u'swimming_trunks', 0.14763008, u'gyromitra', 0.088586159, u'bikini', 0.063060172]
[u'bikini', 0.30512688, u'volleyball', 0.19151798, u'maillot', 0.12046723]
[u'marimba', 0.25331822, u'turnstile', 0.18475662, u'upright', 0.077410653]
[u'window_shade', 0.60966688, u'sliding_door', 0.042747367, u'shower_curtain', 0.033946909]
[u'bikini', 0.92082649, u'maillot', 0.02129375, u'tub', 0.019679435]
[u'sunscreen', 0.23468976, u'tub', 0.11619193, u'bikini', 0.071209483]
[u'bikini', 0.38383529, u'tub', 0.35806397, u'bathtub', 0.16699006]
[u'brassiere', 0.27162775, u'bikini', 0.26524797, u'swimming_trunks', 0.12353529]
[u'jean', 0.32000244, u'studio_couch', 0.13443054, u'barbershop', 0.12010602]
[u'bathtub', 0.55187929, u'tub', 0.29224789, u'drumstick', 0.012558875]
[u'bikini', 0.22002661, u'sunscreen', 0.14419304, u'swimming_trunks', 0.11474773]
[u'bikini', 0.87052149, u'brassiere', 0.046427079, u'gown', 0.015402184]
[u'bikini', 0.24937619, u'maillot', 0.21313825, u'bathtub', 0.13182586]
[u'swimming_trunks', 0.75064337, u'bikini', 0.067598887, u'bathtub', 0.026495872]
[u'bikini', 0.51274323, u'swimming_trunks', 0.1339948, u'maillot', 0.097355448]
[u'studio_couch', 0.3212851, u'pillow', 0.069084808, u'brassiere', 0.064676188]
