[u'sunscreen', 0.11835711, u'lawn_mower', 0.089739494, u'bikini', 0.065359421]
[u'paper_towel', 0.33317256, u'toilet_tissue', 0.20190831, u'valley', 0.11810444]
[u'brassiere', 0.093150735, u'wig', 0.092276946, u'chain_mail', 0.077332385]
[u'bikini', 0.76026195, u'maillot', 0.085849322, u'brassiere', 0.076836914]
[u'great_white_shark', 0.16898502, u'electric_ray', 0.15889472, u'tub', 0.14250676]
[u'brassiere', 0.94613469, u'bikini', 0.0082514435, u'maillot', 0.0070690764]
[u'brassiere', 0.26278713, u'bikini', 0.19237618, u'bathtub', 0.15054674]
[u'swimming_trunks', 0.32867309, u'bikini', 0.31312925, u'diaper', 0.093227208]
[u'miniskirt', 0.36816701, u'maillot', 0.21357268, u'gown', 0.10085554]
[u'studio_couch', 0.78212571, u'pajama', 0.046229836, u'maillot', 0.036689583]
[u'bathtub', 0.26715448, u'tub', 0.19623116, u'brassiere', 0.19428305]
[u'bathing_cap', 0.65594423, u'bikini', 0.13857637, u'maillot', 0.10914184]
[u'studio_couch', 0.18874542, u'maillot', 0.17817628, u'diaper', 0.16480199]
[u'sandal', 0.85697216, u'bikini', 0.041926254, u'maillot', 0.027353343]
[u'lipstick', 0.65559298, u'groom', 0.075207159, u'perfume', 0.055081118]
[u'cuirass', 0.69297993, u'breastplate', 0.22049367, u'chain_mail', 0.050548457]
[u'tub', 0.36880267, u'bathtub', 0.2766678, u'maillot', 0.15345886]
[u'bikini', 0.37106398, u'swimming_trunks', 0.22400858, u'maillot', 0.10506403]
[u'bikini', 0.4008806, u'swimming_trunks', 0.16219097, u'sarong', 0.077628031]
[u'barber_chair', 0.18510403, u'miniskirt', 0.12447081, u'leatherback_turtle', 0.094543323]
[u'chain_mail', 0.43216753, u'maillot', 0.20138101, u'sunscreen', 0.084569477]
[u'maillot', 0.37985793, u'brassiere', 0.15208966, u'maillot', 0.14552329]
[u'bikini', 0.69360715, u'swimming_trunks', 0.16296832, u'maillot', 0.044895343]
[u'swimming_trunks', 0.53115439, u'sarong', 0.11882156, u'maillot', 0.047559887]
[u'tub', 0.39944041, u'bathtub', 0.24946165, u'lotion', 0.055344693]
[u'diaper', 0.46520245, u'tub', 0.35863993, u'bathtub', 0.048829086]
[u'lipstick', 0.18285204, u'hair_slide', 0.13925768, u'hair_spray', 0.048067067]
[u'fur_coat', 0.86014485, u'bikini', 0.053414561, u'wig', 0.040113736]
[u'miniskirt', 0.53952974, u'pajama', 0.28724277, u'studio_couch', 0.018524213]
[u'tub', 0.2122459, u'gown', 0.21152006, u'brassiere', 0.21116775]
[u'gown', 0.50442445, u'hair_spray', 0.077646099, u'tub', 0.0575803]
[u'studio_couch', 0.97105163, u'velvet', 0.0077420385, u'maillot', 0.0037641902]
[u'bikini', 0.82566845, u'maillot', 0.060278255, u'brassiere', 0.053302426]
[u'diaper', 0.77325928, u'bikini', 0.11562714, u'tub', 0.016987361]
[u'bikini', 0.47433382, u'wig', 0.14282413, u'maillot', 0.094980106]
[u'lotion', 0.37190852, u'Band_Aid', 0.061199542, u'perfume', 0.059069149]
[u'bikini', 0.33497572, u'tub', 0.22796722, u'brassiere', 0.11868453]
[u'cuirass', 0.352061, u'chain_mail', 0.14544041, u'breastplate', 0.11927649]
[u'bikini', 0.30615982, u'maillot', 0.27133673, u'tub', 0.17164299]
