[u'iron', 0.53460026, u'lotion', 0.078788444, u'sunscreen', 0.062156368]
[u'miniskirt', 0.28609475, u'maillot', 0.22974639, u'bikini', 0.17598628]
[u'maillot', 0.20271109, u'brassiere', 0.090277694, u'miniskirt', 0.086857557]
[u'miniskirt', 0.80382264, u'maillot', 0.042292658, u'gown', 0.021918472]
[u'plunger', 0.071969062, u'Loafer', 0.044250611, u'jean', 0.035482891]
[u'miniskirt', 0.91984457, u'barbell', 0.051251408, u'jean', 0.0058675609]
[u'bath_towel', 0.72677773, u'gown', 0.026743136, u'hoopskirt', 0.021343408]
[u'miniskirt', 0.80780381, u'hoopskirt', 0.023859046, u'maillot', 0.021975646]
[u'wig', 0.32158875, u'shower_cap', 0.20065773, u'overskirt', 0.18521029]
[u'miniskirt', 0.99308807, u'diaper', 0.0013634173, u'brassiere', 0.001221995]
[u'gown', 0.51925766, u'groom', 0.36067367, u'brassiere', 0.041376747]
[u'brassiere', 0.3960059, u'diaper', 0.3153539, u'bikini', 0.21034703]
[u'lab_coat', 0.73277879, u'quill', 0.066021703, u'desk', 0.03766118]
[u'studio_couch', 0.34800354, u'bikini', 0.13021404, u'diaper', 0.112221]
[u'miniskirt', 0.37569723, u'brassiere', 0.3522647, u'bikini', 0.1430085]
[u'brassiere', 0.29263419, u'miniskirt', 0.244725, u'swimming_trunks', 0.07165806]
[u'swimming_trunks', 0.42645177, u'diaper', 0.20395705, u'maillot', 0.1650479]
[u'miniskirt', 0.43655384, u'sarong', 0.39516836, u'brassiere', 0.10009179]
[u'swimming_trunks', 0.32030922, u'diaper', 0.12784766, u'hair_slide', 0.042016346]
[u'bikini', 0.66196078, u'sunscreen', 0.12388427, u'miniskirt', 0.039428521]
[u'bikini', 0.28064325, u'tub', 0.16428266, u'maillot', 0.11149662]
[u'groom', 0.12634188, u'tub', 0.1030325, u'bathtub', 0.093286507]
[u'sunglass', 0.34992799, u'bikini', 0.30179203, u'sunglasses', 0.18029763]
[u'miniskirt', 0.9901126, u'bikini', 0.0044584987, u'cowboy_boot', 0.0039680889]
[u'necklace', 0.22790609, u'swing', 0.1243446, u'wig', 0.10068052]
[u'pick', 0.47882211, u'packet', 0.15211515, u'hair_slide', 0.080357596]
[u'barbell', 0.35779867, u'horizontal_bar', 0.32237417, u'swimming_trunks', 0.044363853]
[u'brassiere', 0.47086486, u'bikini', 0.19406994, u'maillot', 0.16689207]
[u'Angora', 0.24274813, u'rocking_chair', 0.035194393, u'borzoi', 0.030224064]
[u'miniskirt', 0.2033252, u'notebook', 0.1741976, u'jean', 0.090529002]
[u'miniskirt', 0.56579822, u'jean', 0.057007898, u'maillot', 0.028068338]
[u'jean', 0.48192561, u'brassiere', 0.14706762, u'miniskirt', 0.097561836]
[u'dumbbell', 0.48662537, u'swimming_trunks', 0.18640092, u'maillot', 0.072864197]
[u'brassiere', 0.64854157, u'diaper', 0.16696702, u'sunscreen', 0.060199969]
[u'balance_beam', 0.44405821, u'horizontal_bar', 0.18152787, u'bathtub', 0.09599907]
[u'miniskirt', 0.73725963, u'velvet', 0.16705018, u'cardigan', 0.01887442]
[u'seat_belt', 0.26356101, u'maillot', 0.11151461, u'miniskirt', 0.061954327]
[u'brassiere', 0.97663599, u'bikini', 0.0074755265, u'miniskirt', 0.0023700183]
[u'stethoscope', 0.14261866, u'bikini', 0.12086251, u'swimming_trunks', 0.11655547]
[u'bikini', 0.30169883, u'cleaver', 0.12970981, u'tub', 0.073529951]
[u'miniskirt', 0.41009027, u'dishwasher', 0.077275187, u'toaster', 0.063231088]
[u'parallel_bars', 0.34780484, u'swimming_trunks', 0.18293487, u'brassiere', 0.099524483]
[u'miniskirt', 0.74633229, u'maillot', 0.085375659, u'maillot', 0.067482524]
[u'miniskirt', 0.40148008, u'cash_machine', 0.10456587, u'lab_coat', 0.044153314]
[u'miniskirt', 0.47004125, u'parallel_bars', 0.22950731, u'horizontal_bar', 0.16801077]
[u'miniskirt', 0.61585528, u'tub', 0.16795316, u'maillot', 0.064565428]
[u'bikini', 0.11204988, u'groom', 0.073272452, u'revolver', 0.051220927]
[u'miniskirt', 0.35299376, u'Loafer', 0.199385, u'velvet', 0.088577189]
[u'miniskirt', 0.80075228, u'bikini', 0.054498062, u'maillot', 0.053596076]
[u'miniskirt', 0.62590104, u'overskirt', 0.070546143, u'gown', 0.055580333]
[u'bow_tie', 0.36143038, u'flute', 0.11085434, u'miniskirt', 0.11069059]
[u'swimming_trunks', 0.82954174, u'shoji', 0.076122336, u'diaper', 0.042648137]
[u'stretcher', 0.12218172, u'ambulance', 0.061192177, u'moving_van', 0.052651308]
[u'tub', 0.20735779, u'refrigerator', 0.17862186, u'bathtub', 0.08738181]
[u'brassiere', 0.66928285, u'miniskirt', 0.24750836, u'maillot', 0.034608293]
[u'diaper', 0.12916377, u'tub', 0.11958907, u'studio_couch', 0.099529058]
[u'miniskirt', 0.80137694, u'maillot', 0.07672523, u'studio_couch', 0.037531402]
[u'miniskirt', 0.48078027, u'studio_couch', 0.049176708, u'paper_towel', 0.03074619]
