[u'bikini', 0.3981429, u'brassiere', 0.13075605, u'maillot', 0.10743847]
[u'gown', 0.26707023, u'bikini', 0.11866268, u'toilet_tissue', 0.11800824]
[u'swimming_trunks', 0.44874689, u'sunscreen', 0.19772989, u'bikini', 0.050312009]
[u'sunscreen', 0.25418535, u'bikini', 0.14689012, u'swimming_trunks', 0.061623357]
[u'swimming_trunks', 0.35460261, u'bikini', 0.2510443, u'maillot', 0.058190215]
[u'bikini', 0.87890345, u'maillot', 0.051472742, u'brassiere', 0.025606165]
[u'bikini', 0.71659446, u'brassiere', 0.05000744, u'maillot', 0.039878152]
[u'bikini', 0.54975849, u'maillot', 0.1115813, u'brassiere', 0.092470713]
[u'swimming_trunks', 0.52684027, u'ice_lolly', 0.070654728, u'tub', 0.054925296]
[u'bikini', 0.32226801, u'tub', 0.13438281, u'brassiere', 0.1144074]
[u'bikini', 0.4605042, u'sunscreen', 0.25717744, u'maillot', 0.054804455]
[u'bikini', 0.37136063, u'maillot', 0.27473992, u'maillot', 0.13366739]
[u'swimming_trunks', 0.19860853, u'tub', 0.18110868, u'bikini', 0.16131137]
[u'swimming_trunks', 0.18447487, u'bikini', 0.18430623, u'brassiere', 0.17859127]
[u'bikini', 0.61136734, u'maillot', 0.09964586, u'brassiere', 0.090010002]
[u'bikini', 0.4348782, u'brassiere', 0.13275918, u'diaper', 0.090590559]
[u'bikini', 0.11099174, u'swimming_trunks', 0.087792821, u'shower_curtain', 0.0877221]
[u'bikini', 0.42856759, u'brassiere', 0.19813675, u'maillot', 0.14664546]
[u'bikini', 0.56855422, u'maillot', 0.19814509, u'miniskirt', 0.066973373]
[u'bikini', 0.43289295, u'brassiere', 0.11939382, u'maillot', 0.052946437]
