[u'web_site', 0.48522139, u'miniskirt', 0.068372354, u'cassette_player', 0.047774632]
[u'sea_lion', 0.41388181, u'miniskirt', 0.19059698, u'bikini', 0.062533602]
[u'bikini', 0.31362477, u'tub', 0.07664413, u'maillot', 0.067837723]
[u'maillot', 0.27105933, u'maillot', 0.23341519, u'bikini', 0.1418397]
[u'washer', 0.16352712, u'pug', 0.064156637, u'bathtub', 0.044853054]
[u'miniskirt', 0.60873336, u'brassiere', 0.087855317, u'bikini', 0.071791701]
[u'revolver', 0.39005992, u'rifle', 0.36440128, u'assault_rifle', 0.044760119]
[u'fountain', 0.23715574, u'pedestal', 0.1420538, u'triceratops', 0.13357936]
[u'miniskirt', 0.37996152, u'maillot', 0.12311218, u'brassiere', 0.091348045]
[u'bikini', 0.77665824, u'tub', 0.082081497, u'maillot', 0.029909862]
[u'fountain', 0.30027476, u'throne', 0.091557406, u'maillot', 0.082628228]
[u'comic_book', 0.29033294, u'jigsaw_puzzle', 0.1191774, u'book_jacket', 0.087348178]
[u'bikini', 0.39968991, u'maillot', 0.3884719, u'brassiere', 0.066539995]
[u'tub', 0.14846489, u'bathtub', 0.087966897, u'chain_mail', 0.081385799]
[u'maillot', 0.10516421, u'bikini', 0.10245697, u'lotion', 0.10205792]
[u'fiddler_crab', 0.093851067, u'drumstick', 0.084923647, u'matchstick', 0.082709573]
[u'swimming_trunks', 0.3227396, u'bikini', 0.17316672, u'fountain', 0.16828226]
[u'bikini', 0.41645533, u'cowboy_hat', 0.12479298, u'tub', 0.064065151]
[u'miniskirt', 0.542795, u'maillot', 0.087972552, u'bikini', 0.065697081]
[u'maillot', 0.41807297, u'bikini', 0.32408071, u'brassiere', 0.10310392]
[u'comic_book', 0.45908332, u'brassiere', 0.16628276, u'syringe', 0.062032837]
[u'maillot', 0.13901885, u'shower_cap', 0.10853367, u'bikini', 0.076593451]
[u'bikini', 0.89246446, u'maillot', 0.077345856, u'feather_boa', 0.0078294491]
[u'fountain', 0.51827919, u'altar', 0.088975281, u'pedestal', 0.048468299]
[u'hair_slide', 0.20392627, u'fiddler_crab', 0.12170585, u'vase', 0.072619356]
[u'football_helmet', 0.22904697, u'maillot', 0.21837604, u'comic_book', 0.20102344]
[u'maillot', 0.31848374, u'bikini', 0.313521, u'maillot', 0.25663254]
[u'conch', 0.17215753, u'wig', 0.14689703, u'brassiere', 0.067250453]
[u'comic_book', 0.57777447, u'motor_scooter', 0.12994514, u'maillot', 0.068597853]
[u'bikini', 0.22547233, u'maillot', 0.22493884, u'miniskirt', 0.12399212]
[u'comic_book', 0.35596046, u'book_jacket', 0.23255862, u'barbershop', 0.082506962]
[u'chain', 0.96247095, u'swing', 0.021600524, u'maillot', 0.0072149495]
[u'fountain', 0.1637155, u'bikini', 0.11335208, u'tub', 0.093773566]
[u'fountain', 0.15886372, u'maillot', 0.14897773, u'maillot', 0.13568431]
[u'gown', 0.71678013, u'hoopskirt', 0.036179356, u'brassiere', 0.028524719]
[u'fountain', 0.23655707, u'bikini', 0.15687309, u'swimming_trunks', 0.088464998]
[u'brassiere', 0.38258919, u'bikini', 0.31750745, u'miniskirt', 0.07847365]
[u'bikini', 0.20636566, u'maillot', 0.10036939, u'maillot', 0.088086888]
[u'sunglass', 0.53707159, u'sunglasses', 0.33027396, u'bathing_cap', 0.066816092]
[u'carousel', 0.70422733, u'throne', 0.17826656, u'Italian_greyhound', 0.013798454]
[u'bikini', 0.65664005, u'maillot', 0.15970466, u'maillot', 0.097254537]
[u'brassiere', 0.56183243, u'throne', 0.14483838, u'breastplate', 0.14327785]
[u'bikini', 0.40931892, u'brassiere', 0.3740989, u'maillot', 0.0929434]
[u'comic_book', 0.87052363, u'web_site', 0.031223057, u'flute', 0.016738083]
[u'bikini', 0.59247488, u'brassiere', 0.18140912, u'maillot', 0.14597903]
[u'brassiere', 0.35343575, u'bikini', 0.29858449, u'maillot', 0.10688292]
[u'shower_cap', 0.090334907, u'sombrero', 0.089031011, u'brassiere', 0.043924585]
[u'bikini', 0.70870662, u'maillot', 0.12646736, u'stretcher', 0.11326434]
[u'Weimaraner', 0.34732479, u'Labrador_retriever', 0.20140992, u'golden_retriever', 0.14184479]
[u'swimming_trunks', 0.21274443, u'cowboy_hat', 0.1231733, u'comic_book', 0.10626732]
[u'swimming_trunks', 0.40633503, u'dumbbell', 0.28021574, u'knee_pad', 0.11011375]
[u'bikini', 0.3476381, u'brassiere', 0.2088678, u'tub', 0.054991487]
[u'bikini', 0.18534625, u'bathing_cap', 0.17041546, u'punching_bag', 0.12584238]
[u'bikini', 0.60668427, u'maillot', 0.076128021, u'miniskirt', 0.0706219]
[u'Rhodesian_ridgeback', 0.14755161, u'vizsla', 0.075090133, u'barrel', 0.073251471]
[u'studio_couch', 0.37290567, u'maillot', 0.20609801, u'gasmask', 0.034266267]
[u'maillot', 0.47883868, u'toyshop', 0.13426948, u'knee_pad', 0.072198607]
[u'bikini', 0.5716874, u'swimming_trunks', 0.23868187, u'maillot', 0.061898589]
[u'fountain', 0.11153557, u'bathing_cap', 0.094881661, u'brassiere', 0.048960838]
[u'bikini', 0.29707962, u'brassiere', 0.24921483, u'maillot', 0.1506612]
[u'maillot', 0.51808006, u'brassiere', 0.22681686, u'bikini', 0.20607722]
[u'bubble', 0.2585178, u'water_bottle', 0.16045843, u'fountain', 0.073031113]
[u'miniskirt', 0.43229514, u'pickup', 0.084312074, u'maillot', 0.051240399]
[u'bikini', 0.55121601, u'miniskirt', 0.3267211, u'maillot', 0.090470046]
[u'brassiere', 0.70089465, u'bikini', 0.079886243, u'maillot', 0.037057493]
[u'bikini', 0.72332186, u'swimming_trunks', 0.027084747, u'volleyball', 0.023696439]
[u'bathing_cap', 0.44098407, u'bikini', 0.11742368, u'sunglass', 0.089421056]
[u'triceratops', 0.18775637, u'African_elephant', 0.12029054, u'armadillo', 0.11214707]
[u'bikini', 0.62397146, u'maillot', 0.16223831, u'brassiere', 0.044023272]
[u'scuba_diver', 0.15185519, u'crash_helmet', 0.14431965, u'motor_scooter', 0.093975998]
[u'bikini', 0.5819248, u'maillot', 0.089273915, u'swimming_trunks', 0.087292172]
[u'bikini', 0.37126485, u'maillot', 0.17841825, u'diaper', 0.10986223]
[u'studio_couch', 0.91302907, u'stretcher', 0.035162274, u'maillot', 0.023587503]
[u'weasel', 0.26443639, u'tub', 0.10624826, u'polecat', 0.059425402]
[u'bikini', 0.53120816, u'bathing_cap', 0.14153552, u'swimming_trunks', 0.13762699]
[u'comic_book', 0.14249931, u'breastplate', 0.12193286, u'pedestal', 0.058207121]
[u'maillot', 0.42201817, u'tub', 0.074889801, u'bathtub', 0.070605993]
[u'flute', 0.33702716, u'cornet', 0.24053559, u'French_horn', 0.077743232]
[u'cowboy_hat', 0.13051617, u'comic_book', 0.093627512, u'brassiere', 0.053656753]
[u'swimming_trunks', 0.54987383, u'bikini', 0.063120857, u'maillot', 0.06149606]
[u'crayfish', 0.87809736, u'cockroach', 0.095166288, u'spiny_lobster', 0.0078433016]
[u'bikini', 0.73236454, u'maillot', 0.081502758, u'miniskirt', 0.065041661]
[u'wig', 0.22440483, u'shower_cap', 0.049781423, u'bubble', 0.043664172]
[u'bikini', 0.34483963, u'conch', 0.15090695, u'tub', 0.091203727]
[u'bikini', 0.81126153, u'maillot', 0.10817232, u'maillot', 0.029803386]
[u'tub', 0.27372915, u'brassiere', 0.1919381, u'bathtub', 0.16740708]
[u'barber_chair', 0.39119017, u'shoe_shop', 0.061261278, u'mailbag', 0.030691165]
[u'miniskirt', 0.48468336, u'overskirt', 0.17682536, u'hoopskirt', 0.072178185]
[u'crayfish', 0.47639212, u'frilled_lizard', 0.051796202, u'prayer_rug', 0.045592174]
