[u'maillot', 0.54591602, u'bikini', 0.11328824, u'brassiere', 0.092513621]
[u'swimming_trunks', 0.88729626, u'diaper', 0.031535089, u'bikini', 0.023273613]
[u'bathing_cap', 0.75927687, u'volleyball', 0.11160748, u'bikini', 0.024034433]
[u'brassiere', 0.13673569, u'stole', 0.13618365, u'maillot', 0.08313977]
[u'window_screen', 0.59642947, u'swimming_trunks', 0.079440169, u'fountain', 0.039847735]
[u'swimming_trunks', 0.4900997, u'bikini', 0.31021595, u'brassiere', 0.051309649]
[u'swimming_trunks', 0.6805135, u'bathing_cap', 0.066630729, u'bikini', 0.039306205]
[u'bikini', 0.12716138, u'swimming_trunks', 0.092479452, u'maillot', 0.082490914]
[u'bikini', 0.18965039, u'diaper', 0.10913594, u'studio_couch', 0.06545388]
[u'diaper', 0.36734581, u'bikini', 0.12734129, u'swimming_trunks', 0.10677209]
[u'warplane', 0.15144381, u'window_shade', 0.13689698, u'washbasin', 0.04362312]
[u'diaper', 0.33445963, u'swimming_trunks', 0.25680229, u'bikini', 0.12242574]
[u'swimming_trunks', 0.67807198, u'bikini', 0.070621818, u'diaper', 0.065806501]
[u'swimming_trunks', 0.32818058, u'brassiere', 0.25806621, u'bikini', 0.11106914]
[u'swimming_trunks', 0.30997005, u'bikini', 0.18635602, u'gown', 0.11490779]
[u'quill', 0.12454858, u'swimming_trunks', 0.11024348, u'diaper', 0.09696769]
[u'brassiere', 0.85578376, u'bikini', 0.14344281, u'maillot', 0.00061248092]
[u'bikini', 0.58219796, u'mask', 0.094408944, u'maillot', 0.083558135]
[u'sunscreen', 0.12833421, u'diaper', 0.11107787, u'bathing_cap', 0.10276385]
[u'bikini', 0.34513175, u'brassiere', 0.18189645, u'maillot', 0.048888229]
[u'bikini', 0.16407835, u'swimming_trunks', 0.081333078, u'studio_couch', 0.075466]
[u'swimming_trunks', 0.36515906, u'barbell', 0.22635455, u'bikini', 0.1298482]
[u'swimming_trunks', 0.42835426, u'diaper', 0.23007661, u'notebook', 0.072055936]
[u'punching_bag', 0.080878988, u'balance_beam', 0.079589851, u'miniskirt', 0.064847589]
[u'barbell', 0.36743173, u'bikini', 0.11507817, u'dumbbell', 0.087872915]
[u'horizontal_bar', 0.35942936, u'balance_beam', 0.24618107, u'parallel_bars', 0.19681641]
[u'bikini', 0.55079591, u'swimming_trunks', 0.18963283, u'brassiere', 0.040499374]
[u'television', 0.28801838, u'grand_piano', 0.14994529, u'park_bench', 0.098428659]
[u'brassiere', 0.37284264, u'hair_spray', 0.1733914, u'maillot', 0.049783513]
[u'bikini', 0.56608838, u'brassiere', 0.17509261, u'maillot', 0.10296167]
[u'dumbbell', 0.29776579, u'bow', 0.13949442, u'bikini', 0.12396293]
[u'bikini', 0.4582164, u'brassiere', 0.15916051, u'horizontal_bar', 0.12970126]
[u'fire_screen', 0.096137427, u'envelope', 0.095679045, u'refrigerator', 0.091395594]
[u'brassiere', 0.47600859, u'bikini', 0.42390895, u'maillot', 0.054496039]
[u'bikini', 0.58825344, u'maillot', 0.24104603, u'swimming_trunks', 0.040992931]
[u'balance_beam', 0.19379304, u'wig', 0.080414467, u'pedestal', 0.074643582]
[u'bikini', 0.47530895, u'miniskirt', 0.23771782, u'brassiere', 0.11075219]
[u'brassiere', 0.87646592, u'maillot', 0.025742026, u'fur_coat', 0.023873486]
[u'bikini', 0.18685938, u'diaper', 0.13974689, u'swimming_trunks', 0.12927249]
[u'plunger', 0.22311287, u'washbasin', 0.11366858, u'shoji', 0.1014709]
[u'ice_lolly', 0.20202614, u'piggy_bank', 0.13796945, u'sunscreen', 0.12836897]
[u'bikini', 0.60145223, u'maillot', 0.10638539, u'maillot', 0.10353894]
[u'bathtub', 0.20557146, u'tub', 0.1319194, u'gong', 0.084114738]
[u'swimming_trunks', 0.47074911, u'bikini', 0.29598743, u'bathing_cap', 0.05507949]
[u'dumbbell', 0.24272278, u'swimming_trunks', 0.14322802, u'brassiere', 0.084357023]
[u'swimming_trunks', 0.47809842, u'bikini', 0.17711097, u'maillot', 0.14436792]
[u'swimming_trunks', 0.20566879, u'bikini', 0.18431707, u'maillot', 0.14192925]
[u'television', 0.10296852, u'swimming_trunks', 0.090580896, u'fur_coat', 0.081847884]
[u'wig', 0.67560196, u'brassiere', 0.08667545, u'bikini', 0.053033281]
[u'bikini', 0.47096372, u'bathing_cap', 0.14622439, u'maillot', 0.1254002]
[u'bikini', 0.23557498, u'maillot', 0.1052516, u'sarong', 0.10074384]
[u'barbell', 0.27993837, u'pole', 0.11818221, u'volleyball', 0.079400219]
[u'wig', 0.22194424, u'bath_towel', 0.13405128, u'brassiere', 0.074169859]
[u'bikini', 0.31210035, u'maillot', 0.20622121, u'swimming_trunks', 0.19114153]
[u'bathtub', 0.57381362, u'tub', 0.42481631, u'bikini', 0.00056510686]
[u'swimming_trunks', 0.80264592, u'brassiere', 0.058364421, u'bikini', 0.036482371]
[u'swimming_trunks', 0.86828905, u'barbell', 0.035114869, u'bathing_cap', 0.015567482]
[u'diaper', 0.50511622, u'bikini', 0.27698892, u'swimming_trunks', 0.10327367]
[u'brassiere', 0.97962165, u'bikini', 0.0074638347, u'maillot', 0.0018487063]
[u'swimming_trunks', 0.57865357, u'bikini', 0.21343091, u'maillot', 0.099139564]
[u'file', 0.52271485, u'barber_chair', 0.089391097, u'dishwasher', 0.061882798]
[u'brassiere', 0.28859836, u'maillot', 0.14651056, u'bikini', 0.14645076]
[u'swimming_trunks', 0.80470836, u'dumbbell', 0.030297112, u'brassiere', 0.02674491]
[u'brassiere', 0.751378, u'bikini', 0.14258778, u'maillot', 0.056119945]
[u'miniskirt', 0.2806451, u'maillot', 0.18339171, u'sunglasses', 0.13462199]
[u'swimming_trunks', 0.73713738, u'bikini', 0.059611883, u'bathing_cap', 0.035793014]
[u'bikini', 0.38221547, u'swimming_trunks', 0.18495321, u'maillot', 0.10118376]
[u'hair_spray', 0.23019619, u'miniskirt', 0.18919431, u'maillot', 0.13144432]
[u'bikini', 0.26226071, u'brassiere', 0.10843344, u'maillot', 0.079641037]
[u'bikini', 0.18560198, u'sliding_door', 0.14995156, u'swimming_trunks', 0.11343047]
[u'punching_bag', 0.68596935, u'maillot', 0.17236775, u'bikini', 0.032820188]
[u'swimming_trunks', 0.81329423, u'bathing_cap', 0.074375466, u'bikini', 0.037937239]
[u'swimming_trunks', 0.076309808, u'laptop', 0.07628645, u'bathtub', 0.065484971]
[u'swimming_trunks', 0.17871115, u'bikini', 0.1734194, u'maillot', 0.10531174]
[u'feather_boa', 0.10920312, u'swimming_trunks', 0.043126378, u'bathing_cap', 0.042477474]
[u'stretcher', 0.20418341, u'pole', 0.20280187, u'swimming_trunks', 0.07075835]
[u'brassiere', 0.62914938, u'bikini', 0.16193557, u'maillot', 0.102028]
[u'bikini', 0.39708477, u'brassiere', 0.15276022, u'maillot', 0.12423405]
[u'bikini', 0.65696281, u'tub', 0.17127834, u'swimming_trunks', 0.072995171]
[u'maillot', 0.40814504, u'bikini', 0.37534949, u'maillot', 0.062491402]
[u'brassiere', 0.42250434, u'bikini', 0.35756809, u'maillot', 0.17092448]
[u'swimming_trunks', 0.51338363, u'bathing_cap', 0.18401085, u'sunscreen', 0.041840397]
[u'breastplate', 0.09675809, u'sarong', 0.071054533, u'racket', 0.047183502]
[u'brassiere', 0.50894791, u'bikini', 0.39912176, u'diaper', 0.045153651]
[u'bikini', 0.86404067, u'maillot', 0.061457887, u'brassiere', 0.060646318]
[u'bikini', 0.55734694, u'brassiere', 0.11660498, u'maillot', 0.071023449]
[u'diaper', 0.67103851, u'bikini', 0.22576743, u'swimming_trunks', 0.073647343]
[u'bikini', 0.29032585, u'bearskin', 0.14642532, u'pickelhaube', 0.14228864]
[u'swimming_trunks', 0.59771252, u'bathing_cap', 0.10655718, u'dumbbell', 0.056267157]
[u'goldfish', 0.14085104, u'coral_reef', 0.065258428, u'agaric', 0.050937317]
[u'oxygen_mask', 0.35308811, u'gasmask', 0.17279232, u'breastplate', 0.12872039]
[u'tobacco_shop', 0.33240646, u'sea_lion', 0.18893658, u'bathing_cap', 0.066631213]
[u'barbell', 0.55184972, u'bow', 0.17649889, u'brassiere', 0.084674589]
[u'bikini', 0.3005493, u'bow', 0.21086434, u'maillot', 0.16444339]
[u'bikini', 0.35246861, u'maillot', 0.24274974, u'maillot', 0.074792974]
[u'miniskirt', 0.2955088, u'maillot', 0.24599469, u'maillot', 0.23072574]
[u'prison', 0.69840789, u'bikini', 0.080531545, u'window_screen', 0.058870282]
[u'barbell', 0.2227096, u'swimming_trunks', 0.1047204, u'four-poster', 0.084245816]
[u'studio_couch', 0.57147628, u'four-poster', 0.058592822, u'television', 0.047272362]
[u'balance_beam', 0.38783291, u'horizontal_bar', 0.11615408, u'parallel_bars', 0.071141601]
[u'brassiere', 0.24830541, u'swimming_trunks', 0.12296136, u'bikini', 0.10633628]
[u'chain_saw', 0.23763078, u'comic_book', 0.063122123, u'swimming_trunks', 0.052983724]
[u'bikini', 0.28455466, u'brassiere', 0.11280337, u'breastplate', 0.10949775]
[u'swimming_trunks', 0.22098888, u'horizontal_bar', 0.1268532, u'barbell', 0.054884057]
[u'bikini', 0.27722535, u'brassiere', 0.11075396, u'bow', 0.090378843]
[u'maillot', 0.14691453, u'miniskirt', 0.14055108, u'brassiere', 0.10571104]
[u'redbone', 0.19308211, u'cash_machine', 0.13942839, u'swimming_trunks', 0.10041798]
[u'tub', 0.20068002, u'bikini', 0.18578957, u'bathtub', 0.15557906]
[u'studio_couch', 0.44008434, u'pajama', 0.08157225, u'neck_brace', 0.049623977]
[u'bikini', 0.26792869, u'maillot', 0.24601647, u'maillot', 0.17091404]
[u'gar', 0.43205911, u'quill', 0.1400827, u'barracouta', 0.10576852]
[u'maillot', 0.32971728, u'maillot', 0.0851973, u'miniskirt', 0.081149593]
[u'bikini', 0.29148331, u'tub', 0.26346961, u'bathtub', 0.10253155]
[u'dumbbell', 0.12895826, u'bookcase', 0.11459922, u'entertainment_center', 0.087468728]
[u'swimming_trunks', 0.87417465, u'bikini', 0.048021588, u'diaper', 0.022209672]
