[u'oxygen_mask', 0.072608396, u'bathtub', 0.041206367, u'ice_lolly', 0.038299389]
[u'racket', 0.33322772, u'Afghan_hound', 0.061102238, u'comic_book', 0.051144496]
[u'crossword_puzzle', 0.88680887, u'swimming_trunks', 0.060540114, u'bikini', 0.031961169]
[u"potter's_wheel", 0.25772008, u'tub', 0.20755881, u'prison', 0.15935577]
[u'swimming_trunks', 0.25942871, u'comic_book', 0.2040375, u'bikini', 0.096688628]
[u'comic_book', 0.97407216, u'drum', 0.018054774, u'drumstick', 0.0031519525]
[u'bikini', 0.38253641, u'swimming_trunks', 0.24203657, u'maillot', 0.10853747]
[u'brassiere', 0.37556806, u'bikini', 0.1999453, u'maillot', 0.11690712]
[u'brassiere', 0.50022018, u'bikini', 0.14203972, u'jean', 0.086520717]
[u'comic_book', 0.90540999, u'web_site', 0.029490149, u'bikini', 0.021782819]
[u'television', 0.077328838, u'accordion', 0.065833397, u'banjo', 0.065327682]
[u'wig', 0.3572768, u'brassiere', 0.28744459, u'maillot', 0.085430712]
[u'seashore', 0.22112665, u'comic_book', 0.13082387, u'swimming_trunks', 0.097827226]
[u'bikini', 0.42508131, u'brassiere', 0.19058572, u'comic_book', 0.073820449]
[u'brassiere', 0.31389424, u'comic_book', 0.17255634, u'swimming_trunks', 0.081994228]
[u'shower_cap', 0.33193395, u'brassiere', 0.27195799, u'hand_blower', 0.14088571]
[u'comic_book', 0.93589765, u'brassiere', 0.036337242, u'bikini', 0.011149433]
[u'bikini', 0.27704671, u'swimming_trunks', 0.10207981, u'bathing_cap', 0.099093527]
[u'comic_book', 0.31828076, u'Christmas_stocking', 0.050196756, u'pajama', 0.048631467]
[u'bikini', 0.53277063, u'brassiere', 0.44269276, u'maillot', 0.01597991]
[u'comic_book', 0.88959634, u'book_jacket', 0.011382663, u'gyromitra', 0.010093298]
[u'bikini', 0.67379522, u'brassiere', 0.26375583, u'maillot', 0.047246713]
[u'bathing_cap', 0.99731076, u'swimming_trunks', 0.0020762489, u'bikini', 0.00031642156]
[u'bikini', 0.78929186, u'swimming_trunks', 0.085874818, u'bathing_cap', 0.037897427]
[u'comic_book', 0.4423835, u'electric_fan', 0.15281615, u'solar_dish', 0.10589042]
[u'bikini', 0.45175335, u'swimming_trunks', 0.19388153, u'maillot', 0.10537728]
[u'bikini', 0.28356826, u'comic_book', 0.16323029, u'brassiere', 0.16207914]
[u'bikini', 0.60440844, u'swimming_trunks', 0.12332654, u'maillot', 0.057362612]
[u'bikini', 0.72784472, u'maillot', 0.10756791, u'maillot', 0.093718402]
[u'drumstick', 0.44306779, u'hammerhead', 0.16812755, u'drum', 0.08148995]
[u'comic_book', 0.63642907, u'swimming_trunks', 0.18156885, u'bikini', 0.04487497]
[u'crossword_puzzle', 0.34945923, u'comic_book', 0.33938977, u'toilet_seat', 0.16993967]
[u'bikini', 0.34183404, u'diaper', 0.20937307, u'swimming_trunks', 0.1827343]
