[u'bow', 0.1819205, u'cuirass', 0.13605753, u'shield', 0.074777812]
[u'sea_lion', 0.35599911, u'television', 0.096964724, u'bikini', 0.093496285]
[u'fur_coat', 0.081383191, u'suit', 0.049045626, u'gown', 0.048324771]
[u'swimming_trunks', 0.39226997, u'comic_book', 0.12041773, u'bikini', 0.0928009]
[u'bikini', 0.49404269, u'swimming_trunks', 0.30117822, u'bathing_cap', 0.045056108]
[u'brassiere', 0.70810354, u'bikini', 0.28806764, u'sandal', 0.0018838915]
[u'bikini', 0.66711295, u'bathtub', 0.092353575, u'maillot', 0.065527849]
[u'bikini', 0.74062407, u'brassiere', 0.073458478, u'volleyball', 0.057505224]
[u'web_site', 0.47318774, u'bikini', 0.18927734, u'picket_fence', 0.049391914]
[u'bikini', 0.82770097, u'maillot', 0.067378081, u'maillot', 0.030964179]
[u'bikini', 0.52407092, u'sarong', 0.22006072, u'maillot', 0.038506433]
[u'digital_clock', 0.58547497, u'wall_clock', 0.057341296, u'picket_fence', 0.046150751]
[u'comic_book', 0.78664756, u'maillot', 0.03412303, u'maillot', 0.028162306]
[u'swimming_trunks', 0.45802355, u'tub', 0.17785475, u'bathtub', 0.094365567]
[u'maillot', 0.29651704, u'maillot', 0.16772461, u'miniskirt', 0.14195722]
[u'suit', 0.29909191, u'television', 0.07825499, u'gown', 0.048536737]
[u'brassiere', 0.22068158, u'cleaver', 0.079049274, u'perfume', 0.075853512]
[u'punching_bag', 0.68458122, u'comic_book', 0.063727245, u'soap_dispenser', 0.060554795]
[u'bikini', 0.98166656, u'brassiere', 0.014277184, u'swimming_trunks', 0.0011086825]
[u'bikini', 0.58143383, u'swimming_trunks', 0.17234389, u'maillot', 0.11969022]
[u'pole', 0.29904124, u'knee_pad', 0.2653313, u'maillot', 0.087486468]
[u'bikini', 0.65905404, u'maillot', 0.14725018, u'brassiere', 0.11865366]
[u'Great_Dane', 0.2451289, u'punching_bag', 0.084012635, u'bathtub', 0.033015095]
[u'bathing_cap', 0.38585165, u'maillot', 0.13637574, u'brassiere', 0.07454659]
[u'comic_book', 0.41054225, u'book_jacket', 0.095662303, u'barbell', 0.065090977]
[u'bikini', 0.80819607, u'maillot', 0.061902363, u'diaper', 0.04634266]
[u'comic_book', 0.70633656, u'bikini', 0.058762919, u'carton', 0.048537351]
[u'comic_book', 0.5818131, u'shower_curtain', 0.15281567, u'paper_towel', 0.035798945]
[u'brassiere', 0.70099688, u'comic_book', 0.10660792, u'maillot', 0.046391096]
[u'bikini', 0.86931199, u'maillot', 0.077793233, u'maillot', 0.018579027]
[u'cowboy_boot', 0.048798859, u'breastplate', 0.046820976, u'jean', 0.040858064]
[u'comic_book', 0.9903937, u'maillot', 0.0023035193, u'maillot', 0.0020729331]
[u'bikini', 0.94483161, u'maillot', 0.034211848, u'miniskirt', 0.0090468926]
[u'comic_book', 0.22781667, u'brassiere', 0.21979651, u'bikini', 0.18139949]
[u'brassiere', 0.44844267, u'bikini', 0.26048544, u'maillot', 0.10518211]
[u'dumbbell', 0.36198723, u'barbell', 0.11850663, u'hog', 0.068490349]
[u'bikini', 0.41937113, u'swimming_trunks', 0.16277036, u'fur_coat', 0.12707798]
[u'crutch', 0.50998157, u'brassiere', 0.13585138, u'maillot', 0.070538685]
[u'bikini', 0.63063431, u'brassiere', 0.1603813, u'maillot', 0.065432444]
[u'bathing_cap', 0.25375676, u'bikini', 0.23848087, u'maillot', 0.16383721]
[u'bikini', 0.77885592, u'maillot', 0.1291519, u'maillot', 0.043651354]
[u'comic_book', 0.83044982, u'paper_towel', 0.014299938, u'studio_couch', 0.012297652]
[u'comic_book', 0.76562274, u'bikini', 0.11361672, u'maillot', 0.041467082]
[u'bikini', 0.63778174, u'brassiere', 0.19231746, u'maillot', 0.039172847]
[u'brassiere', 0.67137986, u'bikini', 0.1566304, u'sandal', 0.085227929]
[u'bikini', 0.31586748, u'balance_beam', 0.14753686, u'swimming_trunks', 0.080650233]
[u'bikini', 0.22400521, u'swimming_trunks', 0.18542528, u'dumbbell', 0.15293801]
[u'comic_book', 0.44442457, u'bikini', 0.15312366, u'volleyball', 0.059598584]
[u'bikini', 0.58878785, u'swimming_trunks', 0.1432274, u'sunscreen', 0.052649826]
[u'horizontal_bar', 0.37435144, u'balance_beam', 0.16144599, u'volleyball', 0.059540447]
[u'comic_book', 0.32173401, u'maillot', 0.23847733, u'bikini', 0.09557683]
[u'racket', 0.43989092, u'comic_book', 0.28770062, u'crossword_puzzle', 0.060585544]
[u'studio_couch', 0.33514488, u'wardrobe', 0.21310867, u'four-poster', 0.11283027]
[u'comic_book', 0.68738204, u'bikini', 0.12990323, u'brassiere', 0.087148294]
[u'African_hunting_dog', 0.064571314, u'Irish_wolfhound', 0.061222117, u'comic_book', 0.059341256]
[u'organ', 0.13240424, u'maillot', 0.11500507, u'jean', 0.082182892]
[u'bikini', 0.65814471, u'maillot', 0.22934897, u'brassiere', 0.083741724]
[u'maillot', 0.45507467, u'maillot', 0.32975987, u'comic_book', 0.076427445]
[u'wig', 0.25517723, u'hair_spray', 0.20415929, u'maillot', 0.1025731]
[u'comic_book', 0.58271867, u'maillot', 0.073938191, u'maillot', 0.034561586]
[u'cowboy_hat', 0.12933342, u'tub', 0.061232425, u'bow', 0.058769532]
[u'swimming_trunks', 0.39394274, u'bikini', 0.19736259, u'sarong', 0.075874619]
[u'bikini', 0.86197901, u'swimming_trunks', 0.042498715, u'brassiere', 0.036379863]
[u'comic_book', 0.66893923, u'butcher_shop', 0.081636213, u'barber_chair', 0.014134593]
