[u'upright', 0.38493651, u'loudspeaker', 0.18692657, u'monitor', 0.053778533]
[u'shower_cap', 0.58987504, u'tub', 0.032964814, u'wig', 0.020469461]
[u'bikini', 0.66102397, u'brassiere', 0.069450572, u'volleyball', 0.035548605]
[u'bikini', 0.28062272, u'brassiere', 0.11497408, u'maillot', 0.055183873]
[u'pole', 0.12248909, u'brassiere', 0.10681773, u'lipstick', 0.10374647]
[u'swimming_trunks', 0.5394913, u'drumstick', 0.31573611, u'bikini', 0.022303104]
[u'brassiere', 0.74436951, u'maillot', 0.12402054, u'knee_pad', 0.022912368]
[u'wig', 0.55050492, u'bikini', 0.13410723, u'hair_spray', 0.060418282]
[u'swimming_trunks', 0.47388199, u'bikini', 0.13382743, u'diaper', 0.10589752]
[u'bikini', 0.4784959, u'brassiere', 0.19585681, u'maillot', 0.073697418]
[u'miniskirt', 0.29145971, u'wig', 0.12835883, u'breastplate', 0.061206028]
[u'wig', 0.97036958, u'brassiere', 0.018359737, u'bikini', 0.0044861836]
[u'picket_fence', 0.11470081, u'shovel', 0.10654465, u'organ', 0.090974085]
[u'bikini', 0.33434442, u'brassiere', 0.1654205, u'diaper', 0.13866024]
[u'maillot', 0.45629454, u'hair_spray', 0.12657461, u'maillot', 0.095795147]
[u'swimming_trunks', 0.76146263, u'seashore', 0.061185036, u'bikini', 0.055279184]
[u'maillot', 0.49392024, u'bikini', 0.39094931, u'maillot', 0.074072599]
[u'bikini', 0.77090204, u'maillot', 0.18436302, u'brassiere', 0.035066776]
[u'bikini', 0.73434538, u'maillot', 0.14930005, u'swimming_trunks', 0.047800373]
[u'bikini', 0.62242043, u'maillot', 0.33205062, u'maillot', 0.044155981]
[u'brassiere', 0.95197397, u'bikini', 0.040330242, u'maillot', 0.0054591512]
