[u'comic_book', 0.17509787, u'book_jacket', 0.082057409, u'web_site', 0.062446672]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'stopwatch', 0.11358039, u'book_jacket', 0.0897846, u'comic_book', 0.078025483]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.24333587, u'envelope', 0.24241562, u'cleaver', 0.020905377]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'comic_book', 0.39488339, u'crossword_puzzle', 0.12273057, u'book_jacket', 0.062935084]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'crossword_puzzle', 0.33285093, u'hard_disc', 0.075920694, u'book_jacket', 0.075892903]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335]
[u'web_site', 0.1498415, u'envelope', 0.084674016, u'dishwasher', 0.024663104]
