[u'book_jacket', 0.41248238, u'jersey', 0.11346739, u'tray', 0.067911021]
[u'stage', 0.99392724, u'spotlight', 0.0052681812, u'electric_guitar', 0.00042670663]
[u'comic_book', 0.99680614, u'tray', 0.00077853946, u'book_jacket', 0.00072030252]
[u'stage', 0.92985421, u'spotlight', 0.031735886, u'sax', 0.016467376]
[u'stage', 0.70652902, u'drumstick', 0.069276936, u'maraca', 0.023775665]
[u'stage', 0.98174757, u'spotlight', 0.014349922, u'microphone', 0.0007057286]
[u'stage', 0.87233192, u'microphone', 0.040422209, u'spotlight', 0.032582413]
[u'stage', 0.95041597, u'spotlight', 0.030891424, u'electric_guitar', 0.0059202462]
[u'stage', 0.98670828, u'spotlight', 0.0090050539, u'electric_guitar', 0.0019172903]
[u'television', 0.69122785, u'home_theater', 0.063816376, u'refrigerator', 0.035104915]
[u'stage', 0.95820779, u'spotlight', 0.033432458, u'microphone', 0.0039282897]
[u'stage', 0.84926575, u'spotlight', 0.14242226, u'loudspeaker', 0.0026260971]
[u'stage', 0.9967199, u'theater_curtain', 0.0011335228, u'spotlight', 0.00071839144]
[u'comic_book', 0.98691261, u'book_jacket', 0.0097908946, u'packet', 0.00076873321]
[u'stage', 0.83551371, u'spotlight', 0.15679865, u'loudspeaker', 0.0041782157]
[u'stage', 0.89729899, u'electric_guitar', 0.049244769, u'banjo', 0.016139524]
[u'comic_book', 0.99463922, u'book_jacket', 0.0024692032, u'tray', 0.0012187893]
[u'stage', 0.94257295, u'banjo', 0.026252991, u'electric_guitar', 0.0148176]
[u'stage', 0.99622405, u'theater_curtain', 0.0029562765, u'maillot', 0.00028088895]
[u'stage', 0.95770073, u'electric_guitar', 0.022203105, u'banjo', 0.0088679073]
[u'stage', 0.98475862, u'spotlight', 0.004781554, u'microphone', 0.0034950483]
[u'stage', 0.96987975, u'drum', 0.005762212, u'drumstick', 0.0053461362]
[u'stage', 0.95688629, u'microphone', 0.012483256, u'electric_guitar', 0.0076306434]
[u'stage', 0.65859151, u'banjo', 0.24827632, u'microphone', 0.033300806]
[u'stage', 0.964917, u'microphone', 0.011884719, u'spotlight', 0.0068873665]
[u'stage', 0.99527055, u'microphone', 0.0013296343, u'electric_guitar', 0.0012066461]
[u'stage', 0.58620393, u'microphone', 0.1653565, u'electric_guitar', 0.12472399]
[u'stage', 0.95748878, u'spotlight', 0.015206218, u'electric_guitar', 0.013264338]
[u'stage', 0.9268868, u'spotlight', 0.027202399, u'electric_guitar', 0.017334519]
[u'stage', 0.99435836, u'spotlight', 0.0029757924, u'theater_curtain', 0.0019571339]
[u'stage', 0.69808215, u'banjo', 0.12534104, u'electric_guitar', 0.099188857]
[u'sax', 0.44291088, u'stage', 0.42107078, u'banjo', 0.036107074]
[u'stage', 0.97455728, u'electric_guitar', 0.015301832, u'spotlight', 0.0040517407]
[u'stage', 0.94108015, u'microphone', 0.02097705, u'cornet', 0.013909482]
[u'electric_guitar', 0.59357965, u'stage', 0.36405903, u'acoustic_guitar', 0.026932459]
[u'book_jacket', 0.49964419, u'menu', 0.26631987, u'binder', 0.045223348]
[u'stage', 0.98316979, u'spotlight', 0.0039148163, u'monitor', 0.0029819356]
[u'ski', 0.20983282, u'paintbrush', 0.18808486, u'padlock', 0.16784]
[u'book_jacket', 0.79428625, u'comic_book', 0.13569871, u'tray', 0.014949203]
[u'electric_guitar', 0.83188695, u'stage', 0.094496951, u'acoustic_guitar', 0.046091307]
[u'stage', 0.91962433, u'electric_guitar', 0.060863588, u'banjo', 0.0061923452]
