[u'acoustic_guitar', 0.53272623, u'electric_guitar', 0.42524433, u'banjo', 0.041710906]
[u'electric_guitar', 0.89113826, u'acoustic_guitar', 0.099392556, u'banjo', 0.0077144536]
[u'nematode', 0.15523243, u'dishwasher', 0.087953888, u'envelope', 0.019927885]
[u'electric_guitar', 0.89301252, u'pick', 0.03875054, u'acoustic_guitar', 0.02557415]
[u'electric_guitar', 0.69689476, u'acoustic_guitar', 0.27673173, u'banjo', 0.022768769]
[u'electric_guitar', 0.98521405, u'acoustic_guitar', 0.014651688, u'banjo', 5.5765169e-05]
[u'electric_guitar', 0.99236518, u'acoustic_guitar', 0.0075574904, u'banjo', 4.5354387e-05]
[u'electric_guitar', 0.81187433, u'acoustic_guitar', 0.17008254, u'fountain', 0.0021998186]
[u'electric_guitar', 0.84843332, u'acoustic_guitar', 0.070132859, u'radiator', 0.0080821449]
[u'electric_guitar', 0.8966679, u'computer_keyboard', 0.035076883, u'pick', 0.024129426]
[u'electric_guitar', 0.99041116, u'acoustic_guitar', 0.0088210553, u'violin', 0.00046724649]
[u'electric_guitar', 0.97582483, u'acoustic_guitar', 0.024054639, u'banjo', 0.00010955265]
