[u'television', 0.44816878, u'entertainment_center', 0.22415844, u'screen', 0.14484453]
[u'book_jacket', 0.25837603, u'screen', 0.13224967, u'television', 0.11134255]
[u'web_site', 0.98580277, u'book_jacket', 0.0029877836, u'envelope', 0.0014994534]
[u'screen', 0.50817227, u'television', 0.17608704, u'web_site', 0.1475033]
[u'book_jacket', 0.47699264, u'web_site', 0.30156279, u'packet', 0.10506055]
[u'web_site', 0.44739127, u'monitor', 0.30035886, u'screen', 0.10439172]
[u'prayer_rug', 0.38587043, u'shield', 0.3175225, u'tray', 0.050644156]
[u'web_site', 0.95105743, u'hand-held_computer', 0.006062502, u'menu', 0.004908171]
[u'comic_book', 0.7792142, u'book_jacket', 0.068434604, u'tripod', 0.05990237]
[u'Band_Aid', 0.35356688, u'screen', 0.15358838, u'web_site', 0.11980163]
[u'web_site', 0.48219332, u'comic_book', 0.15347868, u'menu', 0.056604195]
[u'web_site', 0.24854629, u'screen', 0.24474941, u'monitor', 0.17308705]
[u'web_site', 0.94887543, u'Band_Aid', 0.0085356478, u'remote_control', 0.0029415933]
[u'book_jacket', 0.53239936, u'comic_book', 0.24338666, u'web_site', 0.11787675]
[u'pick', 0.047607966, u'book_jacket', 0.046489697, u'lighter', 0.033842303]
[u'book_jacket', 0.49106482, u'comic_book', 0.06646651, u'scoreboard', 0.066351876]
[u'web_site', 0.5624119, u'chain_saw', 0.048447367, u'violin', 0.044747308]
[u'web_site', 0.96748662, u'book_jacket', 0.023365118, u'packet', 0.0012857569]
[u'slot', 0.5069983, u'violin', 0.17934453, u'hair_spray', 0.036249761]
[u'digital_clock', 0.85467714, u'traffic_light', 0.020748472, u'analog_clock', 0.01655243]
[u'bookshop', 0.25542259, u'web_site', 0.19270107, u'packet', 0.16081072]
[u'web_site', 0.42054483, u'book_jacket', 0.28514707, u'comic_book', 0.20627274]
[u'web_site', 0.71640867, u'book_jacket', 0.054582845, u'packet', 0.040861566]
[u'web_site', 0.46188644, u'crossword_puzzle', 0.14176132, u'digital_clock', 0.050513495]
[u'envelope', 0.13468976, u'web_site', 0.068580955, u'dishwasher', 0.060326613]
[u'web_site', 0.53128469, u'book_jacket', 0.13552018, u'screen', 0.12943171]
[u'web_site', 0.46502519, u'comic_book', 0.092575587, u'vending_machine', 0.092569932]
[u'web_site', 0.97886974, u'comic_book', 0.010530561, u'menu', 0.0045584878]
[u'comic_book', 0.082959764, u'screen', 0.079563364, u'scoreboard', 0.043416623]
[u'picket_fence', 0.54904252, u'pop_bottle', 0.073978864, u'barbershop', 0.061611734]
[u'monitor', 0.50638855, u'web_site', 0.21289855, u'screen', 0.18151021]
[u'crossword_puzzle', 0.54618359, u'prayer_rug', 0.091778859, u'web_site', 0.037322521]
[u'screen', 0.24784701, u'prayer_rug', 0.15497302, u'monitor', 0.071798854]
[u'comic_book', 0.83700675, u'book_jacket', 0.041642394, u'barbershop', 0.038686488]
