[u'wine_bottle', 0.73558789, u'red_wine', 0.24005878, u'corkscrew', 0.018526303]
[u'wine_bottle', 0.93777579, u'red_wine', 0.055688716, u'corkscrew', 0.0037688185]
[u'lotion', 0.46259266, u'nipple', 0.19697121, u'hair_spray', 0.080894426]
[u'wine_bottle', 0.82142609, u'red_wine', 0.1580559, u'corkscrew', 0.015721006]
[u'puck', 0.28780103, u'face_powder', 0.11544485, u'web_site', 0.034461126]
[u'wine_bottle', 0.93654233, u'red_wine', 0.054897904, u'beer_bottle', 0.0024271137]
[u'wine_bottle', 0.93185747, u'red_wine', 0.059375182, u'corkscrew', 0.0054428522]
[u'red_wine', 0.61789232, u'wine_bottle', 0.36876759, u'corkscrew', 0.011454066]
[u'red_wine', 0.78071839, u'wine_bottle', 0.15238078, u'corkscrew', 0.065050341]
[u'wine_bottle', 0.59558105, u'red_wine', 0.26409778, u'beer_bottle', 0.052479677]
[u'red_wine', 0.5500536, u'wine_bottle', 0.40754989, u'corkscrew', 0.037141774]
[u'wine_bottle', 0.82139611, u'red_wine', 0.15938972, u'corkscrew', 0.014899755]
[u'wine_bottle', 0.9442054, u'red_wine', 0.051507462, u'corkscrew', 0.0025866069]
