[u'digital_clock', 0.077796869, u'web_site', 0.053416152, u'screen', 0.052338999]
[u'digital_clock', 0.069917373, u'rule', 0.060642179, u'web_site', 0.054631729]
[u'web_site', 0.16291715, u'screen', 0.12178946, u'monitor', 0.11899709]
[u'digital_clock', 0.35556954, u'web_site', 0.048642907, u'book_jacket', 0.038684063]
[u'digital_clock', 0.37298071, u'jersey', 0.091499791, u'book_jacket', 0.046693318]
[u'refrigerator', 0.50211775, u'space_heater', 0.097437203, u'window_screen', 0.090381235]
[u'window_screen', 0.34314567, u'patio', 0.30019316, u'mobile_home', 0.18094322]
[u'oscilloscope', 0.092270687, u'monitor', 0.078854874, u'web_site', 0.064291194]
[u'digital_clock', 0.07623899, u'book_jacket', 0.049566291, u'rule', 0.048194155]
[u'nail', 0.091354094, u'oscilloscope', 0.050807044, u'book_jacket', 0.050696447]
[u'digital_clock', 0.20638821, u'picket_fence', 0.079817392, u'digital_watch', 0.073575005]
[u'book_jacket', 0.083910652, u'digital_clock', 0.074963912, u'matchstick', 0.06477657]
[u'digital_clock', 0.88717079, u'digital_watch', 0.043443684, u'jersey', 0.018086188]
[u'oscilloscope', 0.19523609, u'envelope', 0.060387723, u'digital_clock', 0.055634294]
[u'reel', 0.67013419, u'scabbard', 0.17026369, u'dumbbell', 0.079774663]
[u'jersey', 0.17308442, u'digital_clock', 0.11472467, u'web_site', 0.069009408]
[u'web_site', 0.13785045, u'digital_clock', 0.13346495, u'screen', 0.12454826]
[u'monitor', 0.23923241, u'television', 0.19389249, u'screen', 0.16530074]
[u'medicine_chest', 0.10417529, u'screen', 0.075154565, u'envelope', 0.069219656]
[u'refrigerator', 0.43189853, u'window_screen', 0.093652837, u'space_heater', 0.059339035]
[u'digital_clock', 0.071386091, u'rule', 0.059432585, u'book_jacket', 0.055927325]
[u'digital_clock', 0.58990991, u'analog_clock', 0.1812458, u'digital_watch', 0.14454447]
[u'matchstick', 0.094093084, u'chime', 0.092268541, u'nail', 0.083057255]
[u'digital_clock', 0.29479033, u'analog_clock', 0.16710448, u'digital_watch', 0.13951974]
[u'digital_clock', 0.57298118, u'jersey', 0.087697349, u'web_site', 0.038278714]
[u'oscilloscope', 0.11383153, u'digital_clock', 0.097949356, u'web_site', 0.07640852]
[u'monitor', 0.12041999, u'screen', 0.10222856, u'medicine_chest', 0.093850553]
[u'digital_clock', 0.51528382, u'digital_watch', 0.12631284, u'medicine_chest', 0.066102095]
[u'digital_clock', 0.44398034, u'jersey', 0.05054304, u'digital_watch', 0.041662395]
[u'digital_clock', 0.9243868, u'digital_watch', 0.048761562, u'scoreboard', 0.0041055963]
[u'digital_clock', 0.13770017, u'jersey', 0.13262142, u'web_site', 0.072126925]
[u'digital_clock', 0.94103891, u'digital_watch', 0.042528082, u'stopwatch', 0.0028941249]
[u'digital_clock', 0.15383179, u'jersey', 0.076610446, u'web_site', 0.070946217]
[u'digital_clock', 0.10368484, u'picket_fence', 0.072555326, u'digital_watch', 0.066202231]
[u'reel', 0.67211032, u'scabbard', 0.11771545, u'rifle', 0.092801608]
[u'digital_clock', 0.14607762, u'jersey', 0.093335368, u'web_site', 0.075207621]
[u'digital_clock', 0.85380626, u'digital_watch', 0.056954592, u'jersey', 0.019443819]
[u'picket_fence', 0.12766381, u'matchstick', 0.090952344, u'digital_clock', 0.078911312]
[u'digital_clock', 0.59538639, u'digital_watch', 0.073321514, u'beaker', 0.026394185]
[u'monitor', 0.12480317, u'screen', 0.12049587, u'digital_clock', 0.077415638]
[u'picket_fence', 0.16103224, u'digital_clock', 0.092388459, u'screen', 0.05494735]
[u'digital_clock', 0.17795409, u'jersey', 0.14592136, u'web_site', 0.085612305]
[u'reel', 0.85564202, u'scabbard', 0.069661684, u'rifle', 0.03641637]
[u'window_screen', 0.72662812, u'sliding_door', 0.14779462, u'window_shade', 0.063630387]
[u'digital_clock', 0.62132496, u'jersey', 0.078111596, u'digital_watch', 0.032805786]
[u'digital_clock', 0.35318699, u'digital_watch', 0.059779219, u'jersey', 0.053570163]
[u'bow', 0.33527657, u'guillotine', 0.18501097, u'pole', 0.06045828]
