[u'panpipe', 0.9752416, u'marimba', 0.0074838637, u'coil', 0.0052013574]
[u'web_site', 0.74403334, u'crossword_puzzle', 0.1475981, u'Windsor_tie', 0.036926631]
[u'medicine_chest', 0.35301229, u'window_shade', 0.19634962, u'vending_machine', 0.037508234]
[u'home_theater', 0.40273526, u'entertainment_center', 0.22008783, u'cinema', 0.093932606]
[u'web_site', 0.94694692, u'crossword_puzzle', 0.0054221107, u'rule', 0.0051759584]
[u'web_site', 0.80117464, u'Windsor_tie', 0.037726197, u'cardoon', 0.0095427446]
[u'web_site', 0.99019253, u'crossword_puzzle', 0.001532705, u'toaster', 0.00082473474]
[u'assault_rifle', 0.093357824, u'scuba_diver', 0.075967483, u'bow', 0.050506026]
[u'web_site', 0.84172285, u'menu', 0.024154626, u'corn', 0.022702591]
[u'perfume', 0.2289947, u'table_lamp', 0.092746221, u'beer_glass', 0.041492183]
[u'web_site', 0.99957031, u'menu', 7.7180121e-05, u'toaster', 3.9707407e-05]
[u'microwave', 0.26883227, u'medicine_chest', 0.1992086, u'wardrobe', 0.11238062]
[u'web_site', 0.9979679, u'menu', 0.00019331557, u'isopod', 0.0001775541]
[u'web_site', 0.8626579, u'Windsor_tie', 0.0091019422, u'book_jacket', 0.0081952959]
[u'dining_table', 0.25163257, u'window_shade', 0.20423469, u'studio_couch', 0.074149996]
[u'washbasin', 0.29323435, u'medicine_chest', 0.09518142, u'dining_table', 0.065967001]
[u'web_site', 0.92879057, u'Windsor_tie', 0.01227521, u'snail', 0.0046573915]
[u'web_site', 0.7660895, u'menu', 0.074835055, u'conch', 0.023051202]
[u'space_shuttle', 0.8560037, u'book_jacket', 0.031291761, u'drilling_platform', 0.020623935]
[u'neck_brace', 0.24188766, u'toilet_tissue', 0.10845652, u'academic_gown', 0.078999199]
[u'web_site', 0.78309137, u'fire_screen', 0.074912146, u'stove', 0.013451568]
[u'web_site', 0.97356814, u'crossword_puzzle', 0.0037901597, u'cash_machine', 0.0028369175]
[u'web_site', 0.86526442, u'crossword_puzzle', 0.085168108, u'menu', 0.0060412963]
[u'bookcase', 0.16616689, u'dining_table', 0.13766237, u'window_shade', 0.064786896]
[u'web_site', 0.84354812, u'television', 0.017092271, u'pug', 0.0045278436]
[u'web_site', 0.53992999, u'fire_screen', 0.069310896, u'Windsor_tie', 0.034945928]
[u'traffic_light', 0.68048733, u'panpipe', 0.14594388, u'church', 0.037402682]
[u'racket', 0.45466143, u'tennis_ball', 0.089486912, u'analog_clock', 0.06279137]
[u'quilt', 0.26587969, u'window_shade', 0.0881311, u'four-poster', 0.080576167]
[u'web_site', 0.92847693, u'menu', 0.013264755, u'Windsor_tie', 0.010801204]
[u'china_cabinet', 0.2595354, u'dining_table', 0.20968926, u'restaurant', 0.15910491]
[u'lighter', 0.14345637, u'sundial', 0.096167028, u'book_jacket', 0.089690037]
[u'web_site', 0.99375075, u'crossword_puzzle', 0.0011261412, u'menu', 0.0008499886]
[u'web_site', 0.9866094, u'cash_machine', 0.0029518574, u'cassette_player', 0.0007759236]
[u'four-poster', 0.74142408, u'studio_couch', 0.14339453, u'quilt', 0.020809703]
[u'menu', 0.12374657, u'recreational_vehicle', 0.090637729, u'barbershop', 0.07493794]
[u'web_site', 0.98126137, u'crossword_puzzle', 0.0027400905, u'Windsor_tie', 0.00093125005]
[u'crib', 0.17402758, u'sliding_door', 0.11951938, u'studio_couch', 0.098217435]
[u'medicine_chest', 0.19478759, u'studio_couch', 0.13333467, u'microwave', 0.059408899]
[u'monitor', 0.47250509, u'desktop_computer', 0.27609277, u'screen', 0.12807807]
[u'monitor', 0.29934636, u'desktop_computer', 0.2389656, u'screen', 0.18490678]
[u'sliding_door', 0.11045082, u'medicine_chest', 0.059006166, u'washbasin', 0.048557013]
[u'studio_couch', 0.37215418, u'window_shade', 0.092429034, u'bookcase', 0.079275802]
[u'medicine_chest', 0.87641227, u'sliding_door', 0.068069562, u'doormat', 0.013764409]
[u'web_site', 0.96710694, u'crossword_puzzle', 0.0044739703, u'envelope', 0.0022365479]
[u'web_site', 0.97855568, u'envelope', 0.0015081385, u'Windsor_tie', 0.0012341185]
