[u'scoreboard', 0.16248548, u'lakeside', 0.09721072, u'container_ship', 0.073712043]
[u'balloon', 0.34069997, u'parachute', 0.055251747, u'lakeside', 0.04854247]
[u'prayer_rug', 0.14747077, u'tray', 0.12978418, u'chain', 0.085435532]
[u'lakeside', 0.58815724, u'mosque', 0.08919967, u'bell_cote', 0.078960918]
[u'prayer_rug', 0.19938043, u'container_ship', 0.17515635, u'balloon', 0.04623678]
[u'valley', 0.13711756, u'pot', 0.047252424, u'lakeside', 0.046149589]
[u'prayer_rug', 0.49214959, u'chain', 0.07221926, u'tray', 0.066444315]
[u'lakeside', 0.13593745, u'Lakeland_terrier', 0.069776118, u'Bouvier_des_Flandres', 0.06473469]
[u'window_screen', 0.33516487, u'balloon', 0.13578391, u'lakeside', 0.055170301]
[u'ear', 0.35422355, u'corn', 0.21126011, u'window_screen', 0.042613063]
[u'lakeside', 0.39837903, u'alp', 0.1022981, u'valley', 0.098461948]
[u'container_ship', 0.1616648, u'balloon', 0.087911218, u'window_screen', 0.053994905]
[u'worm_fence', 0.11722824, u'ear', 0.096786238, u'corn', 0.069966443]
[u'Gila_monster', 0.25326237, u'prayer_rug', 0.057393871, u'Sussex_spaniel', 0.050797962]
[u'prayer_rug', 0.38821205, u'jigsaw_puzzle', 0.097991519, u'tray', 0.0699789]
[u'lakeside', 0.57271296, u'valley', 0.06135717, u'balloon', 0.049310688]
[u'lakeside', 0.11593344, u'balloon', 0.083266586, u'valley', 0.070746236]
[u'German_short-haired_pointer', 0.098375998, u'prayer_rug', 0.049630266, u'balloon', 0.042653106]
[u'corn', 0.1614265, u'prayer_rug', 0.15013894, u'ear', 0.13430353]
[u'valley', 0.39085951, u'lakeside', 0.092743963, u'castle', 0.050462499]
[u'window_screen', 0.12374502, u'hare', 0.072231278, u'German_short-haired_pointer', 0.067988865]
[u'otterhound', 0.15485314, u'prayer_rug', 0.1337707, u'German_short-haired_pointer', 0.046058781]
[u'lakeside', 0.13593745, u'Lakeland_terrier', 0.069776118, u'Bouvier_des_Flandres', 0.06473469]
[u'Norwich_terrier', 0.14709756, u'Welsh_springer_spaniel', 0.087242231, u'otterhound', 0.059178077]
[u'window_screen', 0.17320323, u'ear', 0.068192579, u'rapeseed', 0.030259682]
[u'balloon', 0.10086636, u'window_screen', 0.059300367, u'container_ship', 0.057102457]
[u'window_screen', 0.15096018, u'balloon', 0.095364779, u'ear', 0.053847611]
[u'window_screen', 0.13155021, u'pot', 0.061036315, u'prayer_rug', 0.046759043]
[u'valley', 0.39085951, u'lakeside', 0.092743963, u'castle', 0.050462499]
[u'lakeside', 0.13440405, u'balloon', 0.1311685, u'jigsaw_puzzle', 0.065753154]
[u'hip', 0.17178829, u'stone_wall', 0.10784873, u'barn', 0.080114812]
[u'prayer_rug', 0.46886039, u'tray', 0.042527296, u'German_short-haired_pointer', 0.034827296]
[u'window_screen', 0.11879245, u'pot', 0.10874261, u'Lakeland_terrier', 0.05845318]
[u'pot', 0.097896203, u'Lakeland_terrier', 0.061501183, u'Gordon_setter', 0.039931782]
[u'lakeside', 0.64536196, u'balloon', 0.1039313, u'airship', 0.035173874]
[u'window_screen', 0.084255338, u'balloon', 0.071726598, u'pot', 0.057544973]
[u'pot', 0.20256265, u'window_screen', 0.15403247, u'jigsaw_puzzle', 0.13198675]
[u'prayer_rug', 0.78161711, u'tray', 0.02999229, u'jigsaw_puzzle', 0.015360049]
[u'scoreboard', 0.10709006, u'valley', 0.096789427, u'lakeside', 0.093019895]
[u'lakeside', 0.51659924, u'balloon', 0.056889441, u'alp', 0.038483337]
[u'prayer_rug', 0.10427339, u'window_screen', 0.073821366, u'ear', 0.052988265]
