[u'switch', 0.35875294, u'spotlight', 0.16525069, u'space_heater', 0.080469266]
[u'screwdriver', 0.88167298, u"carpenter's_kit", 0.055373069, u'lipstick', 0.023959408]
[u'switch', 0.26215559, u"carpenter's_kit", 0.21148288, u'power_drill', 0.10488249]
[u"carpenter's_kit", 0.52121866, u'printer', 0.10027029, u'pencil_sharpener', 0.059110578]
[u'lighter', 0.66688174, u'safe', 0.084507778, u'ashcan', 0.05715863]
[u'sewing_machine', 0.37538663, u'plane', 0.28958732, u'hook', 0.1416676]
[u'switch', 0.50033206, u'whistle', 0.29061878, u'chain_saw', 0.065213077]
[u'safe', 0.67462122, u'switch', 0.11966719, u'combination_lock', 0.095601186]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'analog_clock', 0.31042403, u'nail', 0.078940824, u'folding_chair', 0.055046491]
[u'refrigerator', 0.18236244, u'safe', 0.1185152, u'lighter', 0.087235659]
[u'hook', 0.57422429, u'nematode', 0.080417611, u'combination_lock', 0.034788445]
[u'rock_beauty', 0.9008823, u'hook', 0.050014254, u'cassette', 0.023353228]
[u'cassette', 0.38994357, u'hook', 0.31754655, u'can_opener', 0.099842735]
[u'pencil_sharpener', 0.18329525, u'switch', 0.16682826, u'cassette', 0.091871083]
[u'cassette', 0.40048712, u'pencil_sharpener', 0.33425879, u'cassette_player', 0.1685809]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'pencil_sharpener', 0.49596471, u'safe', 0.35093912, u'combination_lock', 0.11892872]
[u'safe', 0.53792918, u'combination_lock', 0.19223562, u'switch', 0.17762534]
[u'analog_clock', 0.31042403, u'nail', 0.078940824, u'folding_chair', 0.055046491]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'safe', 0.24057534, u'switch', 0.20347834, u'combination_lock', 0.094865389]
[u"carpenter's_kit", 0.4407317, u'screwdriver', 0.16501956, u'ballpoint', 0.11187015]
[u'nail', 0.26424307, u'crutch', 0.21013658, u'hook', 0.071205094]
[u'shovel', 0.40924224, u'hook', 0.35618436, u'swab', 0.036592152]
[u'barbell', 0.065642893, u'guillotine', 0.056788471, u'bicycle-built-for-two', 0.03657173]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'safe', 0.69189662, u'combination_lock', 0.12946348, u'switch', 0.070819266]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'hook', 0.45177755, u'oxygen_mask', 0.29235762, u'combination_lock', 0.064836115]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'hook', 0.43866098, u'chain_saw', 0.10412347, u'electric_guitar', 0.075190328]
[u'analog_clock', 0.15011814, u'hook', 0.1403687, u'folding_chair', 0.09498699]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'vacuum', 0.4584668, u'power_drill', 0.15334119, u"carpenter's_kit", 0.057535969]
[u'hook', 0.3415949, u'oxygen_mask', 0.25258085, u'combination_lock', 0.15082189]
[u'hook', 0.21655656, u'whistle', 0.18048498, u'spotlight', 0.13495094]
