[u'rapeseed', 0.22403695, u'cliff', 0.14798777, u'volcano', 0.094234467]
[u'lakeside', 0.7597599, u'boathouse', 0.19630282, u'beacon', 0.0074901879]
[u'canoe', 0.36985713, u'lakeside', 0.30190226, u'boathouse', 0.10702808]
[u'boathouse', 0.97179371, u'mobile_home', 0.015876392, u'lakeside', 0.0065196245]
[u'lakeside', 0.30264139, u'stone_wall', 0.21030077, u'megalith', 0.18520433]
[u'boathouse', 0.90820378, u'lakeside', 0.078830257, u'mobile_home', 0.0022200779]
[u'street_sign', 0.27786121, u'comic_book', 0.11706597, u'traffic_light', 0.10501889]
[u'boathouse', 0.57444489, u'lakeside', 0.35328883, u'mobile_home', 0.024749687]
[u'lakeside', 0.48733181, u'boathouse', 0.43679225, u'canoe', 0.022514425]
[u'recreational_vehicle', 0.31123337, u'breakwater', 0.24941519, u'boathouse', 0.14330633]
[u'boathouse', 0.97839296, u'lakeside', 0.010596731, u'barn', 0.0035683038]
[u'boathouse', 0.38734278, u'lakeside', 0.26297104, u'church', 0.15944037]
[u'lakeside', 0.56832737, u'boathouse', 0.28871062, u'sandbar', 0.041958358]
