[u'web_site', 0.50805718, u'scoreboard', 0.21383326, u'television', 0.063906036]
[u'web_site', 0.83060944, u'television', 0.098078772, u'screen', 0.010765272]
[u'comic_book', 0.45903775, u'isopod', 0.16745511, u'book_jacket', 0.05622765]
[u'web_site', 0.40368047, u'dugong', 0.28796718, u'book_jacket', 0.12274992]
[u'web_site', 0.88359267, u'brain_coral', 0.01578375, u'nematode', 0.011172853]
[u'web_site', 0.49209115, u'scoreboard', 0.28739607, u'television', 0.046527844]
[u'comic_book', 0.57513016, u'book_jacket', 0.17362285, u'web_site', 0.039374631]
[u'packet', 0.31050804, u'envelope', 0.22686337, u'book_jacket', 0.18666293]
[u'street_sign', 0.4101021, u'scoreboard', 0.15878956, u'book_jacket', 0.064922549]
[u'web_site', 0.68858194, u'joystick', 0.073107637, u'comic_book', 0.017354337]
[u'web_site', 0.9250018, u'book_jacket', 0.032246806, u'menu', 0.004176917]
[u'web_site', 0.38413996, u'hand-held_computer', 0.12600817, u'packet', 0.097932652]
[u'web_site', 0.8242504, u'book_jacket', 0.05622194, u'scoreboard', 0.033886336]
[u'web_site', 0.63256502, u'book_jacket', 0.079557627, u'monitor', 0.06883534]
[u'web_site', 0.30191672, u'switch', 0.13932802, u'Band_Aid', 0.067687429]
[u'stethoscope', 0.87356228, u'oscilloscope', 0.024230653, u'radio', 0.017012354]
[u'web_site', 0.50185603, u'comic_book', 0.17504932, u'nematode', 0.069630407]
[u'television', 0.74962693, u'screen', 0.1512222, u'web_site', 0.021077167]
[u'web_site', 0.27952251, u'cash_machine', 0.21733285, u'hand-held_computer', 0.072404191]
[u'web_site', 0.54041773, u'starfish', 0.049138509, u'nematode', 0.042893942]
[u'television', 0.42686999, u'web_site', 0.23250589, u'screen', 0.11624246]
[u'web_site', 0.30950916, u'envelope', 0.085941479, u'packet', 0.085252635]
[u'web_site', 0.99556953, u'lab_coat', 0.0008886311, u'menu', 0.00078363036]
[u'web_site', 0.40462911, u'television', 0.094132975, u'hand-held_computer', 0.072374284]
[u'book_jacket', 0.96911466, u'comic_book', 0.016834209, u'packet', 0.0044794972]
[u'web_site', 0.23526555, u'perfume', 0.19282852, u'nematode', 0.12839553]
[u'book_jacket', 0.51711124, u'web_site', 0.093976967, u'comic_book', 0.08596468]
[u'web_site', 0.97983104, u'menu', 0.0036967557, u'television', 0.0036833582]
[u'web_site', 0.91753012, u'cash_machine', 0.03597099, u'television', 0.0082536694]
[u'web_site', 0.34639376, u'jersey', 0.23517437, u'television', 0.079894789]
[u'container_ship', 0.28806609, u'web_site', 0.13569193, u'tobacco_shop', 0.083476007]
[u'web_site', 0.31690255, u'can_opener', 0.11783203, u'maraca', 0.033459499]
[u'web_site', 0.74982131, u'television', 0.026717221, u'hair_spray', 0.019473132]
[u'web_site', 0.97647357, u'packet', 0.0031357454, u'book_jacket', 0.0023478628]
[u'television', 0.79036528, u'web_site', 0.072874486, u'screen', 0.05049216]
[u'book_jacket', 0.72094589, u'web_site', 0.13419992, u'comic_book', 0.10132155]
[u'web_site', 0.57404315, u'cellular_telephone', 0.071250074, u'screen', 0.069651887]
[u'comic_book', 0.28607392, u'book_jacket', 0.27326486, u'web_site', 0.17405024]
[u'web_site', 0.48217317, u'nipple', 0.064881139, u'iron', 0.043953203]
[u'cash_machine', 0.31761271, u'web_site', 0.15446484, u'screen', 0.048096087]
[u'web_site', 0.3466095, u'cash_machine', 0.31559905, u'modem', 0.060316026]
[u'web_site', 0.32684037, u'comic_book', 0.31028667, u'book_jacket', 0.11310737]
[u'web_site', 0.9591893, u'menu', 0.0034267399, u'hair_spray', 0.0019834663]
[u'book_jacket', 0.25704873, u'web_site', 0.19930035, u'perfume', 0.13172597]
[u'web_site', 0.99510527, u'book_jacket', 0.0027714968, u'television', 0.00034734255]
[u'jersey', 0.13940921, u'web_site', 0.086318545, u'scale', 0.024921896]
[u'comic_book', 0.25795239, u'volcano', 0.21807867, u'book_jacket', 0.12569942]
[u'Band_Aid', 0.89909506, u'web_site', 0.056115843, u'nipple', 0.018495124]
[u'web_site', 0.9454909, u'scoreboard', 0.014589196, u'television', 0.0078820521]
[u'web_site', 0.91948664, u'book_jacket', 0.0547157, u'scoreboard', 0.0035000101]
[u'web_site', 0.90654105, u'Band_Aid', 0.013539322, u'envelope', 0.0047804578]
[u'web_site', 0.93363804, u'book_jacket', 0.019177699, u'comic_book', 0.0069102691]
[u'web_site', 0.41650662, u'comic_book', 0.35058859, u'packet', 0.037366062]
[u'comic_book', 0.82858664, u'book_jacket', 0.14517628, u'web_site', 0.011318158]
