[u'cassette', 0.34935018, u'guillotine', 0.33943337, u'cleaver', 0.12084012, u'hard_disc', 0.053543888, u'binder', 0.013636624]
[u'modem', 0.75024742, u'switch', 0.070704915, u'radio', 0.053328436, u'oscilloscope', 0.044870447, u'space_heater', 0.012256314]
[u'joystick', 0.9984597, u'switch', 0.0011974644, u'punching_bag', 5.5887172e-05, u'microphone', 4.1527783e-05, u'hook', 2.7990514e-05]
[u'hook', 0.19162472, u'vacuum', 0.092382625, u'whistle', 0.088682584, u'stopwatch', 0.058855515, u'buckle', 0.057146106]
[u'power_drill', 0.8286745, u"carpenter's_kit", 0.048153978, u'chain_saw', 0.033047866, u'hand_blower', 0.013708891, u'hook', 0.0062350384]
[u'nail', 0.77315956, u'sea_anemone', 0.025325309, u'packet', 0.022807674, u'sea_urchin', 0.0098631959, u'paddlewheel', 0.008994028]
[u'power_drill', 0.32688928, u'water_bottle', 0.24465184, u'switch', 0.13846169, u'lighter', 0.069005109, u'joystick', 0.048196491]
[u'switch', 0.65118438, u'whistle', 0.053891692, u'combination_lock', 0.036810782, u'strainer', 0.029105315, u'loupe', 0.027604019]
[u'switch', 0.39621222, u'water_bottle', 0.35819274, u'knee_pad', 0.055058137, u'joystick', 0.033722419, u'lighter', 0.015661726]
[u'whistle', 0.19496277, u'switch', 0.1182509, u'hook', 0.10868556, u'joystick', 0.095234714, u'magnetic_compass', 0.069512203]
[u'loupe', 0.70443869, u'buckle', 0.13133457, u'hook', 0.016191268, u'coil', 0.011418683, u'hair_slide', 0.0092394361]
[u'spotlight', 0.8036111, u'loupe', 0.080385983, u'loudspeaker', 0.044438381, u'magnetic_compass', 0.015980601, u'switch', 0.010838083]
[u'switch', 0.95482689, u'loupe', 0.018041819, u'traffic_light', 0.0095752599, u'modem', 0.0029158951, u'magnetic_compass', 0.0027080684]
[u'joystick', 0.99846089, u'switch', 0.0014055633, u'radio', 3.7771551e-05, u'punching_bag', 9.9016406e-06, u'espresso_maker', 9.5929818e-06]
[u'puck', 0.73529172, u'pencil_sharpener', 0.15887564, u'loupe', 0.025966723, u'oil_filter', 0.021167606, u'buckle', 0.0070650899]
[u'joystick', 0.99454111, u'switch', 0.0045876438, u'microphone', 9.8395118e-05, u'maraca', 8.0709848e-05, u'plunger', 7.6374046e-05]
[u'switch', 0.82297736, u'spotlight', 0.049051549, u'loupe', 0.036297232, u"carpenter's_kit", 0.0096761463, u'radio', 0.0085214106]
[u'switch', 0.95374542, u'loupe', 0.012856746, u'spotlight', 0.010209308, u'magnetic_compass', 0.0061197714, u'modem', 0.0037661707]
[u'switch', 0.93088853, u'loupe', 0.032647561, u'spotlight', 0.0065728705, u'modem', 0.0056107724, u'loudspeaker', 0.0042104218]
[u'joystick', 0.94380766, u'plunger', 0.036518835, u'switch', 0.0064650974, u'spotlight', 0.0054048728, u'table_lamp', 0.0010586038]
[u'spotlight', 0.6129204, u'switch', 0.28694227, u'traffic_light', 0.052555084, u'knee_pad', 0.013076631, u'joystick', 0.0084500443]
[u'vending_machine', 0.21874011, u'modem', 0.11183696, u'microwave', 0.083369441, u'cassette_player', 0.078032352, u'binder', 0.061728317]
