[u'vault', 0.48417926, u'tobacco_shop', 0.051809218, u'comic_book', 0.043358833, u'theater_curtain', 0.041604515, u'altar', 0.037105102]
[u'traffic_light', 0.2865507, u'car_mirror', 0.18323003, u'volcano', 0.094106063, u'stove', 0.076429732, u'fire_screen', 0.047405954]
[u'scoreboard', 0.24581665, u'menu', 0.14281408, u'tobacco_shop', 0.12920351, u'book_jacket', 0.089117236, u'street_sign', 0.078928649]
[u'crate', 0.60867375, u'digital_clock', 0.1166963, u'carton', 0.082449146, u'lighter', 0.014302838, u'oil_filter', 0.013238917]
[u'Band_Aid', 0.049664434, u'book_jacket', 0.034385853, u'web_site', 0.031924523, u'screw', 0.031305764, u'nail', 0.030999213]
[u'web_site', 0.83945328, u'envelope', 0.045570239, u'menu', 0.019121725, u'washer', 0.0053702979, u'screw', 0.0041797641]
[u'web_site', 0.26365232, u'comic_book', 0.12843433, u'envelope', 0.093428887, u'menu', 0.069353119, u'vending_machine', 0.057953749]
[u'comic_book', 0.67297834, u'book_jacket', 0.30067098, u'web_site', 0.010955023, u'water_buffalo', 0.0010683751, u'oxcart', 0.0010043655]
[u'theater_curtain', 0.14406827, u'shield', 0.11662555, u'prayer_rug', 0.072165981, u'slot', 0.068064913, u'perfume', 0.063649401]
[u'web_site', 0.23221284, u'drum', 0.046847995, u'pick', 0.044650584, u'envelope', 0.038395189, u'whistle', 0.037764814]
[u'web_site', 0.33761758, u'comic_book', 0.084845282, u'book_jacket', 0.066632546, u'menu', 0.027672101, u'Band_Aid', 0.014599754]
[u'book_jacket', 0.14890796, u'plastic_bag', 0.11256012, u'street_sign', 0.078747705, u'stage', 0.027366068, u'analog_clock', 0.026688602]
[u'comic_book', 0.56803846, u'web_site', 0.21924177, u'book_jacket', 0.15957969, u'menu', 0.0070338654, u'rifle', 0.002670099]
[u'comic_book', 0.7669062, u'book_jacket', 0.1589193, u'jigsaw_puzzle', 0.029758593, u'bookshop', 0.0051118154, u'packet', 0.0047569606]
[u'book_jacket', 0.91651309, u'comic_book', 0.082668096, u'volcano', 0.00040442034, u'alp', 0.00011512796, u'web_site', 6.3348678e-05]
[u'tray', 0.12166356, u'book_jacket', 0.096400283, u'prayer_rug', 0.086348198, u'shield', 0.069747977, u'mailbox', 0.067417562]
[u'rotisserie', 0.29281893, u'book_jacket', 0.28383934, u'stove', 0.17992234, u'fire_screen', 0.16638303, u'comic_book', 0.05280368]
[u'book_jacket', 0.97179598, u'comic_book', 0.020644834, u'jersey', 0.00090443227, u'envelope', 0.00077161728, u'binder', 0.00054085237]
[u'web_site', 0.46792507, u'envelope', 0.052563887, u'menu', 0.032143123, u'coffee_mug', 0.028266048, u'drum', 0.024606682]
[u'jigsaw_puzzle', 0.50378591, u'comic_book', 0.22912651, u'book_jacket', 0.075920857, u'television', 0.026114378, u'slot', 0.022276884]
[u'comic_book', 0.59670889, u'book_jacket', 0.13069621, u'menu', 0.058216088, u'bakery', 0.043724716, u'restaurant', 0.030198796]
[u'web_site', 0.50037235, u'comic_book', 0.43385962, u'refrigerator', 0.019300595, u'jigsaw_puzzle', 0.015245591, u'toyshop', 0.0052397177]
[u'Band_Aid', 0.061185725, u'web_site', 0.055403255, u'menu', 0.055119012, u'book_jacket', 0.046282612, u'strawberry', 0.024241036]
[u'book_jacket', 0.71971315, u'comic_book', 0.25816441, u'web_site', 0.0067917495, u'coral_reef', 0.0020531479, u'scuba_diver', 0.0016082074]
[u'comic_book', 0.91404355, u'slot', 0.060666461, u'jigsaw_puzzle', 0.019915788, u'book_jacket', 0.0017743012, u'web_site', 0.0006440173]
[u'comic_book', 0.078342721, u'book_jacket', 0.047037002, u'web_site', 0.030239953, u'oscilloscope', 0.029737132, u'scoreboard', 0.028853718]
[u'comic_book', 0.74933469, u'book_jacket', 0.21155639, u'jigsaw_puzzle', 0.0058950726, u'television', 0.005126311, u'theater_curtain', 0.0041994001]
[u'shield', 0.18900211, u'analog_clock', 0.14626417, u'bow', 0.14004235, u'web_site', 0.045982055, u'stopwatch', 0.034582563]
[u'book_jacket', 0.66148174, u'barbershop', 0.088327095, u'Band_Aid', 0.040599573, u'comic_book', 0.022186888, u'street_sign', 0.012794658]
