[u'banana', 0.34412566, u'comic_book', 0.073255025, u'cuirass', 0.052351408, u'vase', 0.039029945, u'artichoke', 0.035114072]
[u'digital_clock', 0.78715008, u'oscilloscope', 0.065329798, u'scoreboard', 0.041792329, u'web_site', 0.027924091, u'digital_watch', 0.006282405]
[u'crossword_puzzle', 0.98050147, u'medicine_chest', 0.0091807023, u'shower_curtain', 0.0023664068, u'soap_dispenser', 0.00069394143, u'bookcase', 0.00064844557]
[u'crossword_puzzle', 0.98678708, u'shower_curtain', 0.0063807652, u'medicine_chest', 0.0016172196, u'toilet_seat', 0.0013699129, u'washbasin', 0.00042798798]
[u'crossword_puzzle', 0.99235743, u'medicine_chest', 0.0015972456, u'shower_curtain', 0.0015911323, u'toilet_seat', 0.00070042373, u'soap_dispenser', 0.00062402227]
[u'crossword_puzzle', 0.80944276, u'shower_curtain', 0.032688696, u'medicine_chest', 0.022409767, u'wall_clock', 0.018044064, u'toilet_seat', 0.011973836]
[u'crossword_puzzle', 0.91245294, u'shower_curtain', 0.028886542, u'toilet_seat', 0.012801858, u'medicine_chest', 0.0055348184, u'wall_clock', 0.004352293]
[u'wall_clock', 0.12170506, u'binder', 0.082325578, u'digital_clock', 0.063754022, u'golf_ball', 0.048313294, u'prayer_rug', 0.043456051]
[u'digital_clock', 0.98858601, u'digital_watch', 0.0045081554, u'analog_clock', 0.0016413903, u'wall_clock', 0.0015170075, u'scoreboard', 0.0010758291]
[u'crossword_puzzle', 0.48484132, u'shower_curtain', 0.21608882, u'toilet_seat', 0.068687454, u'medicine_chest', 0.047544345, u'washbasin', 0.021241065]
[u'digital_clock', 0.98884904, u'digital_watch', 0.0043179924, u'scoreboard', 0.0013254269, u'wall_clock', 0.0012994574, u'analog_clock', 0.00093642564]
[u'crossword_puzzle', 0.94773436, u'shower_curtain', 0.03103639, u'medicine_chest', 0.0040913899, u'soap_dispenser', 0.0034926862, u'paper_towel', 0.0024583973]
[u'digital_clock', 0.85991514, u'oscilloscope', 0.046752617, u'web_site', 0.015489458, u'wall_clock', 0.01328269, u'scoreboard', 0.012211302]
[u'crossword_puzzle', 0.99758923, u'medicine_chest', 0.0021909715, u'container_ship', 3.2990745e-05, u'sewing_machine', 3.2984142e-05, u'typewriter_keyboard', 2.1204418e-05]
[u'shower_curtain', 0.27574369, u'toilet_seat', 0.25135139, u'crossword_puzzle', 0.24544479, u'washbasin', 0.040221434, u'medicine_chest', 0.031547654]
[u'crossword_puzzle', 0.80670404, u'shower_curtain', 0.10788517, u'medicine_chest', 0.024777077, u'toilet_seat', 0.01948317, u'soap_dispenser', 0.0048329639]
