[u'tray', 0.13805991, u'digital_clock', 0.094170637, u'pillow', 0.090802707, u'prayer_rug', 0.071676232, u'crossword_puzzle', 0.065389104]
[u'digital_clock', 0.20992224, u'web_site', 0.10801595, u'tray', 0.10030084, u'cash_machine', 0.062875226, u'wall_clock', 0.039949767]
[u'web_site', 0.2342667, u'tray', 0.13205816, u'cash_machine', 0.069737375, u'television', 0.048443586, u'rule', 0.036113501]
[u'envelope', 0.34974751, u'web_site', 0.2275703, u'tray', 0.071039289, u'cash_machine', 0.047692932, u'theater_curtain', 0.025719844]
[u'tray', 0.29718316, u'television', 0.093473375, u'screen', 0.092079155, u'monitor', 0.053582493, u'web_site', 0.045271821]
[u'crossword_puzzle', 0.3247045, u'tray', 0.10750546, u'wall_clock', 0.091142081, u'prayer_rug', 0.039028764, u'web_site', 0.035582673]
[u'wall_clock', 0.15021499, u'shower_curtain', 0.11430315, u'tray', 0.11028931, u'television', 0.089245148, u'book_jacket', 0.04022849]
[u'tray', 0.32942995, u'wall_clock', 0.05391844, u'whistle', 0.043858986, u'web_site', 0.040499132, u'shield', 0.038189076]
[u'web_site', 0.26647788, u'tray', 0.084603593, u'crossword_puzzle', 0.051408153, u'envelope', 0.045124192, u'prayer_rug', 0.044485085]
[u'web_site', 0.28772029, u'tray', 0.16008076, u'whistle', 0.06983979, u'wall_clock', 0.06666591, u'cash_machine', 0.056278206]
[u'cash_machine', 0.22509301, u'web_site', 0.1370399, u'envelope', 0.095350653, u'screen', 0.061143663, u'tray', 0.043336615]
[u'tray', 0.30684879, u'shield', 0.10615177, u'quilt', 0.057825662, u'book_jacket', 0.057191584, u'pillow', 0.049269255]
[u'cash_machine', 0.37193763, u'television', 0.135206, u'tray', 0.12969667, u'monitor', 0.087700091, u'sliding_door', 0.063205674]
[u'wall_clock', 0.24398538, u'web_site', 0.067158051, u'shower_curtain', 0.049521789, u'television', 0.048784953, u'tray', 0.048539735]
[u'tray', 0.28300706, u'crossword_puzzle', 0.095468849, u'wall_clock', 0.079074971, u'television', 0.055215232, u'web_site', 0.050984498]
[u'prayer_rug', 0.14271781, u'envelope', 0.10453683, u'wardrobe', 0.076072693, u'web_site', 0.066897444, u'binder', 0.057485338]
[u'web_site', 0.38786024, u'tray', 0.14392605, u'cash_machine', 0.096149109, u'envelope', 0.061601304, u'whistle', 0.038183697]
[u'cash_machine', 0.10110243, u'envelope', 0.071055926, u'binder', 0.051435132, u'web_site', 0.049008135, u'refrigerator', 0.045131903]
[u'prayer_rug', 0.21853733, u'tray', 0.14897169, u'digital_clock', 0.11170457, u'book_jacket', 0.072975904, u'screen', 0.050370857]
[u'television', 0.30230668, u'web_site', 0.17843971, u'envelope', 0.075540639, u'entertainment_center', 0.063860968, u'screen', 0.032077793]
[u'screen', 0.34527773, u'rule', 0.090040848, u'monitor', 0.08995682, u'tray', 0.06795872, u'digital_clock', 0.052517857]
[u'wall_clock', 0.12974928, u'book_jacket', 0.092093535, u'prayer_rug', 0.065979116, u'tray', 0.065874249, u'whistle', 0.0530563]
[u'envelope', 0.46728411, u'web_site', 0.13132405, u'tray', 0.030842207, u'rule', 0.024987131, u'cash_machine', 0.019948265]
[u'tray', 0.26731902, u'screen', 0.12666902, u'digital_clock', 0.078676052, u'monitor', 0.054198172, u'prayer_rug', 0.042949788]
[u'digital_clock', 0.40382317, u'web_site', 0.076789893, u'wall_clock', 0.062424175, u'screen', 0.047879536, u'ambulance', 0.038774677]
[u'screen', 0.18739446, u'web_site', 0.18185338, u'digital_clock', 0.11105962, u'oscilloscope', 0.063311018, u'monitor', 0.06270308]
[u'shower_curtain', 0.3659687, u'binder', 0.071789406, u'wall_clock', 0.061981697, u'prayer_rug', 0.034410313, u'crossword_puzzle', 0.030263089]
[u'wardrobe', 0.27152541, u'shower_curtain', 0.14975122, u'web_site', 0.1201197, u'wall_clock', 0.038668923, u'binder', 0.031315587]
[u'shower_curtain', 0.67054695, u'wardrobe', 0.18240945, u'sliding_door', 0.020432601, u'washbasin', 0.014747427, u'binder', 0.013999836]
