[u'bow', 0.15580696, u'crossword_puzzle', 0.14980866, u'digital_watch', 0.10177117, u'whistle', 0.073324069, u'nail', 0.059447464]
[u'digital_clock', 0.27103591, u'scoreboard', 0.17441463, u'Band_Aid', 0.06586989, u'digital_watch', 0.050116573, u'web_site', 0.041087043]
[u'digital_clock', 0.49040568, u'web_site', 0.14564487, u'digital_watch', 0.041688476, u'Band_Aid', 0.039576713, u'envelope', 0.029496433]
[u'web_site', 0.14377238, u'scoreboard', 0.086092971, u'digital_clock', 0.083415888, u'book_jacket', 0.033968665, u'remote_control', 0.032597978]
[u'digital_clock', 0.12823904, u'scoreboard', 0.12223084, u'web_site', 0.10292491, u'stopwatch', 0.087994076, u'digital_watch', 0.060716808]
[u'theater_curtain', 0.11682806, u'web_site', 0.040182307, u'envelope', 0.036577825, u'plunger', 0.034900341, u'binder', 0.0304967]
[u'shield', 0.30358323, u'hair_slide', 0.14251679, u'remote_control', 0.048696507, u'lighter', 0.044786576, u'theater_curtain', 0.036958128]
[u'digital_clock', 0.068195507, u'web_site', 0.067270614, u'book_jacket', 0.045202114, u'rifle', 0.036422204, u'strainer', 0.035924722]
[u'digital_clock', 0.19257702, u'Band_Aid', 0.18924835, u'scoreboard', 0.14304, u'whistle', 0.050449599, u'analog_clock', 0.028632771]
[u'book_jacket', 0.1800741, u'web_site', 0.04838641, u'theater_curtain', 0.045920074, u'scoreboard', 0.037869956, u'hair_spray', 0.031744204]
[u'envelope', 0.19772647, u'web_site', 0.072557501, u'packet', 0.034525357, u'digital_clock', 0.029496312, u'whistle', 0.029216185]
[u'web_site', 0.22604135, u'screwdriver', 0.10924153, u'whistle', 0.10431139, u'ski', 0.082825765, u'tripod', 0.040676907]
[u'digital_clock', 0.16669913, u'scoreboard', 0.11810394, u'web_site', 0.055904772, u'analog_clock', 0.050456047, u'Band_Aid', 0.046125378]
[u'web_site', 0.23616353, u'envelope', 0.1993546, u'book_jacket', 0.074908026, u'jersey', 0.049148377, u'comic_book', 0.02304985]
[u'web_site', 0.1560863, u'digital_clock', 0.12147553, u'scoreboard', 0.054601673, u'envelope', 0.038034793, u'remote_control', 0.025546059]
[u'cassette', 0.26194397, u'digital_clock', 0.13006304, u'envelope', 0.081933327, u'Band_Aid', 0.037181541, u'whistle', 0.031536836]
[u'power_drill', 0.21964219, u'screw', 0.078725368, u'digital_clock', 0.076249056, u'digital_watch', 0.058449607, u'tripod', 0.057326987]
[u'nail', 0.16716544, u'ski', 0.11547573, u'screw', 0.083076939, u'syringe', 0.079829037, u'screwdriver', 0.043722082]
[u'digital_clock', 0.26802135, u'scoreboard', 0.21814017, u'jersey', 0.035498578, u'Band_Aid', 0.02367924, u'prayer_rug', 0.022354761]
