[u'lipstick', 0.90960902, u'wig', 0.059847839, u'hair_spray', 0.0069640051, u'face_powder', 0.0049716323, u'hair_slide', 0.0017820789]
[u'fur_coat', 0.15179315, u'wig', 0.099407732, u'stole', 0.037382122, u'hand_blower', 0.032858111, u'brassiere', 0.030900694]
[u'brassiere', 0.34386095, u'wig', 0.28002927, u'hair_spray', 0.064596869, u'maillot', 0.035501536, u'bikini', 0.02755828]
[u'wig', 0.83239812, u'wool', 0.044216171, u'hair_slide', 0.015394711, u'bikini', 0.0073369564, u'brassiere', 0.0057217628]
[u'brassiere', 0.29795209, u'harp', 0.23986694, u'wig', 0.050134957, u'velvet', 0.021967607, u'miniskirt', 0.021900963]
[u'lipstick', 0.12096901, u'hair_spray', 0.11203938, u'wig', 0.078403696, u'face_powder', 0.055365033, u'fur_coat', 0.044537868]
[u'wool', 0.68532676, u'wig', 0.13649036, u'sombrero', 0.035574548, u'stole', 0.034611519, u'poncho', 0.019447584]
[u'wig', 0.29775482, u'fur_coat', 0.14167307, u'brassiere', 0.085945338, u'bikini', 0.058771133, u'pajama', 0.048390608]
[u'brassiere', 0.2374561, u'lipstick', 0.17548633, u'wig', 0.14185387, u'maillot', 0.029109145, u'Band_Aid', 0.027467269]
[u'lipstick', 0.34640688, u'brassiere', 0.27254766, u'face_powder', 0.19544739, u'bikini', 0.031118456, u'bathing_cap', 0.013618303]
[u'brassiere', 0.4928714, u'bikini', 0.045430109, u'theater_curtain', 0.037106972, u'academic_gown', 0.031256665, u'hair_spray', 0.026866939]
[u'brassiere', 0.21552299, u'hair_slide', 0.084525995, u'bikini', 0.072543584, u'lipstick', 0.065761961, u'bassoon', 0.040722575]
[u'fur_coat', 0.2499792, u'brassiere', 0.15933847, u'maillot', 0.10760652, u'wig', 0.073289163, u'sweatshirt', 0.048639216]
[u'brassiere', 0.3622095, u'maillot', 0.3056207, u'maillot', 0.13930315, u'gown', 0.08259242, u'bikini', 0.04073796]
[u'brassiere', 0.9349128, u'bikini', 0.016236598, u'maillot', 0.013847178, u'maillot', 0.0087707145, u'hair_spray', 0.0049943915]
[u'brassiere', 0.86001694, u'bikini', 0.032749496, u'maillot', 0.029715566, u'sarong', 0.013481612, u'gown', 0.012563968]
[u'tub', 0.2152317, u'bathtub', 0.19245575, u'brassiere', 0.081318781, u'wig', 0.050660916, u'hand_blower', 0.048627943]
[u'wig', 0.91392386, u'oxygen_mask', 0.0072259586, u'neck_brace', 0.0065667666, u'hair_spray', 0.0059275599, u'mask', 0.0041618622]
[u'brassiere', 0.8208968, u'bikini', 0.038550559, u'maillot', 0.026523018, u'maillot', 0.01378347, u'hair_spray', 0.011534804]
[u'brassiere', 0.24231939, u'maillot', 0.23634177, u'gown', 0.15938471, u'overskirt', 0.051607195, u'maillot', 0.041708291]
[u'brassiere', 0.64293581, u'bikini', 0.074149489, u'maillot', 0.041673902, u'hand_blower', 0.041063547, u'fur_coat', 0.022102088]
[u'brassiere', 0.57567239, u'bikini', 0.25831813, u'maillot', 0.03555499, u'hair_spray', 0.02397624, u'maillot', 0.015708415]
[u'lipstick', 0.79904759, u'brassiere', 0.14752673, u'ice_lolly', 0.0097953463, u'face_powder', 0.0076676016, u'flute', 0.0029395274]
[u'hand_blower', 0.15991677, u'brassiere', 0.14216755, u'wig', 0.12936926, u'hair_spray', 0.036825888, u'lab_coat', 0.021564586]
[u'brassiere', 0.55317658, u'bikini', 0.2877011, u'maillot', 0.046603043, u'hair_spray', 0.023283185, u'hand_blower', 0.0094186626]
[u'wig', 0.23306541, u'brassiere', 0.1324428, u'face_powder', 0.053420022, u'abaya', 0.04911102, u'hair_slide', 0.040525287]
[u'wig', 0.29630998, u'brassiere', 0.1544672, u'miniskirt', 0.1302354, u'maillot', 0.11786813, u'bikini', 0.065110341]
[u'bikini', 0.46187001, u'brassiere', 0.23251873, u'hair_slide', 0.051879816, u'wig', 0.031872313, u'hair_spray', 0.027516242]
[u'hand_blower', 0.24011356, u'miniskirt', 0.10143364, u'bikini', 0.089143179, u'brassiere', 0.087604143, u'maillot', 0.038174253]
[u'brassiere', 0.94377977, u'bikini', 0.024295719, u'maillot', 0.0056009325, u'maillot', 0.0050691878, u'sweatshirt', 0.0032603184]
[u'wig', 0.2196833, u'fur_coat', 0.17540622, u'brassiere', 0.11070288, u'hand_blower', 0.053042859, u'hair_spray', 0.044214502]
[u'neck_brace', 0.096157357, u'brassiere', 0.068942733, u'bath_towel', 0.064373784, u'Band_Aid', 0.062607758, u'nipple', 0.049341585]
[u'brassiere', 0.488783, u'hair_spray', 0.14579867, u'wig', 0.12656303, u'miniskirt', 0.029663142, u'bikini', 0.029210946]
[u'miniskirt', 0.17135245, u'hair_spray', 0.16176975, u'wig', 0.081157006, u'oboe', 0.055070806, u'maillot', 0.041484281]
[u'brassiere', 0.24280399, u'maillot', 0.14566955, u'maillot', 0.083804287, u'miniskirt', 0.077827759, u'overskirt', 0.075323626]
[u'sombrero', 0.20328416, u'bonnet', 0.11091594, u'fur_coat', 0.074889831, u'abaya', 0.068580016, u'wig', 0.066985101]
[u'brassiere', 0.31626403, u'abaya', 0.10782962, u'maillot', 0.068046279, u'miniskirt', 0.053252723, u'bikini', 0.04150454]
