[u'sliding_door', 0.12456004, u'rifle', 0.10040411, u'abaya', 0.076390587, u'wardrobe', 0.065706447, u'window_screen', 0.045233369]
[u'swimming_trunks', 0.25654349, u'sunglasses', 0.085732728, u'bikini', 0.084295608, u'running_shoe', 0.059243508, u'brassiere', 0.050320618]
[u'tub', 0.3881036, u'swimming_trunks', 0.15703894, u'bikini', 0.12260335, u'bathtub', 0.081551261, u'bathing_cap', 0.047472898]
[u'bikini', 0.29695919, u'swimming_trunks', 0.29568806, u'diaper', 0.084009908, u'maillot', 0.074884959, u'sunscreen', 0.06340342]
[u'bikini', 0.570436, u'diaper', 0.089142397, u'maillot', 0.058816455, u'brassiere', 0.05179438, u'sunscreen', 0.032203626]
[u'swimming_trunks', 0.31877574, u'studio_couch', 0.1709163, u'bikini', 0.13403532, u'diaper', 0.092986837, u'maillot', 0.050630804]
[u'swimming_trunks', 0.5471698, u'sunscreen', 0.14388567, u'basketball', 0.073653862, u'bikini', 0.019193707, u'diaper', 0.019026658]
[u'maillot', 0.078300297, u'neck_brace', 0.070564523, u'maillot', 0.068409756, u'tub', 0.064434581, u'chain_mail', 0.042412262]
[u'pajama', 0.95437819, u'sarong', 0.012522652, u'kimono', 0.0068324162, u'miniskirt', 0.0032318495, u'gown', 0.0026809562]
[u'bikini', 0.27344847, u'carton', 0.24013351, u'brassiere', 0.16746476, u'miniskirt', 0.055172246, u'tub', 0.02667346]
[u'bikini', 0.6617499, u'swimming_trunks', 0.30039334, u'diaper', 0.0118099, u'maillot', 0.0054915696, u'sarong', 0.0053570671]
[u'bikini', 0.47965282, u'swimming_trunks', 0.30681887, u'maillot', 0.10467438, u'diaper', 0.065777674, u'maillot', 0.016040353]
[u'diaper', 0.35257772, u'bikini', 0.27028406, u'volleyball', 0.062070191, u'stethoscope', 0.041885193, u'tub', 0.034116197]
[u'tub', 0.39022633, u'bikini', 0.30479792, u'miniskirt', 0.089822866, u'bathtub', 0.035093218, u'brassiere', 0.027666399]
[u'miniskirt', 0.33022004, u'bikini', 0.1956086, u'sarong', 0.13369544, u'maillot', 0.061250407, u'maillot', 0.029904705]
[u'diaper', 0.44798008, u'bikini', 0.088652909, u'tub', 0.08186201, u'bathtub', 0.043913752, u'brassiere', 0.043548957]
[u'bikini', 0.80211335, u'brassiere', 0.083329588, u'maillot', 0.012380027, u'miniskirt', 0.011627209, u'pajama', 0.011425775]
[u'bikini', 0.52018493, u'maillot', 0.14778869, u'maillot', 0.13402267, u'swimming_trunks', 0.093901061, u'tub', 0.034778371]
[u'butcher_shop', 0.20181675, u'tub', 0.13534406, u'hog', 0.12054614, u'bathtub', 0.053361338, u'triceratops', 0.047805548]
[u'grand_piano', 0.30745831, u'bikini', 0.082666568, u'upright', 0.061786696, u'swimming_trunks', 0.05040092, u'tub', 0.041716047]
[u'swimming_trunks', 0.47403699, u'diaper', 0.23248591, u'sunscreen', 0.055328991, u'tub', 0.046197549, u'bikini', 0.042159047]
[u'swimming_trunks', 0.60135269, u'hog', 0.12162432, u'polecat', 0.021951154, u'bikini', 0.020736391, u'balance_beam', 0.0180675]
[u'studio_couch', 0.67117673, u'brassiere', 0.037238713, u'barber_chair', 0.031105237, u'swing', 0.022909004, u'miniskirt', 0.019829456]
[u'bikini', 0.61594987, u'miniskirt', 0.094339959, u'brassiere', 0.089357875, u'swimming_trunks', 0.074600019, u'pole', 0.024831515]
[u'swimming_trunks', 0.14763008, u'gyromitra', 0.088586159, u'bikini', 0.063060172, u'butcher_shop', 0.062284742, u'tub', 0.057975452]
