[u'sarong', 0.60289568, u'miniskirt', 0.080093548, u'maillot', 0.063951209, u'velvet', 0.053548984, u'maillot', 0.036224451]
[u'miniskirt', 0.65522486, u'brassiere', 0.075385317, u'maillot', 0.071125641, u'bikini', 0.053786904, u'maillot', 0.028803457]
[u'brassiere', 0.71457767, u'bikini', 0.17986311, u'miniskirt', 0.065663911, u'maillot', 0.0073149963, u'diaper', 0.0054704039]
[u'bathing_cap', 0.25055569, u'moped', 0.22757033, u'crash_helmet', 0.18394667, u'swimming_trunks', 0.034123324, u'cannon', 0.033127535]
[u'refrigerator', 0.42670444, u'microwave', 0.24534628, u'toaster', 0.14731736, u'washer', 0.054294102, u'dishwasher', 0.017202962]
[u'maillot', 0.39199695, u'miniskirt', 0.37689134, u'maillot', 0.17845617, u'stole', 0.018995717, u'jean', 0.0049531367]
[u'miniskirt', 0.37027934, u'maillot', 0.2773042, u'maillot', 0.095297515, u'hoopskirt', 0.069856592, u'overskirt', 0.024357673]
[u'brassiere', 0.3457875, u'miniskirt', 0.27245554, u'bikini', 0.25339329, u'sarong', 0.047045913, u'maillot', 0.025630869]
[u'bikini', 0.43737084, u'maillot', 0.22072569, u'maillot', 0.15622774, u'sarong', 0.040851917, u'snorkel', 0.021344259]
[u'bikini', 0.33958814, u'comic_book', 0.24425957, u'brassiere', 0.10888194, u'maillot', 0.076269262, u'miniskirt', 0.056768302]
[u'miniskirt', 0.70211917, u'bikini', 0.11390494, u'maillot', 0.063376367, u'maillot', 0.042612106, u'park_bench', 0.0069849994]
[u'gown', 0.32786068, u'hoopskirt', 0.25850821, u'overskirt', 0.15405169, u'miniskirt', 0.12065934, u'feather_boa', 0.027945442]
[u'bikini', 0.48333034, u'sarong', 0.27262759, u'brassiere', 0.063509576, u'maillot', 0.055885129, u'miniskirt', 0.021098491]
[u'miniskirt', 0.20057651, u'bikini', 0.19464344, u'maillot', 0.13037966, u'stage', 0.12859662, u'brassiere', 0.12691638]
[u'miniskirt', 0.43978643, u'maillot', 0.19682857, u'maillot', 0.14378275, u'parallel_bars', 0.023732448, u'balance_beam', 0.022731604]
[u'miniskirt', 0.27750006, u'bikini', 0.14007832, u'maillot', 0.1073086, u'swimming_trunks', 0.062233698, u'barbell', 0.054649934]
[u'crutch', 0.51810217, u'maillot', 0.18196015, u'maillot', 0.16028611, u'bikini', 0.096189879, u'pole', 0.0155768]
