[u'oxygen_mask', 0.072608396, u'bathtub', 0.041206367, u'ice_lolly', 0.038299389, u'pajama', 0.037704792, u'sleeping_bag', 0.036812853]
[u'racket', 0.33322772, u'Afghan_hound', 0.061102238, u'comic_book', 0.051144496, u'brassiere', 0.047762834, u'Great_Pyrenees', 0.043690629]
[u'crossword_puzzle', 0.88680887, u'swimming_trunks', 0.060540114, u'bikini', 0.031961169, u'comic_book', 0.006585096, u'maillot', 0.0029601806]
[u"potter's_wheel", 0.25772008, u'tub', 0.20755881, u'prison', 0.15935577, u'bathtub', 0.14308992, u'bikini', 0.04100623]
[u'swimming_trunks', 0.25942871, u'comic_book', 0.2040375, u'bikini', 0.096688628, u'web_site', 0.062416036, u'ice_lolly', 0.043634128]
[u'comic_book', 0.97407216, u'drum', 0.018054774, u'drumstick', 0.0031519525, u'crossword_puzzle', 0.0010910489, u'web_site', 0.00029008041]
[u'bikini', 0.38253641, u'swimming_trunks', 0.24203657, u'maillot', 0.10853747, u'comic_book', 0.094600283, u'maillot', 0.087798886]
[u'brassiere', 0.37556806, u'bikini', 0.1999453, u'maillot', 0.11690712, u'maillot', 0.1093883, u'comic_book', 0.065310828]
[u'brassiere', 0.50022018, u'bikini', 0.14203972, u'jean', 0.086520717, u'swimming_trunks', 0.069199219, u'sarong', 0.051016908]
[u'comic_book', 0.90540999, u'web_site', 0.029490149, u'bikini', 0.021782819, u'maillot', 0.0095409174, u'brassiere', 0.0060647898]
[u'television', 0.077328838, u'accordion', 0.065833397, u'banjo', 0.065327682, u'muzzle', 0.056677237, u'cowboy_boot', 0.052822802]
[u'wig', 0.3572768, u'brassiere', 0.28744459, u'maillot', 0.085430712, u'bikini', 0.048407938, u'sarong', 0.035971563]
[u'seashore', 0.22112665, u'comic_book', 0.13082387, u'swimming_trunks', 0.097827226, u'fountain', 0.071320429, u'bikini', 0.04976894]
[u'bikini', 0.42508131, u'brassiere', 0.19058572, u'comic_book', 0.073820449, u'swimming_trunks', 0.056510996, u'pick', 0.056140035]
[u'brassiere', 0.31389424, u'comic_book', 0.17255634, u'swimming_trunks', 0.081994228, u'toilet_seat', 0.042837143, u'diaper', 0.031766657]
[u'shower_cap', 0.33193395, u'brassiere', 0.27195799, u'hand_blower', 0.14088571, u'miniskirt', 0.068783849, u'bikini', 0.030537294]
[u'comic_book', 0.93589765, u'brassiere', 0.036337242, u'bikini', 0.011149433, u'bathing_cap', 0.0021743395, u'maillot', 0.0015471253]
[u'bikini', 0.27704671, u'swimming_trunks', 0.10207981, u'bathing_cap', 0.099093527, u'barbell', 0.095609561, u'cowboy_hat', 0.057047535]
[u'comic_book', 0.31828076, u'Christmas_stocking', 0.050196756, u'pajama', 0.048631467, u'kimono', 0.042330261, u'breastplate', 0.026526088]
[u'bikini', 0.53277063, u'brassiere', 0.44269276, u'maillot', 0.01597991, u'maillot', 0.0022201389, u'swimming_trunks', 0.001396903]
[u'comic_book', 0.88959634, u'book_jacket', 0.011382663, u'gyromitra', 0.010093298, u'brassiere', 0.0085637802, u'dumbbell', 0.0080457246]
[u'bikini', 0.67379522, u'brassiere', 0.26375583, u'maillot', 0.047246713, u'swimming_trunks', 0.0057841446, u'tub', 0.0037222677]
[u'bathing_cap', 0.99731076, u'swimming_trunks', 0.0020762489, u'bikini', 0.00031642156, u'maillot', 0.0001052392, u'maillot', 9.9392761e-05]
[u'bikini', 0.78929186, u'swimming_trunks', 0.085874818, u'bathing_cap', 0.037897427, u'maillot', 0.030159533, u'comic_book', 0.021921949]
[u'comic_book', 0.4423835, u'electric_fan', 0.15281615, u'solar_dish', 0.10589042, u'radio_telescope', 0.055613272, u'file', 0.02750317]
[u'bikini', 0.45175335, u'swimming_trunks', 0.19388153, u'maillot', 0.10537728, u'crossword_puzzle', 0.052035954, u'tub', 0.042114645]
[u'bikini', 0.28356826, u'comic_book', 0.16323029, u'brassiere', 0.16207914, u'sunglasses', 0.059568919, u'sunglass', 0.03370266]
[u'bikini', 0.60440844, u'swimming_trunks', 0.12332654, u'maillot', 0.057362612, u'bathing_cap', 0.056229625, u'brassiere', 0.046270218]
[u'bikini', 0.72784472, u'maillot', 0.10756791, u'maillot', 0.093718402, u'swimming_trunks', 0.020910323, u'miniskirt', 0.011522926]
[u'drumstick', 0.44306779, u'hammerhead', 0.16812755, u'drum', 0.08148995, u'crossword_puzzle', 0.065206386, u'comic_book', 0.04160532]
[u'comic_book', 0.63642907, u'swimming_trunks', 0.18156885, u'bikini', 0.04487497, u'maillot', 0.038835347, u'brassiere', 0.033820368]
[u'crossword_puzzle', 0.34945923, u'comic_book', 0.33938977, u'toilet_seat', 0.16993967, u'bikini', 0.023016321, u'loupe', 0.01814137]
[u'bikini', 0.34183404, u'diaper', 0.20937307, u'swimming_trunks', 0.1827343, u'comic_book', 0.12688416, u'brassiere', 0.055002734]
[u'brassiere', 0.55621123, u'bikini', 0.13633688, u'web_site', 0.070170648, u'comic_book', 0.028049832, u'conch', 0.027994221]
[u'buckle', 0.22943427, u'sandal', 0.16431224, u'bolo_tie', 0.075574584, u'miniskirt', 0.047002409, u'breastplate', 0.034717545]
[u'nail', 0.20014492, u'bubble', 0.11349828, u'matchstick', 0.096287258, u'comic_book', 0.078791417, u'analog_clock', 0.043959778]
[u'swimming_trunks', 0.33485299, u'volleyball', 0.17331997, u'hand_blower', 0.16429226, u'bikini', 0.086316496, u'barbell', 0.038082607]
[u'comic_book', 0.4012233, u'swimming_trunks', 0.092122465, u'bikini', 0.074691325, u'maillot', 0.06705907, u'brassiere', 0.036361396]
[u'brassiere', 0.76849902, u'bikini', 0.1985483, u'comic_book', 0.020477403, u'maillot', 0.0027997231, u'diaper', 0.0026324503]
[u'bikini', 0.61550963, u'maillot', 0.35700509, u'maillot', 0.014460498, u'brassiere', 0.0030428497, u'diaper', 0.0013446958]
[u'bikini', 0.50528568, u'swimming_trunks', 0.21413024, u'maillot', 0.10281412, u'maillot', 0.042938754, u'crossword_puzzle', 0.028995909]
[u'comic_book', 0.95168298, u'drumstick', 0.01631782, u'envelope', 0.0059557576, u'menu', 0.0053610592, u'book_jacket', 0.002691933]
[u'bikini', 0.67178118, u'bathing_cap', 0.17255829, u'swimming_trunks', 0.049103465, u'maillot', 0.040693764, u'maillot', 0.038642228]
[u'tub', 0.26073334, u'swimming_trunks', 0.21879447, u'bathtub', 0.18305036, u'bikini', 0.14659356, u'maillot', 0.088313736]
[u'bikini', 0.35899538, u'maillot', 0.22420196, u'maillot', 0.20965013, u'comic_book', 0.13836427, u'crossword_puzzle', 0.042031031]
[u'comic_book', 0.2092986, u'crate', 0.10518474, u'revolver', 0.063637167, u'accordion', 0.045469895, u'cash_machine', 0.040391076]
[u'comic_book', 0.83983862, u'brassiere', 0.041518621, u'bikini', 0.03905588, u'hair_spray', 0.026344372, u'maillot', 0.0070281173]
[u'comic_book', 0.79779887, u'jean', 0.090415262, u'bookshop', 0.01599578, u'brassiere', 0.012695986, u'sunglasses', 0.0082450956]
[u'comic_book', 0.64909762, u'sombrero', 0.08530701, u'umbrella', 0.076976866, u'shower_cap', 0.054080147, u'punching_bag', 0.0093467375]
[u'brassiere', 0.54667991, u'miniskirt', 0.16850019, u'maillot', 0.15111895, u'bikini', 0.042125609, u'knee_pad', 0.011367045]
[u'comic_book', 0.52443177, u'French_horn', 0.097589426, u'jean', 0.083854757, u'pajama', 0.052578665, u'brassiere', 0.040093802]
[u'bikini', 0.75335699, u'comic_book', 0.061592642, u'sunglasses', 0.044861507, u'swimming_trunks', 0.037059572, u'maillot', 0.029466243]
[u'comic_book', 0.86176771, u'lipstick', 0.016789414, u'pick', 0.016685134, u'web_site', 0.014152241, u'French_horn', 0.0082415333]
[u'comic_book', 0.83001089, u'brassiere', 0.13817126, u'toilet_seat', 0.009743806, u'Dungeness_crab', 0.0027701098, u'refrigerator', 0.0025043667]
[u'brassiere', 0.47994751, u'bikini', 0.2065406, u'tub', 0.068653613, u'seat_belt', 0.02372602, u'bathtub', 0.016638014]
[u'bikini', 0.2350878, u'brassiere', 0.17758055, u'maillot', 0.1052703, u'drum', 0.063077696, u'swimming_trunks', 0.034068797]
[u'bikini', 0.99396282, u'maillot', 0.0053071487, u'brassiere', 0.00044481322, u'miniskirt', 0.0001661884, u'volleyball', 3.4156034e-05]
[u'comic_book', 0.99280155, u'bikini', 0.0011343929, u'book_jacket', 0.0010437022, u'swimming_trunks', 0.00081762136, u'dishwasher', 0.00064058858]
[u'comic_book', 0.34605882, u'bikini', 0.27413911, u'crossword_puzzle', 0.23100197, u'maillot', 0.045267411, u'swimming_trunks', 0.02502659]
