[u'dumbbell', 0.21367623, u'barbell', 0.18909824, u'printer', 0.084227405, u'photocopier', 0.083665244, u'studio_couch', 0.073314674]
[u"potter's_wheel", 0.52387846, u'king_crab', 0.084153995, u'rotisserie', 0.044253156, u'bikini', 0.039980881, u'earthstar', 0.038439266]
[u'teddy', 0.22444235, u'toyshop', 0.12749951, u'television', 0.030674836, u'coral_reef', 0.024883397, u'barrow', 0.020348933]
[u"potter's_wheel", 0.19410726, u'tub', 0.075107463, u'bikini', 0.069700941, u'butcher_shop', 0.067460477, u'mask', 0.033735771]
[u'bikini', 0.25602391, u'maillot', 0.19249015, u'starfish', 0.099539958, u'sandal', 0.04942321, u'king_crab', 0.045155235]
[u'maillot', 0.59342682, u'maillot', 0.17708808, u'bikini', 0.17092386, u'brassiere', 0.039411176, u'miniskirt', 0.0031507402]
[u'comic_book', 0.46184257, u'book_jacket', 0.12753372, u'jigsaw_puzzle', 0.084040031, u'sandal', 0.081834823, u'coil', 0.029763294]
[u'mask', 0.19815032, u'fountain', 0.18042153, u'book_jacket', 0.095023759, u'bathing_cap', 0.050895542, u'tub', 0.043922491]
[u'comic_book', 0.32244039, u'shower_cap', 0.042537395, u'mousetrap', 0.027473299, u'Italian_greyhound', 0.021572163, u'Weimaraner', 0.020088233]
[u'comic_book', 0.99091643, u'carousel', 0.0021926826, u"yellow_lady's_slipper", 0.00084539765, u'banana', 0.00079046638, u'tree_frog', 0.00058435305]
[u'tub', 0.65368521, u'bikini', 0.17082688, u'brassiere', 0.10184656, u'bathtub', 0.027351363, u"potter's_wheel", 0.0080384258]
[u'fountain', 0.36958966, u'pedestal', 0.12624906, u'swimming_trunks', 0.070120074, u'dumbbell', 0.042161431, u'altar', 0.032642826]
[u'bikini', 0.24422114, u'brassiere', 0.10116532, u'maillot', 0.081016503, u'screen', 0.037123308, u'swimming_trunks', 0.031291891]
[u'maillot', 0.44015706, u'brassiere', 0.17452925, u'bikini', 0.14238156, u'miniskirt', 0.075818948, u'maillot', 0.061796643]
[u'bikini', 0.17214444, u'maillot', 0.12868479, u'common_iguana', 0.054854296, u'knot', 0.042323261, u'carousel', 0.031606682]
[u'axolotl', 0.3416847, u'fiddler_crab', 0.17529492, u'banded_gecko', 0.084134065, u'bikini', 0.074556209, u'rock_crab', 0.057438008]
[u'comic_book', 0.16247599, u'scuba_diver', 0.075741164, u'snorkel', 0.068901025, u'overskirt', 0.059431218, u'oxygen_mask', 0.046183117]
[u'miniskirt', 0.32085752, u'bikini', 0.10775851, u'unicycle', 0.086857915, u'brassiere', 0.081119604, u'volleyball', 0.070830613]
[u'bikini', 0.29614323, u'tub', 0.13838814, u'bathtub', 0.062990174, u'Italian_greyhound', 0.047894724, u'sandal', 0.037649203]
[u'swimming_trunks', 0.20406269, u'bathing_cap', 0.19873443, u'toyshop', 0.066861674, u'doormat', 0.042220756, u'balance_beam', 0.036907356]
[u'bikini', 0.48448938, u'maillot', 0.12562257, u'swimming_trunks', 0.082475312, u'maillot', 0.037210416, u'bathing_cap', 0.033946589]
[u'breastplate', 0.23849946, u'wig', 0.22572365, u'abaya', 0.14854342, u'chain_mail', 0.094084397, u'overskirt', 0.080793552]
[u'bikini', 0.85005939, u'maillot', 0.040195897, u'maillot', 0.021903392, u'sarong', 0.021441635, u'wig', 0.016287562]
[u'carousel', 0.86460429, u'triceratops', 0.051654402, u'fountain', 0.026387719, u'breastplate', 0.0042576552, u'coil', 0.0037470835]
[u'bikini', 0.48604372, u'brassiere', 0.13057247, u'maillot', 0.094161533, u'maillot', 0.093650885, u'swimming_trunks', 0.049784161]
[u'swimming_trunks', 0.94746649, u'bathing_cap', 0.036765479, u'maillot', 0.0058274041, u'bikini', 0.0046595274, u'maillot', 0.0029070948]
[u'comic_book', 0.095626503, u'book_jacket', 0.057077263, u'fountain', 0.039528366, u'paddle', 0.037178218, u'altar', 0.035743989]
[u'bikini', 0.23333557, u'maillot', 0.11893652, u'brassiere', 0.067948088, u'dumbbell', 0.05030166, u'Weimaraner', 0.031970054]
[u'swimming_trunks', 0.68381232, u'bathing_cap', 0.26239154, u'bikini', 0.016157035, u'fountain', 0.013660675, u'maillot', 0.0031666157]
