[u'bow', 0.1819205, u'cuirass', 0.13605753, u'shield', 0.074777812, u'cowboy_hat', 0.062723972, u'rifle', 0.059641019]
[u'sea_lion', 0.35599911, u'television', 0.096964724, u'bikini', 0.093496285, u'tub', 0.0262649, u'home_theater', 0.024846911]
[u'fur_coat', 0.081383191, u'suit', 0.049045626, u'gown', 0.048324771, u'brassiere', 0.04343259, u'balance_beam', 0.043230552]
[u'swimming_trunks', 0.39226997, u'comic_book', 0.12041773, u'bikini', 0.0928009, u'brassiere', 0.043970145, u'web_site', 0.043316368]
[u'bikini', 0.49404269, u'swimming_trunks', 0.30117822, u'bathing_cap', 0.045056108, u'brassiere', 0.024294266, u'maillot', 0.019746013]
[u'brassiere', 0.70810354, u'bikini', 0.28806764, u'sandal', 0.0018838915, u'swimming_trunks', 0.00094247551, u'tub', 0.00019525165]
[u'bikini', 0.66711295, u'bathtub', 0.092353575, u'maillot', 0.065527849, u'tub', 0.063740581, u'brassiere', 0.052702487]
[u'bikini', 0.74062407, u'brassiere', 0.073458478, u'volleyball', 0.057505224, u'maillot', 0.032057982, u'tub', 0.017637214]
[u'web_site', 0.47318774, u'bikini', 0.18927734, u'picket_fence', 0.049391914, u'maillot', 0.036716994, u'jean', 0.020250827]
[u'bikini', 0.82770097, u'maillot', 0.067378081, u'maillot', 0.030964179, u'tub', 0.019406661, u'swimming_trunks', 0.012992598]
[u'bikini', 0.52407092, u'sarong', 0.22006072, u'maillot', 0.038506433, u'brassiere', 0.032656137, u'gown', 0.022657769]
[u'digital_clock', 0.58547497, u'wall_clock', 0.057341296, u'picket_fence', 0.046150751, u'digital_watch', 0.03640645, u'analog_clock', 0.024278617]
[u'comic_book', 0.78664756, u'maillot', 0.03412303, u'maillot', 0.028162306, u'nipple', 0.02675049, u'handkerchief', 0.010821893]
[u'swimming_trunks', 0.45802355, u'tub', 0.17785475, u'bathtub', 0.094365567, u'bikini', 0.086598516, u'brassiere', 0.084376365]
[u'maillot', 0.29651704, u'maillot', 0.16772461, u'miniskirt', 0.14195722, u'bikini', 0.14015974, u'swimming_trunks', 0.092487834]
[u'suit', 0.29909191, u'television', 0.07825499, u'gown', 0.048536737, u'bearskin', 0.04737905, u'groom', 0.028782964]
[u'brassiere', 0.22068158, u'cleaver', 0.079049274, u'perfume', 0.075853512, u'turnstile', 0.041436851, u'lab_coat', 0.039549164]
