[u'butcher_shop', 0.92882246, u'hog', 0.031127816, u'cleaver', 0.0039145704, u'dough', 0.0035591889, u'scale', 0.0035156051]
[u'comic_book', 0.88097614, u'motor_scooter', 0.05122754, u'carousel', 0.0096143335, u'drumstick', 0.0048527564, u'toyshop', 0.0046038218]
[u'bikini', 0.46524823, u'miniskirt', 0.10415452, u'maillot', 0.090682976, u'maillot', 0.069081262, u'mask', 0.020233287]
[u'bikini', 0.47245237, u'swimming_trunks', 0.26266336, u'maillot', 0.068578273, u'brassiere', 0.056390829, u'volleyball', 0.045706641]
[u'comic_book', 0.82199711, u'bikini', 0.11527179, u'swimming_trunks', 0.054462846, u'maillot', 0.0022008368, u'bathing_cap', 0.0012444241]
[u'comic_book', 0.22163303, u'swimming_trunks', 0.13680184, u'diaper', 0.055210825, u'web_site', 0.047401287, u'jean', 0.046144716]
[u'comic_book', 0.22642842, u'crossword_puzzle', 0.061065454, u'ladle', 0.056002222, u'spatula', 0.044699587, u'strainer', 0.027094066]
[u'brassiere', 0.57187957, u'scoreboard', 0.16347322, u'jigsaw_puzzle', 0.043517981, u'diaper', 0.027077541, u'bikini', 0.018846009]
[u'swimming_trunks', 0.77345127, u'bikini', 0.093589529, u'maillot', 0.035427649, u'maillot', 0.024049031, u'sunscreen', 0.013943395]
[u'solar_dish', 0.24199426, u'comic_book', 0.23540604, u'crossword_puzzle', 0.13903096, u'electric_ray', 0.062692702, u'mushroom', 0.04585918]
[u'paddle', 0.53796232, u'comic_book', 0.084527723, u'book_jacket', 0.062107772, u'maillot', 0.056801479, u'bikini', 0.043960392]
[u'bikini', 0.36161736, u'comic_book', 0.22725633, u'scale', 0.1744806, u'swimming_trunks', 0.098161712, u'web_site', 0.010161646]
[u'comic_book', 0.50340146, u'crossword_puzzle', 0.33067569, u'bathtub', 0.032349724, u'pick', 0.021977901, u'bikini', 0.01453317]
[u'comic_book', 0.90521103, u'menu', 0.024474379, u'packet', 0.0090963049, u'web_site', 0.007996195, u'crossword_puzzle', 0.0076208888]
[u'crossword_puzzle', 0.57028478, u'tray', 0.12513083, u'plate', 0.11201154, u'Dutch_oven', 0.027054599, u'restaurant', 0.026876874]
[u'brassiere', 0.26490536, u'bikini', 0.1889656, u'swimming_trunks', 0.13215686, u'tub', 0.029613465, u'maillot', 0.023884244]
[u'bikini', 0.29852498, u'maillot', 0.29486337, u'swimming_trunks', 0.26079461, u'maillot', 0.078305572, u'crossword_puzzle', 0.0097311735]
[u'diaper', 0.14293365, u'swimming_trunks', 0.12830573, u'comic_book', 0.11166314, u'mouse', 0.10782522, u'web_site', 0.067541167]
[u'bikini', 0.34770256, u'brassiere', 0.2350397, u'comic_book', 0.057885416, u'maillot', 0.056733064, u'wig', 0.046812885]
[u'toilet_seat', 0.50483221, u'comic_book', 0.11358221, u'scale', 0.060712453, u'crossword_puzzle', 0.055266663, u'electric_fan', 0.029849123]
[u'bikini', 0.47548601, u'swimming_trunks', 0.18104611, u'maillot', 0.091983974, u'maillot', 0.062995717, u'tub', 0.058823723]
[u'comic_book', 0.22786051, u'bell_pepper', 0.1519428, u'green_snake', 0.12325595, u'vine_snake', 0.066138208, u'green_mamba', 0.057960723]
[u'comic_book', 0.2775262, u'syringe', 0.15215145, u'bikini', 0.13351126, u'brassiere', 0.094905719, u'swimming_trunks', 0.038757458]
[u'comic_book', 0.93583262, u'crossword_puzzle', 0.045496862, u'tray', 0.0097673424, u'drumstick', 0.0021884821, u'menu', 0.0010483492]
