[u'upright', 0.38493651, u'loudspeaker', 0.18692657, u'monitor', 0.053778533, u'screen', 0.047811709, u'binder', 0.047643755]
[u'shower_cap', 0.58987504, u'tub', 0.032964814, u'wig', 0.020469461, u'bathtub', 0.014699627, u'gown', 0.014640315]
[u'bikini', 0.66102397, u'brassiere', 0.069450572, u'volleyball', 0.035548605, u'swimming_trunks', 0.0324108, u'maillot', 0.016685314]
[u'bikini', 0.28062272, u'brassiere', 0.11497408, u'maillot', 0.055183873, u'maraca', 0.038675867, u'teddy', 0.026876677]
[u'pole', 0.12248909, u'brassiere', 0.10681773, u'lipstick', 0.10374647, u'bathing_cap', 0.061399844, u'whistle', 0.037004363]
[u'swimming_trunks', 0.5394913, u'drumstick', 0.31573611, u'bikini', 0.022303104, u'drum', 0.021269357, u'bathing_cap', 0.014362704]
[u'brassiere', 0.74436951, u'maillot', 0.12402054, u'knee_pad', 0.022912368, u'diaper', 0.018709788, u'miniskirt', 0.011402242]
[u'wig', 0.55050492, u'bikini', 0.13410723, u'hair_spray', 0.060418282, u'brassiere', 0.053670447, u'maillot', 0.041753247]
[u'swimming_trunks', 0.47388199, u'bikini', 0.13382743, u'diaper', 0.10589752, u'parallel_bars', 0.040070046, u'fur_coat', 0.03254883]
[u'bikini', 0.4784959, u'brassiere', 0.19585681, u'maillot', 0.073697418, u'butternut_squash', 0.057389807, u'conch', 0.033946477]
[u'miniskirt', 0.29145971, u'wig', 0.12835883, u'breastplate', 0.061206028, u'maillot', 0.053914983, u'sombrero', 0.032971576]
[u'wig', 0.97036958, u'brassiere', 0.018359737, u'bikini', 0.0044861836, u'hair_spray', 0.0013267812, u'maillot', 0.0010935726]
[u'picket_fence', 0.11470081, u'shovel', 0.10654465, u'organ', 0.090974085, u'comic_book', 0.067264318, u'hammer', 0.043453388]
[u'bikini', 0.33434442, u'brassiere', 0.1654205, u'diaper', 0.13866024, u'swimming_trunks', 0.10066316, u'bathtub', 0.034563418]
[u'maillot', 0.45629454, u'hair_spray', 0.12657461, u'maillot', 0.095795147, u'miniskirt', 0.084530056, u'wig', 0.067187756]
[u'swimming_trunks', 0.76146263, u'seashore', 0.061185036, u'bikini', 0.055279184, u'sandbar', 0.049100488, u'diaper', 0.017601941]
[u'maillot', 0.49392024, u'bikini', 0.39094931, u'maillot', 0.074072599, u'miniskirt', 0.024381842, u'brassiere', 0.012780051]
[u'bikini', 0.77090204, u'maillot', 0.18436302, u'brassiere', 0.035066776, u'maillot', 0.0069030751, u'miniskirt', 0.0014097154]
[u'bikini', 0.73434538, u'maillot', 0.14930005, u'swimming_trunks', 0.047800373, u'maillot', 0.042995296, u'brassiere', 0.0080528855]
[u'bikini', 0.62242043, u'maillot', 0.33205062, u'maillot', 0.044155981, u'brassiere', 0.0010328274, u'miniskirt', 0.00019150607]
[u'brassiere', 0.95197397, u'bikini', 0.040330242, u'maillot', 0.0054591512, u'sarong', 0.00078216736, u'hoopskirt', 0.00053002179]
[u'miniskirt', 0.56239611, u'bikini', 0.19030832, u'maillot', 0.119588, u'maillot', 0.046074606, u'neck_brace', 0.011714546]
[u'brassiere', 0.88919759, u'bikini', 0.072558932, u'maillot', 0.010715423, u'dumbbell', 0.009025339, u'barbell', 0.0071141971]
[u'bikini', 0.24758226, u'maillot', 0.23128474, u'maillot', 0.16734944, u'brassiere', 0.072958693, u'swimming_trunks', 0.035308268]
[u'neck_brace', 0.059609301, u'comic_book', 0.058129191, u'cowboy_hat', 0.039246075, u'chocolate_sauce', 0.035094392, u'hotdog', 0.034403332]
[u'bikini', 0.25232407, u'swimming_trunks', 0.17002875, u'maillot', 0.14736894, u'maillot', 0.10450959, u'bathing_cap', 0.10174543]
