[u'comic_book', 0.17509787, u'book_jacket', 0.082057409, u'web_site', 0.062446672, u'cornet', 0.025700215, u'crossword_puzzle', 0.02526311]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'stopwatch', 0.11358039, u'book_jacket', 0.0897846, u'comic_book', 0.078025483, u'remote_control', 0.058662295, u'theater_curtain', 0.03541933]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.24333587, u'envelope', 0.24241562, u'cleaver', 0.020905377, u'hook', 0.016421814, u'can_opener', 0.0097726155]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'comic_book', 0.39488339, u'crossword_puzzle', 0.12273057, u'book_jacket', 0.062935084, u'web_site', 0.058676802, u'lighter', 0.017577834]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'crossword_puzzle', 0.33285093, u'hard_disc', 0.075920694, u'book_jacket', 0.075892903, u'digital_watch', 0.050683931, u'packet', 0.035138518]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'web_site', 0.1498415, u'envelope', 0.084674016, u'dishwasher', 0.024663104, u'notebook', 0.020541297, u'cleaver', 0.014875797]
