[u'tobacco_shop', 0.42998773, u'submarine', 0.14025687, u'school_bus', 0.069226161, u'scoreboard', 0.046678532, u'aircraft_carrier', 0.042273577]
[u'grand_piano', 0.28951451, u'upright', 0.17952672, u'comic_book', 0.069902003, u'harmonica', 0.069522716, u'web_site', 0.058393948]
[u'wall_clock', 0.38652486, u'book_jacket', 0.14516762, u'analog_clock', 0.10280984, u'comic_book', 0.064329579, u'puck', 0.044162884]
[u'web_site', 0.56427926, u'comic_book', 0.16201383, u'book_jacket', 0.15176873, u'barbershop', 0.019413246, u'cash_machine', 0.0098599177]
[u'book_jacket', 0.57784247, u'comic_book', 0.4166185, u'barbershop', 0.00044447291, u'scoreboard', 0.00043955384, u'bookshop', 0.00043166464]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'bannister', 0.16159654, u'prison', 0.053108525, u'bullet_train', 0.041759562, u'screen', 0.037099332, u'airliner', 0.036312301]
[u'web_site', 0.50852776, u'bulletproof_vest', 0.056357186, u'comic_book', 0.05328761, u'harmonica', 0.034866024, u'television', 0.027593002]
[u'book_jacket', 0.49560019, u'comic_book', 0.48113939, u'jersey', 0.010919983, u'binder', 0.002259582, u'doormat', 0.00091752817]
[u'book_jacket', 0.92156649, u'comic_book', 0.066872112, u'television', 0.0032350426, u'web_site', 0.0029708, u'screen', 0.00085527706]
[u'web_site', 0.14196837, u'envelope', 0.060616188, u'dishwasher', 0.026400335, u'cleaver', 0.016686328, u'can_opener', 0.015989479]
[u'comic_book', 0.41948891, u'book_jacket', 0.32470354, u'jigsaw_puzzle', 0.085132957, u'web_site', 0.049676321, u'tobacco_shop', 0.0066642757]
[u'sunglasses', 0.61247873, u'sunglass', 0.32680425, u'web_site', 0.055589393, u'comic_book', 0.0010670502, u'book_jacket', 0.00077563687]
[u'harmonica', 0.27408519, u'web_site', 0.12208545, u'book_jacket', 0.044732597, u'Windsor_tie', 0.035149209, u'hand_blower', 0.026010381]
[u'book_jacket', 0.75353777, u'comic_book', 0.11808331, u'web_site', 0.015476475, u'packet', 0.0089829192, u'whistle', 0.0027236883]
[u'book_jacket', 0.91899467, u'comic_book', 0.052593075, u'web_site', 0.0057457625, u'menu', 0.0056547895, u'envelope', 0.0018542031]
[u'web_site', 0.48624888, u'envelope', 0.075280681, u'digital_clock', 0.045054529, u'bannister', 0.021101372, u'shoji', 0.015179273]
[u'sax', 0.39331213, u'web_site', 0.24492188, u'harmonica', 0.13773203, u'cornet', 0.039431244, u'comic_book', 0.023598051]
[u'harmonica', 0.88027334, u'web_site', 0.029871704, u'lighter', 0.010973915, u'corn', 0.010084946, u'panpipe', 0.009163578]
[u'book_jacket', 0.72364855, u'brass', 0.16907196, u'web_site', 0.040605918, u'comic_book', 0.028899685, u'cassette', 0.0043504336]
[u'snowplow', 0.25802305, u'tractor', 0.12857297, u'web_site', 0.086846501, u'limousine', 0.0563858, u'harvester', 0.034261417]
[u'pole', 0.38623121, u'flagpole', 0.13233845, u'missile', 0.11298984, u'crane', 0.094139338, u'trimaran', 0.04595609]
[u'book_jacket', 0.18468601, u'web_site', 0.14580169, u'oscilloscope', 0.068435602, u'binder', 0.038769759, u'comic_book', 0.032824159]
[u'book_jacket', 0.73801887, u'web_site', 0.17398959, u'comic_book', 0.054777339, u'packet', 0.019210419, u'menu', 0.0029921108]
[u'harmonica', 0.50323206, u'greenhouse', 0.10557248, u'cellular_telephone', 0.035392467, u'microphone', 0.025098931, u'book_jacket', 0.014505928]
[u'web_site', 0.66747868, u'barbershop', 0.060254417, u'book_jacket', 0.028213032, u'comic_book', 0.017036621, u'menu', 0.01025474]
[u'electric_guitar', 0.30930793, u'sax', 0.24322399, u'web_site', 0.062172383, u'microphone', 0.060764953, u'book_jacket', 0.058954533]
[u'iron', 0.12214634, u'hair_slide', 0.095890403, u'hook', 0.077287957, u'stethoscope', 0.057981256, u'rocking_chair', 0.053597465]
[u'book_jacket', 0.2766313, u'fountain', 0.14847007, u'monitor', 0.064846873, u'web_site', 0.063428901, u'pole', 0.046209693]
[u'web_site', 0.87374014, u'book_jacket', 0.059232377, u'abaya', 0.0076564387, u'carton', 0.0059508029, u'comic_book', 0.0056288196]
[u'book_jacket', 0.84161496, u'comic_book', 0.086441062, u'prison', 0.018187761, u'web_site', 0.012397228, u'barbershop', 0.0033606391]
[u'web_site', 0.45765764, u'book_jacket', 0.15826122, u'comic_book', 0.073229514, u'barbershop', 0.053562623, u'bookshop', 0.02573275]
[u'book_jacket', 0.38431084, u'comic_book', 0.18519604, u'web_site', 0.07741604, u'laptop', 0.049984604, u'jigsaw_puzzle', 0.039667904]
