[u'book_jacket', 0.41248238, u'jersey', 0.11346739, u'tray', 0.067911021, u'packet', 0.050646495, u'envelope', 0.046093758]
[u'stage', 0.99392724, u'spotlight', 0.0052681812, u'electric_guitar', 0.00042670663, u'microphone', 0.00011238443, u'theater_curtain', 9.2868344e-05]
[u'comic_book', 0.99680614, u'tray', 0.00077853946, u'book_jacket', 0.00072030252, u'jigsaw_puzzle', 0.00052517542, u'pillow', 0.00022273028]
[u'stage', 0.92985421, u'spotlight', 0.031735886, u'sax', 0.016467376, u'cornet', 0.0065768855, u'electric_guitar', 0.0051287161]
[u'stage', 0.70652902, u'drumstick', 0.069276936, u'maraca', 0.023775665, u'acoustic_guitar', 0.020332331, u'television', 0.019858321]
[u'stage', 0.98174757, u'spotlight', 0.014349922, u'microphone', 0.0007057286, u'cornet', 0.00050296658, u'electric_guitar', 0.00048159246]
[u'stage', 0.87233192, u'microphone', 0.040422209, u'spotlight', 0.032582413, u'cornet', 0.022504397, u'sax', 0.013940967]
[u'stage', 0.95041597, u'spotlight', 0.030891424, u'electric_guitar', 0.0059202462, u'microphone', 0.0027843381, u'loudspeaker', 0.0026790025]
[u'stage', 0.98670828, u'spotlight', 0.0090050539, u'electric_guitar', 0.0019172903, u'sax', 0.00069594785, u'microphone', 0.00049790496]
[u'television', 0.69122785, u'home_theater', 0.063816376, u'refrigerator', 0.035104915, u'web_site', 0.03328542, u'monitor', 0.019023083]
[u'stage', 0.95820779, u'spotlight', 0.033432458, u'microphone', 0.0039282897, u'loudspeaker', 0.00094057759, u'sax', 0.00083329756]
[u'stage', 0.84926575, u'spotlight', 0.14242226, u'loudspeaker', 0.0026260971, u'theater_curtain', 0.0014004702, u'microphone', 0.0012849169]
[u'stage', 0.9967199, u'theater_curtain', 0.0011335228, u'spotlight', 0.00071839144, u'microphone', 0.00036234505, u'electric_guitar', 0.00031570377]
[u'comic_book', 0.98691261, u'book_jacket', 0.0097908946, u'packet', 0.00076873321, u'slot', 0.00054158369, u'tray', 0.00052915345]
[u'stage', 0.83551371, u'spotlight', 0.15679865, u'loudspeaker', 0.0041782157, u'microphone', 0.00079874165, u'electric_guitar', 0.00064678764]
[u'stage', 0.89729899, u'electric_guitar', 0.049244769, u'banjo', 0.016139524, u'sax', 0.012699847, u'spotlight', 0.010625722]
[u'comic_book', 0.99463922, u'book_jacket', 0.0024692032, u'tray', 0.0012187893, u'jigsaw_puzzle', 0.0010065455, u'packet', 0.0001407102]
[u'stage', 0.94257295, u'banjo', 0.026252991, u'electric_guitar', 0.0148176, u'microphone', 0.0085572228, u'acoustic_guitar', 0.0053663431]
[u'stage', 0.99622405, u'theater_curtain', 0.0029562765, u'maillot', 0.00028088895, u'king_penguin', 0.00016654661, u'electric_guitar', 7.8268524e-05]
[u'stage', 0.95770073, u'electric_guitar', 0.022203105, u'banjo', 0.0088679073, u'acoustic_guitar', 0.0032606041, u'microphone', 0.0023836622]
[u'stage', 0.98475862, u'spotlight', 0.004781554, u'microphone', 0.0034950483, u'sax', 0.0020547055, u'electric_guitar', 0.0018500154]
