[u'acoustic_guitar', 0.53272623, u'electric_guitar', 0.42524433, u'banjo', 0.041710906, u'pick', 0.00016712971, u'violin', 3.501866e-05]
[u'electric_guitar', 0.89113826, u'acoustic_guitar', 0.099392556, u'banjo', 0.0077144536, u'pick', 0.0013370878, u'harp', 5.4460525e-05]
[u'nematode', 0.15523243, u'dishwasher', 0.087953888, u'envelope', 0.019927885, u'web_site', 0.019483864, u'matchstick', 0.013949577]
[u'electric_guitar', 0.89301252, u'pick', 0.03875054, u'acoustic_guitar', 0.02557415, u'can_opener', 0.017112702, u'corkscrew', 0.0049384888]
[u'electric_guitar', 0.69689476, u'acoustic_guitar', 0.27673173, u'banjo', 0.022768769, u'pick', 0.001102819, u'bell_cote', 0.00079268782]
[u'electric_guitar', 0.98521405, u'acoustic_guitar', 0.014651688, u'banjo', 5.5765169e-05, u'pick', 4.6590743e-05, u'violin', 1.2376368e-05]
[u'electric_guitar', 0.99236518, u'acoustic_guitar', 0.0075574904, u'banjo', 4.5354387e-05, u'pick', 1.1787431e-05, u'stage', 8.8026009e-06]
[u'electric_guitar', 0.81187433, u'acoustic_guitar', 0.17008254, u'fountain', 0.0021998186, u'beaker', 0.0017839273, u'pick', 0.0017677597]
[u'electric_guitar', 0.84843332, u'acoustic_guitar', 0.070132859, u'radiator', 0.0080821449, u'pick', 0.0074031809, u'projector', 0.0054805852]
[u'electric_guitar', 0.8966679, u'computer_keyboard', 0.035076883, u'pick', 0.024129426, u'desktop_computer', 0.00495781, u'remote_control', 0.0044174925]
[u'electric_guitar', 0.99041116, u'acoustic_guitar', 0.0088210553, u'violin', 0.00046724649, u'banjo', 0.00020146064, u'stage', 1.9074867e-05]
[u'electric_guitar', 0.97582483, u'acoustic_guitar', 0.024054639, u'banjo', 0.00010955265, u'pick', 7.4967602e-06, u'violin', 2.2322261e-06]
