[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'screwdriver', 0.11155828, u'iron', 0.097104669, u'oil_filter', 0.070770703, u'rubber_eraser', 0.067376614, u'lighter', 0.064508483]
[u'television', 0.67495829, u'monitor', 0.16184036, u'screen', 0.046589933, u'home_theater', 0.029620465, u'web_site', 0.024163947]
[u'swab', 0.44960982, u'jean', 0.061066795, u'iron', 0.030273419, u'Windsor_tie', 0.017411541, u'cloak', 0.015535513]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'hoopskirt', 0.15003556, u'television', 0.088339411, u'iron', 0.076637827, u'neck_brace', 0.042189535, u'Windsor_tie', 0.042137805]
[u'electric_fan', 0.12170354, u'spotlight', 0.084884204, u'hard_disc', 0.078263827, u'iPod', 0.050411049, u'washbasin', 0.045295365]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'paper_towel', 0.49031505, u'envelope', 0.060347896, u'handkerchief', 0.036943372, u'toilet_tissue', 0.030101418, u'oxygen_mask', 0.025786242]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'scoreboard', 0.16461177, u'book_jacket', 0.069272429, u'comic_book', 0.054051075, u'web_site', 0.052237585, u'digital_clock', 0.036878373]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'seashore', 0.13519323, u'beacon', 0.061777022, u'volcano', 0.047642756, u'alp', 0.036445439, u'wing', 0.035236012]
[u'spotlight', 0.94943804, u'paper_towel', 0.023218468, u'gong', 0.004347105, u'ladle', 0.0042020427, u'shield', 0.0027072709]
[u'container_ship', 0.86776912, u'guillotine', 0.012619032, u'altar', 0.012571483, u'switch', 0.0065559326, u'beacon', 0.0058913319]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'electric_fan', 0.14251642, u'hard_disc', 0.078268066, u'washbasin', 0.077889435, u'spotlight', 0.048669338, u'envelope', 0.044070967]
[u'electric_fan', 0.12170354, u'spotlight', 0.084884204, u'hard_disc', 0.078263827, u'iPod', 0.050411049, u'washbasin', 0.045295365]
[u'lumbermill', 0.39146385, u'organ', 0.054638166, u'dining_table', 0.034911558, u'restaurant', 0.028882273, u'vestment', 0.025253637]
[u'electric_fan', 0.12170354, u'spotlight', 0.084884204, u'hard_disc', 0.078263827, u'iPod', 0.050411049, u'washbasin', 0.045295365]
