[u'syringe', 0.56326878, u'chime', 0.15183932, u'power_drill', 0.043807901, u'assault_rifle', 0.036056474, u'coil', 0.025259415]
[u'Windsor_tie', 0.46191341, u'suit', 0.19747551, u'bow_tie', 0.12317814, u'bolo_tie', 0.062879108, u'oboe', 0.02830993]
[u'Windsor_tie', 0.44803444, u'suit', 0.36426297, u'oboe', 0.026128123, u'academic_gown', 0.011898616, u'bolo_tie', 0.010057886]
[u'Windsor_tie', 0.47812065, u'bow_tie', 0.27387014, u'suit', 0.1163947, u'bulletproof_vest', 0.059481826, u'bolo_tie', 0.011393423]
[u'wig', 0.3999216, u'fur_coat', 0.11871891, u'stole', 0.10468238, u'miniskirt', 0.03781214, u'poncho', 0.03432272]
[u'suit', 0.33391345, u'Windsor_tie', 0.24686809, u'oboe', 0.05700637, u'bolo_tie', 0.049410075, u'bulletproof_vest', 0.042677805]
[u'suit', 0.18559124, u'Windsor_tie', 0.14300236, u'web_site', 0.065796897, u'window_shade', 0.04261478, u'digital_clock', 0.033832233]
[u'bulletproof_vest', 0.48048967, u'suit', 0.15889159, u'Windsor_tie', 0.064307965, u'oboe', 0.016082419, u'vestment', 0.013580424]
[u'suit', 0.34051859, u'Windsor_tie', 0.26683015, u'bassoon', 0.041130062, u'Sealyham_terrier', 0.024157936, u'laptop', 0.021075206]
[u'suit', 0.49108201, u'Windsor_tie', 0.32841149, u'groom', 0.093396023, u'bolo_tie', 0.0087961927, u'bearskin', 0.0076324902]
[u'suit', 0.22821899, u'bulletproof_vest', 0.16983409, u'Windsor_tie', 0.080008522, u'military_uniform', 0.046429507, u'neck_brace', 0.037302706]
[u'bassoon', 0.034639165, u'neck_brace', 0.02182322, u'oboe', 0.020702945, u'jersey', 0.016949859, u'seat_belt', 0.016170183]
[u'suit', 0.83026803, u'Windsor_tie', 0.067878179, u'bolo_tie', 0.01569826, u'oboe', 0.010724738, u'bassoon', 0.0069183321]
[u'panpipe', 0.43681857, u'Windsor_tie', 0.1488447, u'academic_gown', 0.059189793, u'suit', 0.05604602, u'bassoon', 0.042429477]
[u'lab_coat', 0.48291299, u'Windsor_tie', 0.083175436, u'Band_Aid', 0.051503371, u'neck_brace', 0.030611811, u'bulletproof_vest', 0.017746147]
[u'suit', 0.76179188, u'Windsor_tie', 0.22465909, u'groom', 0.0087934351, u'bow_tie', 0.0015980805, u'military_uniform', 0.00079584657]
