[u'hook', 0.11363915, u'digital_clock', 0.085633926, u'analog_clock', 0.080477163, u'envelope', 0.061105296, u'ashcan', 0.060968827]
[u'digital_clock', 0.98695171, u'digital_watch', 0.01054454, u'wall_clock', 0.00030535157, u'analog_clock', 0.00029147411, u'screen', 0.00020340452]
[u'theater_curtain', 0.43581015, u'stage', 0.27583835, u'throne', 0.074379995, u'patio', 0.026279354, u'vestment', 0.024637636]
[u'digital_clock', 0.43147162, u'traffic_light', 0.32476449, u'digital_watch', 0.23736225, u'bell_cote', 0.00074664061, u'analog_clock', 0.00072171085]
[u'analog_clock', 0.28257924, u'digital_clock', 0.16327846, u'traffic_light', 0.12921354, u'web_site', 0.060303777, u'tripod', 0.053583551]
[u'bagel', 0.59385431, u'teddy', 0.065311171, u'wool', 0.030120799, u'plate', 0.018366884, u'pretzel', 0.014826436]
[u'cinema', 0.13579367, u'cab', 0.10054363, u'fire_engine', 0.05377404, u'library', 0.048982322, u'passenger_car', 0.044121794]
[u'digital_clock', 0.65381181, u'traffic_light', 0.13671157, u'screen', 0.040499326, u'analog_clock', 0.031655479, u'television', 0.017727587]
[u'digital_clock', 0.92040467, u'traffic_light', 0.026288114, u'web_site', 0.0049064094, u'digital_watch', 0.0043302565, u'church', 0.0032881508]
[u'dugong', 0.076262593, u'web_site', 0.074518211, u'sea_snake', 0.056669276, u'scuba_diver', 0.049423534, u'binder', 0.03734801]
[u'triumphal_arch', 0.10387556, u'water_tower', 0.068213463, u'flagpole', 0.064953133, u'parking_meter', 0.051819313, u'streetcar', 0.033850607]
[u'digital_clock', 0.79554617, u'digital_watch', 0.1289247, u'traffic_light', 0.013082433, u'analog_clock', 0.0088321371, u'wall_clock', 0.0073394687]
[u'digital_clock', 0.57761151, u'analog_clock', 0.11805393, u'web_site', 0.040916838, u'traffic_light', 0.033401098, u'wall_clock', 0.024653994]
[u'envelope', 0.32065237, u'digital_clock', 0.18520294, u'web_site', 0.07860963, u'analog_clock', 0.039945658, u'tripod', 0.033598617]
[u'digital_clock', 0.9069398, u'digital_watch', 0.029701671, u'traffic_light', 0.025681471, u'wall_clock', 0.01158003, u'analog_clock', 0.0032428203]
[u'military_uniform', 0.97888786, u'trench_coat', 0.010665168, u'kimono', 0.0018159137, u'lab_coat', 0.0010478008, u'fur_coat', 0.00093371968]
[u'web_site', 0.25788653, u'digital_clock', 0.15921722, u'analog_clock', 0.098793447, u'television', 0.037690561, u'envelope', 0.036124289]
[u'web_site', 0.055643491, u'street_sign', 0.041658599, u'whistle', 0.033292077, u'book_jacket', 0.031877048, u'traffic_light', 0.027135469]
[u'digital_clock', 0.59462565, u'web_site', 0.09505748, u'analog_clock', 0.033468112, u'stopwatch', 0.02879218, u'envelope', 0.02702863]
[u'digital_clock', 0.49634379, u'whistle', 0.038450297, u'traffic_light', 0.037758943, u'jersey', 0.026866337, u'analog_clock', 0.022636846]
[u'digital_clock', 0.52767801, u'web_site', 0.08483097, u'traffic_light', 0.055194724, u'warplane', 0.041433427, u'wing', 0.036309518]
[u'web_site', 0.21192195, u'digital_clock', 0.13851155, u'envelope', 0.12083536, u'analog_clock', 0.066134758, u'tripod', 0.04189647]
[u'digital_clock', 0.91341174, u'analog_clock', 0.048071738, u'web_site', 0.0077502946, u'envelope', 0.0064162123, u'digital_watch', 0.0032328747]
[u'digital_clock', 0.63933063, u'web_site', 0.086442091, u'analog_clock', 0.040259715, u'traffic_light', 0.032002676, u'wall_clock', 0.022607937]
[u'theater_curtain', 0.9365806, u'stage', 0.053815234, u'altar', 0.0042919712, u'church', 0.00071803166, u'sax', 0.00045133452]
[u'digital_clock', 0.80315632, u'analog_clock', 0.055062976, u'wall_clock', 0.022271048, u'digital_watch', 0.018766474, u'web_site', 0.012085745]
[u'digital_clock', 0.52688563, u'traffic_light', 0.10097158, u'analog_clock', 0.072788507, u'wall_clock', 0.04245773, u'digital_watch', 0.029252041]
[u'digital_clock', 0.6871922, u'digital_watch', 0.10510761, u'analog_clock', 0.044670988, u'traffic_light', 0.041436393, u'whistle', 0.017385207]
[u'ashcan', 0.23135203, u'envelope', 0.090992913, u'web_site', 0.082322769, u'lighter', 0.066167668, u'hook', 0.052582763]
[u'digital_clock', 0.88983351, u'church', 0.037327942, u'traffic_light', 0.025461851, u'digital_watch', 0.021317046, u'picket_fence', 0.009540922]
[u'digital_clock', 0.48193395, u'traffic_light', 0.14266144, u'web_site', 0.037923653, u'wall_clock', 0.034822728, u'digital_watch', 0.034397803]
[u'ashcan', 0.44045669, u'turnstile', 0.17794123, u'digital_clock', 0.06702856, u'hook', 0.046240464, u'analog_clock', 0.027073078]
[u'digital_clock', 0.21408065, u'church', 0.098116882, u'analog_clock', 0.094540305, u'whistle', 0.075811766, u'hook', 0.057526208]
[u'web_site', 0.26347405, u'digital_clock', 0.15401074, u'envelope', 0.079287045, u'analog_clock', 0.031263292, u'hook', 0.029517783]
[u'digital_clock', 0.45560181, u'web_site', 0.21934858, u'analog_clock', 0.055710692, u'digital_watch', 0.049947601, u'church', 0.034398042]
[u'digital_clock', 0.42060414, u'web_site', 0.11629893, u'traffic_light', 0.044160455, u'wall_clock', 0.034524038, u'crossword_puzzle', 0.025550362]
