[u'digital_clock', 0.14666326, u'safe', 0.09630473, u'analog_clock', 0.067835391, u'space_heater', 0.067544572, u'sunscreen', 0.064449511]
[u'space_heater', 0.14512807, u'microwave', 0.12062157, u'oil_filter', 0.082212768, u'safe', 0.072690479, u'medicine_chest', 0.040939663]
[u'digital_clock', 0.70275533, u'digital_watch', 0.22088538, u'analog_clock', 0.016999001, u'microwave', 0.015699631, u'safe', 0.005998157]
[u'digital_clock', 0.44328976, u'digital_watch', 0.112019, u'microwave', 0.084890485, u'safe', 0.074943386, u'analog_clock', 0.034956269]
[u'digital_clock', 0.88692802, u'digital_watch', 0.10836437, u'analog_clock', 0.0015935064, u'microwave', 0.00088015298, u'stopwatch', 0.00032690252]
[u'digital_clock', 0.65290815, u'digital_watch', 0.23504491, u'microwave', 0.036876839, u'analog_clock', 0.014269517, u'safe', 0.011518738]
[u'digital_clock', 0.16485283, u'microwave', 0.15552916, u'analog_clock', 0.091528587, u'safe', 0.076070637, u'space_heater', 0.056320976]
[u'digital_clock', 0.65732133, u'digital_watch', 0.12042665, u'microwave', 0.081463926, u'analog_clock', 0.048757799, u'space_heater', 0.01279139]
[u'space_heater', 0.13218594, u'safe', 0.11031075, u'microwave', 0.059615429, u'medicine_chest', 0.055156659, u'switch', 0.040864911]
[u'digital_clock', 0.63564152, u'digital_watch', 0.17249015, u'microwave', 0.063992627, u'analog_clock', 0.02608905, u'safe', 0.017304566]
[u'digital_clock', 0.12853663, u'microwave', 0.1280122, u'safe', 0.07267689, u'analog_clock', 0.063155964, u'medicine_chest', 0.050501838]
[u'microwave', 0.13610537, u'digital_clock', 0.13173066, u'safe', 0.10479283, u'analog_clock', 0.072006568, u'digital_watch', 0.048081994]
