[u'web_site', 0.24839179, u'nematode', 0.046035741, u'matchstick', 0.043975078, u'television', 0.033857252, u'bubble', 0.019293167]
[u'digital_clock', 0.18795767, u'nail', 0.1330682, u'digital_watch', 0.096625999, u'analog_clock', 0.048829518, u'rule', 0.040031303]
[u'web_site', 0.22730145, u'combination_lock', 0.098401584, u'jean', 0.074888937, u'padlock', 0.030358825, u'muzzle', 0.022631014]
[u'digital_clock', 0.52302605, u'digital_watch', 0.3152526, u'stopwatch', 0.024066862, u'web_site', 0.023256876, u'analog_clock', 0.018625792]
[u'traffic_light', 0.5421353, u'web_site', 0.15183961, u'scoreboard', 0.019710982, u'street_sign', 0.012063552, u'digital_clock', 0.011888892]
[u'web_site', 0.22674297, u'book_jacket', 0.084294818, u'picket_fence', 0.050049376, u'lipstick', 0.03576719, u'theater_curtain', 0.035390515]
[u'dishwasher', 0.31632549, u'web_site', 0.16433857, u'cleaver', 0.023301745, u'hair_spray', 0.016375588, u'fire_screen', 0.014796489]
[u'digital_clock', 0.8465538, u'digital_watch', 0.12892613, u'analog_clock', 0.0093583325, u'stopwatch', 0.0047958866, u'traffic_light', 0.0038443825]
[u'digital_clock', 0.70438093, u'digital_watch', 0.095153116, u'stopwatch', 0.027863214, u'web_site', 0.024679942, u'analog_clock', 0.014982425]
[u'lipstick', 0.23690122, u'web_site', 0.20052618, u'perfume', 0.075174339, u'book_jacket', 0.053888932, u'theater_curtain', 0.027760739]
[u'digital_clock', 0.20023769, u'web_site', 0.14378187, u'digital_watch', 0.044006921, u'stopwatch', 0.035228997, u'hair_spray', 0.019787861]
[u'book_jacket', 0.23291506, u'screen', 0.080678582, u'oscilloscope', 0.072287403, u'monitor', 0.059092596, u'cash_machine', 0.041863661]
[u'web_site', 0.81660908, u'wallet', 0.066598378, u'Windsor_tie', 0.038064338, u'book_jacket', 0.011895594, u'envelope', 0.010146546]
[u'digital_clock', 0.83775395, u'digital_watch', 0.14131774, u'analog_clock', 0.011673734, u'traffic_light', 0.0029461179, u'stopwatch', 0.0013561294]
[u'web_site', 0.24839179, u'nematode', 0.046035741, u'matchstick', 0.043975078, u'television', 0.033857252, u'bubble', 0.019293167]
[u'web_site', 0.23070949, u'scoreboard', 0.069338277, u'book_jacket', 0.061011281, u'traffic_light', 0.056014229, u'digital_clock', 0.026116334]
[u'web_site', 0.15118068, u'digital_clock', 0.087106317, u'stopwatch', 0.050366152, u'digital_watch', 0.047393039, u'nail', 0.036610141]
[u'digital_clock', 0.17284815, u'digital_watch', 0.13081376, u'web_site', 0.074191339, u'nail', 0.046810102, u'tripod', 0.044726931]
[u'digital_clock', 0.56494915, u'digital_watch', 0.11934389, u'web_site', 0.05897576, u'analog_clock', 0.017197488, u'stopwatch', 0.015713181]
[u'digital_clock', 0.83953691, u'digital_watch', 0.11885542, u'analog_clock', 0.011964358, u'stopwatch', 0.008204137, u'traffic_light', 0.0061314465]
[u'web_site', 0.20557994, u'digital_clock', 0.18030809, u'digital_watch', 0.095198318, u'stopwatch', 0.052805878, u'cornet', 0.028768972]
[u'digital_clock', 0.62696028, u'digital_watch', 0.24977387, u'analog_clock', 0.041468028, u'traffic_light', 0.019694887, u'stopwatch', 0.01759089]
[u'digital_clock', 0.41959304, u'digital_watch', 0.1198423, u'web_site', 0.081308506, u'stopwatch', 0.039001763, u'crossword_puzzle', 0.029798951]
[u'digital_clock', 0.18610951, u'web_site', 0.091136202, u'nail', 0.078481041, u'digital_watch', 0.054503717, u'screw', 0.034570176]
[u'web_site', 0.20082276, u'book_jacket', 0.075095706, u'lipstick', 0.053493164, u'scoreboard', 0.051296655, u'theater_curtain', 0.048197668]
[u'stopwatch', 0.16952915, u'digital_clock', 0.15490095, u'hand-held_computer', 0.072409533, u'web_site', 0.045369651, u'digital_watch', 0.04259738]
[u'digital_clock', 0.70017797, u'digital_watch', 0.22055961, u'analog_clock', 0.025858661, u'stopwatch', 0.010978973, u'traffic_light', 0.0050353254]
[u'digital_clock', 0.44936836, u'digital_watch', 0.084486932, u'web_site', 0.05266013, u'stopwatch', 0.051802147, u'nail', 0.020839922]
[u'monitor', 0.43095088, u'web_site', 0.1884449, u'screen', 0.17607445, u'television', 0.047796197, u'hand-held_computer', 0.021438017]
[u'web_site', 0.25805333, u'scoreboard', 0.08370889, u'vending_machine', 0.06202051, u'digital_clock', 0.042116266, u'cash_machine', 0.031168716]
[u'web_site', 0.69034624, u'bannister', 0.0080274744, u'matchstick', 0.0059952065, u'envelope', 0.0057875644, u'nematode', 0.0056005358]
[u'digital_clock', 0.22506425, u'street_sign', 0.19387305, u'digital_watch', 0.094230972, u'book_jacket', 0.056543387, u'scoreboard', 0.048785325]
[u'digital_clock', 0.78182918, u'digital_watch', 0.19964013, u'analog_clock', 0.0067056674, u'traffic_light', 0.0032665017, u'stopwatch', 0.0021564998]
[u'digital_clock', 0.68809754, u'digital_watch', 0.21651536, u'analog_clock', 0.034656469, u'stopwatch', 0.0093587544, u'traffic_light', 0.0066124708]
[u'digital_clock', 0.23140885, u'digital_watch', 0.10873298, u'web_site', 0.082500033, u'cornet', 0.065197207, u'stopwatch', 0.043094262]
[u'web_site', 0.10903876, u'screwdriver', 0.059259202, u'hair_spray', 0.041322928, u'nail', 0.032700025, u'digital_clock', 0.030314015]
[u'digital_clock', 0.18953432, u'web_site', 0.18804519, u'digital_watch', 0.062123924, u'scoreboard', 0.051053304, u'picket_fence', 0.039231248]
[u'web_site', 0.13481277, u'digital_clock', 0.12166438, u'stopwatch', 0.077500306, u'digital_watch', 0.035459325, u'cornet', 0.034895115]
[u'digital_clock', 0.39336714, u'digital_watch', 0.10346793, u'web_site', 0.088555604, u'nail', 0.02958375, u'stopwatch', 0.021808842]
[u'scoreboard', 0.52056962, u'web_site', 0.33474359, u'monitor', 0.056103256, u'street_sign', 0.018732419, u'book_jacket', 0.015377159]
[u'matchstick', 0.1138035, u'web_site', 0.1048779, u'screwdriver', 0.091885492, u'chime', 0.063266449, u'syringe', 0.036053877]
