[u'wine_bottle', 0.73558789, u'red_wine', 0.24005878, u'corkscrew', 0.018526303, u'beer_bottle', 0.0034938501, u'lotion', 0.0006633423]
[u'wine_bottle', 0.93777579, u'red_wine', 0.055688716, u'corkscrew', 0.0037688185, u'beer_bottle', 0.0020907749, u'pop_bottle', 0.00013392531]
[u'lotion', 0.46259266, u'nipple', 0.19697121, u'hair_spray', 0.080894426, u'perfume', 0.063841224, u'sunscreen', 0.053265393]
[u'wine_bottle', 0.82142609, u'red_wine', 0.1580559, u'corkscrew', 0.015721006, u'beer_bottle', 0.0034167268, u'lotion', 0.00023871586]
[u'puck', 0.28780103, u'face_powder', 0.11544485, u'web_site', 0.034461126, u'tobacco_shop', 0.029536366, u'combination_lock', 0.029143635]
[u'wine_bottle', 0.93654233, u'red_wine', 0.054897904, u'beer_bottle', 0.0024271137, u'corkscrew', 0.0016156902, u'pop_bottle', 0.0015291825]
[u'wine_bottle', 0.93185747, u'red_wine', 0.059375182, u'corkscrew', 0.0054428522, u'beer_bottle', 0.0023761378, u'pop_bottle', 0.00017910686]
[u'red_wine', 0.61789232, u'wine_bottle', 0.36876759, u'corkscrew', 0.011454066, u'beer_bottle', 0.0017941914, u'lotion', 1.5484269e-05]
[u'red_wine', 0.78071839, u'wine_bottle', 0.15238078, u'corkscrew', 0.065050341, u'beer_bottle', 0.00078085647, u'hair_spray', 0.00021567839]
[u'wine_bottle', 0.59558105, u'red_wine', 0.26409778, u'beer_bottle', 0.052479677, u'corkscrew', 0.040062122, u'whiskey_jug', 0.0052207322]
[u'red_wine', 0.5500536, u'wine_bottle', 0.40754989, u'corkscrew', 0.037141774, u'beer_bottle', 0.0037752064, u'pop_bottle', 0.00024120533]
[u'wine_bottle', 0.82139611, u'red_wine', 0.15938972, u'corkscrew', 0.014899755, u'beer_bottle', 0.0027164735, u'lotion', 0.00038785036]
[u'wine_bottle', 0.9442054, u'red_wine', 0.051507462, u'corkscrew', 0.0025866069, u'beer_bottle', 0.0014613131, u'pop_bottle', 6.7495268e-05]
