[u'panpipe', 0.97001094, u'marimba', 0.0095676538, u'digital_watch', 0.0054869158, u'digital_clock', 0.0038817776, u'coil', 0.0027342676]
[u'panpipe', 0.99860185, u'marimba', 0.0010149202, u'coil', 0.00017260808, u'stupa', 7.9672893e-05, u'organ', 4.7569731e-05]
[u'panpipe', 0.99860185, u'marimba', 0.0010149202, u'coil', 0.00017260808, u'stupa', 7.9672893e-05, u'organ', 4.7569731e-05]
[u'panpipe', 0.92215776, u'marimba', 0.030418832, u'coil', 0.019538675, u'screw', 0.010892867, u'organ', 0.0026526297]
[u'digital_watch', 0.46785572, u'digital_clock', 0.36669117, u'microwave', 0.068256803, u'stopwatch', 0.025613517, u'scoreboard', 0.010514583]
[u'panpipe', 0.92215776, u'marimba', 0.030418832, u'coil', 0.019538675, u'screw', 0.010892867, u'organ', 0.0026526297]
[u'panpipe', 0.98990858, u'marimba', 0.007183711, u'coil', 0.00088103377, u'church', 0.00054351432, u'organ', 0.00044071584]
[u'panpipe', 0.99171853, u'marimba', 0.0042979736, u'coil', 0.0022701798, u'screw', 0.00040185207, u'organ', 0.00028512027]
[u'crossword_puzzle', 0.20792556, u'web_site', 0.20783278, u'sundial', 0.19928499, u'maze', 0.11855413, u'comic_book', 0.02991806]
[u'panpipe', 0.98990858, u'marimba', 0.007183711, u'coil', 0.00088103377, u'church', 0.00054351432, u'organ', 0.00044071584]
[u'panpipe', 0.92215776, u'marimba', 0.030418832, u'coil', 0.019538675, u'screw', 0.010892867, u'organ', 0.0026526297]
[u'panpipe', 0.92215776, u'marimba', 0.030418832, u'coil', 0.019538675, u'screw', 0.010892867, u'organ', 0.0026526297]
[u'web_site', 0.24839179, u'nematode', 0.046035741, u'matchstick', 0.043975078, u'television', 0.033857252, u'bubble', 0.019293167]
[u'panpipe', 0.45288512, u'digital_clock', 0.17029642, u'digital_watch', 0.13201395, u'stopwatch', 0.052186418, u'marimba', 0.041259397]
[u'panpipe', 0.99860185, u'marimba', 0.0010149202, u'coil', 0.00017260808, u'stupa', 7.9672893e-05, u'organ', 4.7569731e-05]
[u'panpipe', 0.97001094, u'marimba', 0.0095676538, u'digital_watch', 0.0054869158, u'digital_clock', 0.0038817776, u'coil', 0.0027342676]
[u'panpipe', 0.99171853, u'marimba', 0.0042979736, u'coil', 0.0022701798, u'screw', 0.00040185207, u'organ', 0.00028512027]
[u'panpipe', 0.98990858, u'marimba', 0.007183711, u'coil', 0.00088103377, u'church', 0.00054351432, u'organ', 0.00044071584]
[u'panpipe', 0.45288512, u'digital_clock', 0.17029642, u'digital_watch', 0.13201395, u'stopwatch', 0.052186418, u'marimba', 0.041259397]
[u'panpipe', 0.99171853, u'marimba', 0.0042979736, u'coil', 0.0022701798, u'screw', 0.00040185207, u'organ', 0.00028512027]
[u'panpipe', 0.99171853, u'marimba', 0.0042979736, u'coil', 0.0022701798, u'screw', 0.00040185207, u'organ', 0.00028512027]
[u'panpipe', 0.99860185, u'marimba', 0.0010149202, u'coil', 0.00017260808, u'stupa', 7.9672893e-05, u'organ', 4.7569731e-05]
[u'panpipe', 0.98990858, u'marimba', 0.007183711, u'coil', 0.00088103377, u'church', 0.00054351432, u'organ', 0.00044071584]
[u'traffic_light', 0.59901214, u'digital_clock', 0.27437645, u'analog_clock', 0.013373079, u'space_shuttle', 0.011995024, u'wing', 0.0092780078]
[u'matchstick', 0.27171242, u'slide_rule', 0.089420266, u'rule', 0.086135074, u'candle', 0.072719522, u'croquet_ball', 0.067473218]
