[u'web_site', 0.87560713, u'envelope', 0.036289997, u'book_jacket', 0.030586211, u'comic_book', 0.024424344, u'crane', 0.0049123713]
[u'wine_bottle', 0.65015048, u'pop_bottle', 0.18036817, u'beer_bottle', 0.10211894, u'red_wine', 0.055973962, u'water_bottle', 0.0079931663]
[u'wine_bottle', 0.88552171, u'beer_bottle', 0.094658263, u'red_wine', 0.0097701466, u'pop_bottle', 0.0050049629, u'corkscrew', 0.0014493332]
[u'analog_clock', 0.25417376, u'digital_clock', 0.11322567, u'web_site', 0.097538702, u'book_jacket', 0.059920684, u'jersey', 0.05196882]
[u'red_wine', 0.54004896, u'wine_bottle', 0.38862744, u'beer_bottle', 0.067256436, u'corkscrew', 0.0035431429, u'pop_bottle', 0.00028849026]
[u'space_shuttle', 0.40279904, u'analog_clock', 0.15381172, u'wing', 0.081564397, u'warplane', 0.081519909, u'envelope', 0.03083138]
[u'wine_bottle', 0.46069697, u'red_wine', 0.32259396, u'beer_bottle', 0.21273451, u'corkscrew', 0.0022744117, u'lotion', 0.00071566663]
[u'red_wine', 0.60562837, u'wine_bottle', 0.37760648, u'beer_bottle', 0.014732181, u'corkscrew', 0.0018139174, u'pop_bottle', 0.00011085119]
[u'beer_bottle', 0.42729527, u'wine_bottle', 0.3132695, u'pop_bottle', 0.22320609, u'red_wine', 0.01126223, u'beer_glass', 0.0086572235]
[u'red_wine', 0.74306178, u'wine_bottle', 0.17804915, u'beer_bottle', 0.044906605, u'corkscrew', 0.027574703, u'lotion', 0.0019909623]
[u'beer_bottle', 0.6290223, u'wine_bottle', 0.1886187, u'pop_bottle', 0.045770444, u'lotion', 0.03575163, u'red_wine', 0.016687352]
[u'beer_bottle', 0.62629312, u'wine_bottle', 0.30237648, u'pop_bottle', 0.055819508, u'red_wine', 0.006300108, u'water_bottle', 0.0061030542]
[u'book_jacket', 0.45391664, u'sweatshirt', 0.11574692, u'jersey', 0.10749495, u'comic_book', 0.10188507, u"jack-o'-lantern", 0.014225727]
