[u'prayer_rug', 0.99996877, u'brass', 9.5037203e-06, u'oscilloscope', 4.6769155e-06, u'quilt', 3.4342484e-06, u'altar', 1.977726e-06]
[u'prayer_rug', 0.9999783, u'jigsaw_puzzle', 4.9949103e-06, u'chainlink_fence', 3.7797308e-06, u'brass', 2.2187937e-06, u'manhole_cover', 1.8750127e-06]
[u'prayer_rug', 0.99934632, u'brass', 0.00028532624, u'doormat', 0.00023583784, u'honeycomb', 6.392815e-05, u'radio', 1.0166419e-05]
[u'prayer_rug', 0.99920875, u'jigsaw_puzzle', 0.0004151958, u'scoreboard', 0.00016407357, u'quilt', 0.00013135665, u'brass', 1.4411338e-05]
[u'prayer_rug', 0.57523251, u'brass', 0.28900215, u'doormat', 0.044879436, u'tray', 0.028971866, u'window_screen', 0.025576312]
[u'brass', 0.71447647, u'prayer_rug', 0.11992514, u'tray', 0.068327382, u'window_screen', 0.056857225, u'pedestal', 0.026200118]
[u'prayer_rug', 0.99999857, u'doormat', 5.9129235e-07, u'pillow', 4.0182826e-07, u'wool', 1.8353772e-07, u'handkerchief', 8.1265533e-08]
[u'prayer_rug', 0.99991882, u'dishrag', 1.3338683e-05, u'stole', 1.1924265e-05, u'padlock', 8.6418768e-06, u'chainlink_fence', 7.1305376e-06]
[u'prayer_rug', 0.99994695, u'dishrag', 1.4368828e-05, u'doormat', 1.1889897e-05, u'binder', 3.650795e-06, u'radio', 3.2153416e-06]
[u'prayer_rug', 0.99998772, u'pillow', 5.1715388e-06, u'jigsaw_puzzle', 1.2968289e-06, u'binder', 8.5504513e-07, u'book_jacket', 7.5468046e-07]
[u'prayer_rug', 0.99994147, u'jigsaw_puzzle', 4.2970907e-05, u'pillow', 3.7967086e-06, u'doormat', 3.0879949e-06, u'chainlink_fence', 1.5612659e-06]
[u'prayer_rug', 0.99962687, u'jigsaw_puzzle', 0.0002096086, u'honeycomb', 3.3620665e-05, u'pedestal', 2.3707036e-05, u'window_screen', 1.8086434e-05]
[u'prayer_rug', 0.99999571, u'throne', 9.9924239e-07, u'handkerchief', 6.8186881e-07, u'fire_screen', 5.051985e-07, u'altar', 4.4133589e-07]
[u'prayer_rug', 0.9158392, u'dishrag', 0.078193128, u'tray', 0.0019385068, u'brass', 0.0018346695, u'pedestal', 0.00035214366]
[u'prayer_rug', 0.99782205, u'chainlink_fence', 0.0010663692, u'jigsaw_puzzle', 0.00051789556, u'doormat', 8.7283261e-05, u'window_screen', 7.0375339e-05]
[u'prayer_rug', 0.99884784, u'brass', 0.00039034631, u'tray', 0.00017205067, u'handkerchief', 0.00016107222, u'jigsaw_puzzle', 0.00014643991]
[u'prayer_rug', 0.9998951, u'dishrag', 3.1358697e-05, u'radio', 1.6264752e-05, u'doormat', 1.4560287e-05, u'honeycomb', 8.5929869e-06]
[u'prayer_rug', 0.99999845, u'padlock', 4.9486704e-07, u'jigsaw_puzzle', 3.6412519e-07, u'chainlink_fence', 3.1086583e-07, u'binder', 9.0235929e-08]
[u'prayer_rug', 0.99991584, u'brass', 3.2014559e-05, u'dishrag', 3.0233869e-05, u'tray', 8.0078935e-06, u'doormat', 4.3575583e-06]
[u'prayer_rug', 0.99994099, u'honeycomb', 1.6023132e-05, u'doormat', 1.0067071e-05, u'fire_screen', 6.9750658e-06, u'window_screen', 4.4878179e-06]
[u'prayer_rug', 0.99892044, u'dishrag', 0.00059275492, u'jigsaw_puzzle', 0.00016049847, u'tray', 8.0190366e-05, u'doormat', 6.0369963e-05]
[u'prayer_rug', 0.9999088, u'dishrag', 4.2319702e-05, u'brass', 1.9663248e-05, u'window_screen', 9.0542981e-06, u'jigsaw_puzzle', 4.6133741e-06]
[u'prayer_rug', 0.96806508, u'dishrag', 0.026366333, u'tray', 0.0030624284, u'window_screen', 0.00039006284, u'handkerchief', 0.0003825727]
[u'prayer_rug', 0.99999535, u'brass', 4.0499845e-06, u'doormat', 9.6087597e-08, u'fire_screen', 6.1417637e-08, u'vestment', 5.2594647e-08]
[u'prayer_rug', 0.99994874, u'window_screen', 1.5584501e-05, u'doormat', 1.3181616e-05, u'jigsaw_puzzle', 2.5361057e-06, u'stole', 2.4439248e-06]
[u'prayer_rug', 0.99840897, u'jigsaw_puzzle', 0.00056085113, u'doormat', 0.00031285809, u'honeycomb', 8.2640698e-05, u'window_screen', 8.1998056e-05]
[u'prayer_rug', 0.74189091, u'honeycomb', 0.069540665, u'tray', 0.056446031, u'doormat', 0.048002943, u'brass', 0.034510888]
[u'prayer_rug', 0.9999125, u'brass', 3.2615975e-05, u'honeycomb', 8.0056752e-06, u'pedestal', 5.1835677e-06, u'jigsaw_puzzle', 4.7440603e-06]
[u'prayer_rug', 0.96097386, u'doormat', 0.015511128, u'honeycomb', 0.015148056, u'microphone', 0.0022878805, u'radio', 0.0021674007]
[u'prayer_rug', 0.99692553, u'window_screen', 0.001167399, u'honeycomb', 0.00038077234, u'chainlink_fence', 0.00025965105, u'jigsaw_puzzle', 0.00014648754]
[u'prayer_rug', 0.99976569, u'jigsaw_puzzle', 0.00020462158, u'doormat', 2.7495049e-05, u'honeycomb', 1.7034552e-06, u'throne', 1.6483841e-07]
[u'prayer_rug', 0.99906379, u'tray', 0.00049643213, u'pedestal', 7.4889947e-05, u'binder', 4.1865351e-05, u'jigsaw_puzzle', 3.195295e-05]
[u'prayer_rug', 0.96293676, u'dishrag', 0.026559964, u'tray', 0.0045948229, u'jigsaw_puzzle', 0.0018563224, u'brass', 0.00057225366]
[u'prayer_rug', 0.99996078, u'brass', 2.0599922e-05, u'tray', 3.3032784e-06, u'binder', 2.8403138e-06, u'radio', 2.5005322e-06]
[u'brass', 0.76536185, u'prayer_rug', 0.21763544, u'tray', 0.0045781974, u'manhole_cover', 0.0039659254, u'doormat', 0.0024865982]
[u'prayer_rug', 0.92465663, u'window_screen', 0.015427582, u'doormat', 0.012623138, u'window_shade', 0.012533758, u'shower_curtain', 0.0097276596]
[u'prayer_rug', 0.99701548, u'binder', 0.00079724839, u'doormat', 0.00043066524, u'window_screen', 0.00030690443, u'chainlink_fence', 0.00021601003]
[u'prayer_rug', 0.98789549, u'jigsaw_puzzle', 0.0088391192, u'window_screen', 0.0010455726, u'brass', 0.00069123093, u'honeycomb', 0.00054736325]
[u'prayer_rug', 0.9992618, u'window_screen', 0.00020593406, u'binder', 0.00011052773, u'doormat', 0.0001060445, u'jigsaw_puzzle', 9.046468e-05]
[u'prayer_rug', 0.99999702, u'handkerchief', 5.3876323e-07, u'jigsaw_puzzle', 5.2177057e-07, u'pillow', 4.8900574e-07, u'binder', 4.4413582e-07]
[u'prayer_rug', 0.9999367, u'doormat', 1.5158344e-05, u'padlock', 9.0483445e-06, u'mailbox', 8.5500851e-06, u'maze', 6.6324792e-06]
[u'prayer_rug', 0.99995053, u'window_screen', 1.0097273e-05, u'chain_mail', 8.8223305e-06, u'binder', 4.9121886e-06, u'dishrag', 3.1198349e-06]
[u'prayer_rug', 0.99999475, u'doormat', 1.7390207e-06, u'binder', 7.8590091e-07, u'brass', 6.6687346e-07, u'window_screen', 5.2209293e-07]
[u'prayer_rug', 0.99978489, u'doormat', 4.5794746e-05, u'handkerchief', 3.8223916e-05, u'jigsaw_puzzle', 3.3758908e-05, u'dishrag', 2.382932e-05]
[u'prayer_rug', 0.99975544, u'doormat', 0.00011828753, u'stole', 2.1381929e-05, u'dishrag', 1.236644e-05, u'wool', 1.1773835e-05]
[u'prayer_rug', 0.99992692, u'jigsaw_puzzle', 6.7251291e-05, u'dishrag', 2.3806094e-06, u'binder', 4.8818032e-07, u'doormat', 4.3011931e-07]
[u'prayer_rug', 0.99999893, u'doormat', 3.5870411e-07, u'brass', 2.0328009e-07, u'chainlink_fence', 1.5750345e-07, u'window_screen', 1.5165229e-07]
[u'prayer_rug', 0.99941683, u'dishrag', 0.00013420398, u'binder', 0.00010873227, u'handkerchief', 9.5962117e-05, u'tray', 3.1089872e-05]
[u'prayer_rug', 0.99400538, u'doormat', 0.0024754738, u'dishrag', 0.00079396792, u'tray', 0.00054338766, u'radiator', 0.00029287298]
[u'prayer_rug', 0.99999809, u'doormat', 6.7495415e-07, u'jigsaw_puzzle', 4.1242009e-07, u'handkerchief', 2.6382426e-07, u'binder', 1.6712009e-07]
[u'cowboy_boot', 0.11690944, u'sock', 0.097914949, u'harp', 0.085222885, u'Indian_elephant', 0.062741593, u'clog', 0.060876634]
[u'prayer_rug', 0.99942929, u'jigsaw_puzzle', 0.00045312161, u'dishrag', 4.1618008e-05, u'doormat', 2.5209976e-05, u'window_screen', 8.6267628e-06]
