[u'web_site', 0.081688665, u'clumber', 0.068344072, u'rifle', 0.052042112, u'analog_clock', 0.042360488, u'guillotine', 0.035312396]
[u'digital_watch', 0.20573683, u'face_powder', 0.061555725, u'web_site', 0.042522404, u'rule', 0.034899507, u'envelope', 0.034730509]
[u'digital_watch', 0.43628147, u'digital_clock', 0.14347151, u'paper_towel', 0.058090862, u'traffic_light', 0.033516143, u'pill_bottle', 0.023477321]
[u'fur_coat', 0.37301457, u'feather_boa', 0.12501593, u'malamute', 0.0665389, u'tub', 0.045645181, u'keeshond', 0.029831802]
[u'paper_towel', 0.21946938, u'digital_watch', 0.18710478, u'digital_clock', 0.14564094, u'toilet_tissue', 0.06243619, u'printer', 0.056973413]
[u'digital_watch', 0.56697446, u'digital_clock', 0.23224047, u'paper_towel', 0.08269953, u'toilet_tissue', 0.015142276, u'jersey', 0.0079098959]
[u'paper_towel', 0.31682315, u'toilet_tissue', 0.10989118, u'printer', 0.09474431, u'modem', 0.049950227, u'pill_bottle', 0.046314757]
[u'digital_watch', 0.41902879, u'digital_clock', 0.19219255, u'paper_towel', 0.070428848, u'analog_clock', 0.035489008, u'lighter', 0.03066623]
[u'digital_watch', 0.39146355, u'digital_clock', 0.19120066, u'paper_towel', 0.12871775, u'printer', 0.026034765, u'analog_clock', 0.021880776]
[u'digital_watch', 0.4770216, u'digital_clock', 0.29632169, u'paper_towel', 0.10900026, u'toilet_tissue', 0.013194171, u'lighter', 0.010447437]
[u'digital_watch', 0.27404082, u'digital_clock', 0.12452036, u'printer', 0.05483399, u'rubber_eraser', 0.040914033, u'pill_bottle', 0.034212023]
