[u'jeep', 0.45037273, u'snowplow', 0.37095153, u'tractor', 0.051635265, u'harvester', 0.023617452, u'half_track', 0.017262425]
[u'forklift', 0.70428175, u'tow_truck', 0.048309501, u'golfcart', 0.045052949, u'snowplow', 0.031053303, u'jeep', 0.027286097]
[u'golfcart', 0.58692914, u'Model_T', 0.21923637, u'tractor', 0.023236686, u'sliding_door', 0.016444007, u'swing', 0.016391484]
[u'golfcart', 0.50233823, u'harvester', 0.10505078, u'jeep', 0.067114942, u'amphibian', 0.065279782, u'forklift', 0.045503367]
[u'golfcart', 0.58599162, u'jeep', 0.26356852, u'lawn_mower', 0.03818351, u'half_track', 0.034181874, u'tractor', 0.021102991]
[u'lawn_mower', 0.23340875, u'harvester', 0.18141712, u'golfcart', 0.08843454, u'forklift', 0.084727623, u'tractor', 0.077238724]
[u'forklift', 0.33125657, u'harvester', 0.25940737, u'tractor', 0.14316727, u'lawn_mower', 0.1422672, u'jeep', 0.067202717]
[u'jeep', 0.75158757, u'half_track', 0.078696437, u'pickup', 0.025416289, u'snowplow', 0.021316243, u'golfcart', 0.014176548]
[u'jeep', 0.65844029, u'forklift', 0.12320708, u'pickup', 0.041444838, u'snowplow', 0.038664594, u'tow_truck', 0.038030721]
[u'snowplow', 0.38882557, u'harvester', 0.3307412, u'jeep', 0.068751477, u'crane', 0.036300935, u'tractor', 0.031210029]
[u'jeep', 0.85083306, u'half_track', 0.10337439, u'golfcart', 0.025360299, u'snowplow', 0.0092958463, u'pickup', 0.0027061305]
[u'jeep', 0.50506741, u'tractor', 0.27721611, u'harvester', 0.068534374, u'forklift', 0.042468745, u'lawn_mower', 0.030558212]
[u'harvester', 0.28760004, u'tractor', 0.13614342, u'lawn_mower', 0.12510033, u'forklift', 0.085303292, u'jeep', 0.051836699]
[u'recreational_vehicle', 0.26560479, u'passenger_car', 0.22487757, u'Model_T', 0.12292673, u'school_bus', 0.056161571, u'minibus', 0.042579565]
[u'snowplow', 0.56077468, u'forklift', 0.12225589, u'jeep', 0.11423706, u'half_track', 0.065265223, u'golfcart', 0.040682942]
[u'pickup', 0.36682418, u'jeep', 0.35100821, u'snowplow', 0.092948504, u'tractor', 0.037105739, u'garbage_truck', 0.030943871]
[u'jeep', 0.2878505, u'lawn_mower', 0.22658421, u'golfcart', 0.19319747, u'minibus', 0.035613824, u'pickup', 0.028472276]
[u'forklift', 0.28652886, u'passenger_car', 0.101708, u'spotlight', 0.069645368, u'Model_T', 0.064850353, u'harvester', 0.061938148]
[u'forklift', 0.47216728, u'jeep', 0.23426798, u'snowplow', 0.11278366, u'golfcart', 0.044518128, u'half_track', 0.042894609]
[u'forklift', 0.6121763, u'golfcart', 0.17898825, u'jeep', 0.16402377, u'harvester', 0.012276175, u'lawn_mower', 0.011903516]
[u'jeep', 0.55220079, u'golfcart', 0.29283565, u'half_track', 0.11871414, u'amphibian', 0.0090975156, u'snowplow', 0.0060860547]
[u'jeep', 0.70321703, u'amphibian', 0.11831126, u'garbage_truck', 0.045473453, u'golfcart', 0.024064025, u'pickup', 0.019062789]
