[u'bikini', 0.31686184, u'brassiere', 0.13952994, u'maillot', 0.1385359, u'maillot', 0.09514498, u'web_site', 0.048106372]
[u'hand_blower', 0.34010857, u'maillot', 0.28352708, u'breastplate', 0.10037256, u'punching_bag', 0.053008717, u'power_drill', 0.017865473]
[u'television', 0.34663999, u'tobacco_shop', 0.15913589, u'web_site', 0.054589879, u'cash_machine', 0.048218884, u'slot', 0.036006134]
[u'maillot', 0.61059231, u'maillot', 0.2780709, u'brassiere', 0.029406309, u'bikini', 0.013440072, u'balance_beam', 0.008090198]
[u'brassiere', 0.5058139, u'bikini', 0.3945998, u'maillot', 0.052777685, u'sarong', 0.015403261, u'maillot', 0.010787454]
[u'maillot', 0.65906519, u'maillot', 0.059761249, u'breastplate', 0.046774644, u'overskirt', 0.023146685, u'brassiere', 0.021878975]
[u'dumbbell', 0.11458384, u'maillot', 0.07057637, u'knee_pad', 0.06734062, u'barbell', 0.055664439, u'miniskirt', 0.047832433]
[u'maillot', 0.54778498, u'maillot', 0.36648437, u'brassiere', 0.021259747, u'cuirass', 0.014567296, u'chain_mail', 0.013217459]
[u'maillot', 0.56656814, u'miniskirt', 0.2279522, u'maillot', 0.12733598, u'brassiere', 0.04654526, u'bikini', 0.0070056561]
[u'brassiere', 0.92973703, u'maillot', 0.021695184, u'bikini', 0.018248975, u'miniskirt', 0.016142953, u'sarong', 0.0090757627]
[u'maillot', 0.52539086, u'maillot', 0.40573397, u'miniskirt', 0.023584703, u'bikini', 0.021980781, u'brassiere', 0.010908247]
[u'wardrobe', 0.88733792, u'swab', 0.024931306, u'butcher_shop', 0.022390604, u'comic_book', 0.0087688295, u'brassiere', 0.0064946767]
[u'overskirt', 0.57246578, u'hoopskirt', 0.36066145, u'miniskirt', 0.022701198, u'wig', 0.010550053, u'web_site', 0.0032668766]
[u'maillot', 0.44451725, u'maillot', 0.38527039, u'brassiere', 0.11702331, u'bikini', 0.044620577, u'sarong', 0.0044531832]
[u'maillot', 0.34435987, u'maillot', 0.22999991, u'brassiere', 0.077902079, u'dumbbell', 0.04137991, u'hand_blower', 0.033788119]
[u'binder', 0.3619605, u'envelope', 0.078300945, u'folding_chair', 0.072268762, u'hook', 0.04793106, u'Band_Aid', 0.04010997]
[u'brassiere', 0.66201103, u'maillot', 0.14048998, u'bikini', 0.14000686, u'sarong', 0.014924924, u'miniskirt', 0.0099277599]
[u'miniskirt', 0.30820638, u'theater_curtain', 0.17590034, u'brassiere', 0.13177595, u'maillot', 0.13112356, u'hoopskirt', 0.066759713]
[u'maillot', 0.78286546, u'maillot', 0.21571817, u'brassiere', 0.00028268254, u'hoopskirt', 0.00016757638, u'miniskirt', 0.00012413852]
[u'maillot', 0.59128904, u'brassiere', 0.11398519, u'dumbbell', 0.078315556, u'bikini', 0.074068449, u'barbell', 0.040547743]
