[u'cassette', 0.45969692, u'book_jacket', 0.10852382, u'packet', 0.068903364, u'pill_bottle', 0.014383116, u'hand-held_computer', 0.013114762]
[u'cassette', 0.35315371, u'packet', 0.2401989, u'rubber_eraser', 0.039471604, u'pill_bottle', 0.032638323, u'lotion', 0.023675002]
[u'packet', 0.25749665, u'cassette', 0.2064918, u'pill_bottle', 0.049404144, u'hand-held_computer', 0.046660356, u'hard_disc', 0.030541761]
[u'cassette', 0.2902469, u'packet', 0.1696852, u'hand-held_computer', 0.10178301, u'rubber_eraser', 0.087233484, u'pill_bottle', 0.061543059]
[u'cassette', 0.15465607, u'hand-held_computer', 0.083795294, u'pill_bottle', 0.062601164, u'lighter', 0.061532926, u'packet', 0.057117879]
[u'rubber_eraser', 0.16931397, u'packet', 0.10275343, u'cassette', 0.081780851, u'tobacco_shop', 0.078120202, u'oil_filter', 0.069823436]
[u'cassette', 0.7820456, u'packet', 0.038285531, u'hand-held_computer', 0.019792613, u'rubber_eraser', 0.014707345, u'tape_player', 0.014024072]
[u'hand-held_computer', 0.65249252, u'cassette', 0.10741037, u'switch', 0.021867249, u'radio', 0.021168033, u'stopwatch', 0.018662347]
[u'hand-held_computer', 0.55842364, u'radio', 0.10136294, u'oscilloscope', 0.063832603, u'digital_clock', 0.021376118, u'cassette', 0.01797113]
[u'hand-held_computer', 0.32377073, u'cassette', 0.19188708, u'rubber_eraser', 0.077357747, u'tape_player', 0.044286698, u'switch', 0.038702805]
[u'packet', 0.175558, u'cassette', 0.15709057, u'oil_filter', 0.096047148, u'pill_bottle', 0.085506588, u'book_jacket', 0.025996216]
[u'cassette', 0.24800716, u'hand-held_computer', 0.15252592, u'hard_disc', 0.066902444, u'oil_filter', 0.059284065, u'lighter', 0.048795749]
[u'hand-held_computer', 0.5473299, u'cassette', 0.11408287, u'pill_bottle', 0.031268496, u'packet', 0.024903448, u'switch', 0.024433829]
[u'packet', 0.43054563, u'cassette', 0.157208, u'pill_bottle', 0.079414412, u'rubber_eraser', 0.05282044, u'hand-held_computer', 0.026720835]
[u'packet', 0.52997977, u'pill_bottle', 0.085840598, u'rubber_eraser', 0.055827051, u'cassette', 0.04259425, u'pencil_sharpener', 0.021081127]
[u'cassette', 0.41130579, u'hard_disc', 0.1259414, u'hand-held_computer', 0.10059834, u'cassette_player', 0.045228388, u'packet', 0.041326303]
[u'hand-held_computer', 0.37913695, u'cassette', 0.11609188, u'hard_disc', 0.082861558, u'pill_bottle', 0.043078627, u'packet', 0.039902113]
[u'rubber_eraser', 0.23879841, u'lotion', 0.15521595, u'packet', 0.12300345, u'face_powder', 0.09894941, u'lipstick', 0.0884334]
[u'cassette', 0.41984749, u'packet', 0.059790898, u'hand-held_computer', 0.048676156, u'pill_bottle', 0.038690817, u'rule', 0.037261326]
[u'hand-held_computer', 0.24878947, u'cassette', 0.15361468, u'pill_bottle', 0.063627206, u'hard_disc', 0.039726768, u'tape_player', 0.038221348]
[u'hand-held_computer', 0.72937673, u'cassette', 0.099722646, u'modem', 0.024235295, u'radio', 0.013782568, u'spotted_salamander', 0.0096948296]
[u'cassette', 0.46810636, u'packet', 0.087042652, u'slot', 0.049289327, u'hand-held_computer', 0.03431065, u'cassette_player', 0.023171065]
[u'cassette', 0.21618576, u'hand-held_computer', 0.10758042, u'packet', 0.068566009, u'oil_filter', 0.05751919, u'pill_bottle', 0.048649751]
[u'web_site', 0.1869294, u'theater_curtain', 0.050111253, u'envelope', 0.028462572, u'hourglass', 0.01971698, u'binder', 0.017366892]
[u'rubber_eraser', 0.27415043, u'packet', 0.20291302, u'pill_bottle', 0.070087492, u'hand-held_computer', 0.060312204, u'cassette', 0.042731311]
